openalex_id,doi,pmid,lens_id,label_included,label_abstract_included,Unnamed: 6,Unnamed: 7
https://openalex.org/w2979694655,https://doi.org/10.1145/3323503.3349562,,120-346-311-353-583,0,,,
https://openalex.org/w2344853056,https://doi.org/10.1111/deci.12225,,008-139-675-336-74X,0,,,
https://openalex.org/w2320838410,https://doi.org/10.7860/jcdr/2016/16170.7206,,024-474-527-844-898,0,,,
https://openalex.org/w2573040344,https://doi.org/10.1186/s40249-017-0238-x,,006-813-022-986-584,0,,,
https://openalex.org/w2965407545,,,,1,,,
https://openalex.org/w2613668921,https://doi.org/10.1007/s00500-017-2607-6,,,0,,,
https://openalex.org/w2748635631,https://doi.org/10.2196/jmir.7956,,025-541-854-402-062,0,,,
https://openalex.org/w2016836952,https://doi.org/10.1371/journal.pntd.0002496,,036-809-951-981-821,0,,,
https://openalex.org/w2993362729,https://doi.org/10.3724/sp.j.1089.2019.17558,,,0,,,
https://openalex.org/w2789518943,https://doi.org/10.1145/3194658.3194667,,087-877-514-592-785,0,,,
https://openalex.org/w4242906907,https://doi.org/10.3410/f.737234632.793569899,,,0,,,
https://openalex.org/w2971052755,https://doi.org/10.1093/bioinformatics/btz673,,025-988-327-428-501,0,,,
https://openalex.org/w2102614609,https://doi.org/10.1093/aje/kws241,,024-804-584-226-905,0,,,
https://openalex.org/w1998412421,https://doi.org/10.1145/2396761.2398467,,042-259-922-461-089,0,,,
https://openalex.org/w2792581694,https://doi.org/10.1073/pnas.1710936115,,053-891-214-161-198,0,,,
https://openalex.org/w2990585915,https://doi.org/10.1007/s10822-019-00255-3,,,0,,,
https://openalex.org/w3027460135,https://doi.org/10.1145/3386052.3386056,,132-454-751-785-631,0,,,
https://openalex.org/w2551959096,https://doi.org/10.2196/publichealth.6586,,033-145-966-650-453,0,,,
https://openalex.org/w1865437296,https://doi.org/10.5555/2616448.2616454,,,0,,,
https://openalex.org/w4242137022,https://doi.org/10.1371/image.pntd.v05.i04,,145-237-514-988-532,0,,,
https://openalex.org/w2037451922,https://doi.org/10.1145/2756406.2756920,,044-465-514-468-580,0,,,
https://openalex.org/w3011414630,https://doi.org/10.1145/3368555.3384467,,042-797-322-277-614,0,,,
https://openalex.org/w2297600326,https://doi.org/10.1371/journal.pntd.0004549,,029-404-394-966-952,1,,,
https://openalex.org/w3039758639,https://doi.org/10.1145/3389189.3389190,,113-317-128-254-070,0,,,
https://openalex.org/w4242006991,https://doi.org/10.1371/image.pntd.v05.i01,,058-008-086-009-234,0,,,
https://openalex.org/w2888093627,https://doi.org/10.1145/3205849,,010-882-460-208-321,0,,,
