openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w2136266251,https://doi.org/10.1095/biolreprod41.4.665,https://pubmed.ncbi.nlm.nih.gov/2620075,087-370-472-357-302,0,
https://openalex.org/w2059741850,https://doi.org/10.2106/jbjs.e.01424,https://pubmed.ncbi.nlm.nih.gov/17079397,034-663-318-893-517,0,
https://openalex.org/w3162069539,https://doi.org/10.1016/j.prp.2021.153486,,047-889-277-135-114,0,
https://openalex.org/w70728035,https://doi.org/10.1007/s11596-012-1002-x,,,0,
https://openalex.org/w4285744525,https://doi.org/10.3389/fgene.2022.882324,,095-501-911-076-623,0,
https://openalex.org/w2158217985,https://doi.org/10.1002/path.4590,https://pubmed.ncbi.nlm.nih.gov/26177977,036-199-302-006-537,0,
https://openalex.org/w2608652870,https://doi.org/10.1007/s00262-017-2003-1,,005-627-935-062-743,0,
https://openalex.org/w3081755994,https://doi.org/10.3390/cells9092027,https://pubmed.ncbi.nlm.nih.gov/32899119,091-983-355-799-845,0,
https://openalex.org/w2892112375,https://doi.org/10.1038/s41569-018-0077-x,,,0,
https://openalex.org/w2894129104,https://doi.org/10.3390/ijms19102979,https://pubmed.ncbi.nlm.nih.gov/30274301,023-517-080-232-430,0,
https://openalex.org/w4283796569,https://doi.org/10.1038/s41408-022-00699-1,,175-526-211-654-462,0,
https://openalex.org/w2101322033,https://doi.org/10.1016/j.canlet.2012.11.049,,,0,
https://openalex.org/w4210461384,https://doi.org/10.1136/jitc-2021-003958,,081-675-007-996-685,0,
https://openalex.org/w2765172127,https://doi.org/10.1007/978-1-4939-7374-3_16,,000-317-712-458-921,0,
https://openalex.org/w115709389,,,,0,
https://openalex.org/w3214548900,https://doi.org/10.3390/biom11111643,,018-336-904-007-217,0,
https://openalex.org/w2793688609,https://doi.org/10.3389/fonc.2018.00049,,013-250-156-479-673,0,
https://openalex.org/w3156543781,https://doi.org/10.1016/j.ymthe.2021.04.015,,004-210-427-586-815,0,
https://openalex.org/w3209395067,https://doi.org/10.7150/jca.62281,,000-455-427-954-673,0,
https://openalex.org/w3029744345,https://doi.org/10.1016/j.apsb.2020.05.008,,106-728-076-063-362,0,
https://openalex.org/w4315432791,https://doi.org/10.1088/1758-5090/acb1db,https://pubmed.ncbi.nlm.nih.gov/36626838,019-331-260-316-80X,0,
https://openalex.org/w3093157159,https://doi.org/10.1002/hep.31600,,024-614-466-764-510,1,
https://openalex.org/w4283752716,https://doi.org/10.1038/s41392-022-01058-z,,063-348-770-473-983,0,
https://openalex.org/w3018507171,https://doi.org/10.1002/btm2.10162,,,0,
https://openalex.org/w4234603135,https://doi.org/10.1155/2016/9720912,https://pubmed.ncbi.nlm.nih.gov/27975071,031-489-501-482-345,0,
https://openalex.org/w2403964362,,https://pubmed.ncbi.nlm.nih.gov/8984182,,0,
https://openalex.org/w2621167274,https://doi.org/10.1016/j.smim.2017.05.002,https://pubmed.ncbi.nlm.nih.gov/28583764,023-227-938-807-990,0,
https://openalex.org/w2121390901,https://doi.org/10.1111/cen3.12223,,063-123-988-660-012,0,
https://openalex.org/w4220950546,https://doi.org/10.1038/s41419-022-04739-3,,021-903-623-017-79X,0,
https://openalex.org/w4316363600,https://doi.org/10.3389/fimmu.2022.999008,https://pubmed.ncbi.nlm.nih.gov/36726987,144-535-943-944-334,0,
https://openalex.org/w3048040519,https://doi.org/10.3390/cancers12082208,,027-535-347-244-524,0,
https://openalex.org/w155575565,,,,0,
https://openalex.org/w2043848825,https://doi.org/10.1097/01.brs.0000175174.50235.ba,,,0,
