openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w3142531478,https://doi.org/10.1007/978-3-030-72904-2_11,,,1,
https://openalex.org/w2802135901,https://doi.org/10.1016/j.jss.2018.05.002,,,0,
https://openalex.org/w2987262934,https://doi.org/10.1145/3356773.3356808,,071-108-497-170-742,0,
https://openalex.org/w2886135527,https://doi.org/10.1109/qrs-c.2018.00047,,093-864-454-144-589,0,
https://openalex.org/w2806893005,https://doi.org/10.1109/icst.2018.00026,,071-526-134-800-567,0,
https://openalex.org/w2974526072,https://doi.org/10.1007/978-3-030-31157-5_12,,045-838-490-004-014,0,
https://openalex.org/w2948233389,https://doi.org/10.1007/978-3-030-27455-9_10,,053-419-385-194-200,0,
https://openalex.org/w2914902352,https://doi.org/10.1002/smr.2153,,040-457-974-335-644,0,
https://openalex.org/w2933249718,https://doi.org/10.1145/3302424.3303970,,106-509-296-547-238,0,
https://openalex.org/w2291581632,https://doi.org/10.1002/stvr.1599,,021-513-748-917-122,0,
https://openalex.org/w2565822782,https://doi.org/10.18517/ijaseit.6.6.1375,,083-401-735-366-23X,0,
https://openalex.org/w2969212584,https://doi.org/10.1007/978-3-030-27455-9_8,,121-245-268-539-06X,0,
https://openalex.org/w2831354587,https://doi.org/10.1109/sccc.2017.8405142,,015-925-624-971-227,0,
https://openalex.org/w2971209364,https://doi.org/10.1109/access.2019.2938260,,082-862-223-968-339,0,
https://openalex.org/w2731641177,https://doi.org/10.1145/3071178.3071261,,014-897-605-903-024,0,
https://openalex.org/w3124118940,https://doi.org/10.1145/3324884.3416584,,003-971-639-991-345,0,
https://openalex.org/w2950717095,https://doi.org/10.1109/tse.2019.2921965,,135-252-155-662-209,0,
https://openalex.org/w2510362967,https://doi.org/10.18517/ijaseit.6.4.849,,035-152-151-497-564,0,
https://openalex.org/w2606104738,https://doi.org/10.1109/icstw.2017.74,,065-649-210-708-66X,0,
https://openalex.org/w3024165956,https://doi.org/10.1016/j.infsof.2020.106332,,,0,
https://openalex.org/w2337730587,https://doi.org/10.1002/stvr.1603,,131-582-199-751-947,0,
https://openalex.org/w2345196092,https://doi.org/10.1109/tse.2015.2510633,,109-404-468-810-249,0,
https://openalex.org/w4281988136,https://doi.org/10.1145/3530019.3530023,,,1,
https://openalex.org/w3081183366,https://doi.org/10.1016/j.jss.2020.110787,,,0,
https://openalex.org/w2799668176,https://doi.org/10.1016/j.jss.2018.05.003,,,0,
https://openalex.org/w1981672571,https://doi.org/10.1007/s11219-014-9265-z,,,0,
https://openalex.org/w2547727487,https://doi.org/10.1145/2950290.2983937,,,1,
https://openalex.org/w4286433186,https://doi.org/10.1007/s11219-022-09594-1,,,0,
https://openalex.org/w3029091415,https://doi.org/10.1109/access.2020.2998545,,003-275-659-007-174,0,
https://openalex.org/w3186054848,https://doi.org/10.1145/3457913.3457930,,,1,
https://openalex.org/w3162427238,https://doi.org/10.1109/icse-companion52605.2021.00070,,004-261-849-484-886,0,
https://openalex.org/w2886329671,https://doi.org/10.1007/978-3-319-99130-6_9,,010-795-633-473-76X,0,
https://openalex.org/w2385036501,https://doi.org/10.1016/j.scico.2016.05.004,,116-853-486-810-856,0,
https://openalex.org/w2765215277,https://doi.org/10.1109/icitech.2017.8079958,,037-150-920-834-398,0,
https://openalex.org/w2564773055,https://doi.org/10.5815/ijmsc.2017.01.02,,102-223-347-614-404,0,
https://openalex.org/w3013828772,https://doi.org/10.48550/arxiv.2008.00914,,,0,
https://openalex.org/w2735252679,https://doi.org/10.1007/978-3-319-62407-5_59,,160-199-695-372-559,0,
https://openalex.org/w2510072788,https://doi.org/10.1109/ms.2016.117,,147-231-444-450-133,0,
https://openalex.org/w3097014822,https://doi.org/10.1109/icsme46990.2020.00083,,006-512-140-363-75X,0,
https://openalex.org/w4221044641,https://doi.org/10.1111/cgf.14452,,185-159-225-323-366,0,
https://openalex.org/w3000561724,https://doi.org/10.1109/autotestcon43700.2019.8961055,,038-855-007-415-288,0,
https://openalex.org/w2979003680,https://doi.org/10.1109/qrs.2019.00052,,063-638-996-135-595,0,
https://openalex.org/w2901360723,https://doi.org/10.1109/issre.2018.00022,,068-067-768-534-071,0,
https://openalex.org/w4288099480,https://doi.org/10.48550/arxiv.2207.12733,,103-088-733-098-257,0,
https://openalex.org/w2575502164,https://doi.org/10.1609/aaai.v30i2.19077,,139-243-716-483-552,0,
https://openalex.org/w3126709609,https://doi.org/10.1109/access.2021.3058301,,133-918-470-721-649,0,
https://openalex.org/w2528479384,https://doi.org/10.1007/978-3-319-47443-4_17,,045-531-032-499-615,0,
https://openalex.org/w2968609645,https://doi.org/10.1145/3340433.3342825,,143-482-469-556-12X,0,
https://openalex.org/w3010530047,https://doi.org/10.1007/978-3-030-42517-3_4,,034-066-292-005-255,0,
https://openalex.org/w2971363176,https://doi.org/10.1109/iceca.2019.8822134,,149-752-525-499-998,0,
https://openalex.org/w3002620688,https://doi.org/10.1016/j.jksuci.2020.01.009,,126-948-678-952-271,0,
https://openalex.org/w2889037615,https://doi.org/10.1016/j.jss.2018.08.061,,,1,
https://openalex.org/w2810463508,https://doi.org/10.1109/mtv.2017.19,,128-108-138-935-092,0,
https://openalex.org/w4225395169,https://doi.org/10.1002/stvr.1815,,015-692-977-633-827,0,
