openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w2943115873,https://doi.org/10.1016/j.clml.2019.04.014,https://pubmed.ncbi.nlm.nih.gov/31133527,058-459-371-983-960,0,
https://openalex.org/w2945660649,https://doi.org/10.1016/s0167-8140(19)32071-7,,,0,
https://openalex.org/w2463889343,,,,0,
https://openalex.org/w2883961999,https://doi.org/10.1016/j.mad.2018.07.003,https://pubmed.ncbi.nlm.nih.gov/30040993,013-531-000-082-451,0,
https://openalex.org/w3204589046,https://doi.org/10.1016/j.annonc.2021.08.1671,,,0,
https://openalex.org/w3046741173,https://doi.org/10.1016/j.jgo.2020.07.011,https://pubmed.ncbi.nlm.nih.gov/32747208,,0,
https://openalex.org/w2996069981,https://doi.org/10.1016/j.bjoms.2019.10.228,,,0,
https://openalex.org/w3032300740,https://doi.org/10.1001/jamaoncol.2020.2211,,116-492-088-641-961,0,
https://openalex.org/w2890435679,https://doi.org/10.1093/ageing/afy140.176,,,0,
https://openalex.org/w2989351228,https://doi.org/10.1007/s12029-019-00320-y,https://pubmed.ncbi.nlm.nih.gov/31701400,,0,
https://openalex.org/w3022508717,https://doi.org/10.1136/gutjnl-2019-bsgabstracts.96,,044-586-910-739-582,0,
https://openalex.org/w2019025278,https://doi.org/10.1136/bmj.2.5410.660,https://pubmed.ncbi.nlm.nih.gov/14171095,051-644-439-097-237,0,
https://openalex.org/w3109686701,https://doi.org/10.1158/1538-7445.sabcs20-ss1-01,,085-905-876-695-418,0,
https://openalex.org/w3097547668,https://doi.org/10.1182/blood-2020-141569,,097-003-831-630-816,0,
https://openalex.org/w3157012115,https://doi.org/10.1016/j.clnu.2021.03.036,https://pubmed.ncbi.nlm.nih.gov/33933730,050-265-388-714-074,0,
https://openalex.org/w3086457581,https://doi.org/10.1016/j.jgo.2020.08.009,https://pubmed.ncbi.nlm.nih.gov/32943358,073-777-388-774-564,0,
https://openalex.org/w2993351642,https://doi.org/10.1182/hematology.2019001300,https://pubmed.ncbi.nlm.nih.gov/31808886,044-447-307-554-372,0,
https://openalex.org/w2915699111,https://doi.org/10.1007/s00520-019-04702-7,https://pubmed.ncbi.nlm.nih.gov/30798400,,0,
https://openalex.org/w3087383415,https://doi.org/10.1016/j.respe.2020.03.010,,,0,
https://openalex.org/w2987056366,https://doi.org/10.1182/blood-2019-129908,,119-169-644-271-631,0,
https://openalex.org/w3109523281,https://doi.org/10.12788/fp.0061,https://pubmed.ncbi.nlm.nih.gov/33716486,016-160-752-131-702,0,
https://openalex.org/w2971327896,https://doi.org/10.1016/j.clml.2019.07.414,,,0,
https://openalex.org/w2904862315,https://doi.org/10.1002/ehf2.12387,,007-122-396-452-02X,0,
https://openalex.org/w2136578382,https://doi.org/10.1007/s12603-010-0022-0,,030-930-391-015-540,0,
https://openalex.org/w4211256572,https://doi.org/10.1177/2050640618792819,,,0,
https://openalex.org/w2963172262,https://doi.org/10.21037/tcr.2019.07.08,,009-748-302-304-331,0,
https://openalex.org/w2985474715,https://doi.org/10.1016/j.jgo.2019.11.001,https://pubmed.ncbi.nlm.nih.gov/31711757,004-441-612-835-594,0,
https://openalex.org/w2943922412,https://doi.org/10.1136/bmjopen-2018-024485,https://pubmed.ncbi.nlm.nih.gov/31079079,086-734-608-819-181,0,
https://openalex.org/w3139049603,https://doi.org/10.1097/bsd.0000000000001173,,109-129-348-688-273,0,
https://openalex.org/w3091166764,https://doi.org/10.1016/j.jgo.2020.09.028,https://pubmed.ncbi.nlm.nih.gov/33144071,062-114-169-557-969,0,
https://openalex.org/w2933041618,https://doi.org/10.1177/1078155219839460,https://pubmed.ncbi.nlm.nih.gov/30924740,063-216-923-489-966,0,
https://openalex.org/w2696091871,https://doi.org/10.1177/0898264317715184,https://pubmed.ncbi.nlm.nih.gov/28649914,076-030-875-320-387,0,
https://openalex.org/w2988270084,https://doi.org/10.1016/j.jgo.2019.10.019,https://pubmed.ncbi.nlm.nih.gov/31704036,,0,
https://openalex.org/w3092061922,https://doi.org/10.1007/s00432-020-03403-7,https://pubmed.ncbi.nlm.nih.gov/33026518,031-931-745-361-717,0,
