openalex_id,doi,pmid,label_included
https://openalex.org/W2069302785,https://doi.org/10.1056/nejmoa1112072,https://pubmed.ncbi.nlm.nih.gov/22873531,1
https://openalex.org/W2142024129,https://doi.org/10.1093/rheumatology/keu477,https://pubmed.ncbi.nlm.nih.gov/25687553,0
https://openalex.org/W2148666195,https://doi.org/10.1186/ar2984,https://pubmed.ncbi.nlm.nih.gov/20398273,0
https://openalex.org/W1991662335,https://doi.org/10.1002/art.21573,https://pubmed.ncbi.nlm.nih.gov/16447238,0
https://openalex.org/W2101002790,,https://pubmed.ncbi.nlm.nih.gov/11502618,0
https://openalex.org/W2105206118,https://doi.org/10.1016/j.vaccine.2010.12.072,https://pubmed.ncbi.nlm.nih.gov/21211590,0
https://openalex.org/W1816917817,,,0
https://openalex.org/W1997391571,https://doi.org/10.2174/138955709788452568,https://pubmed.ncbi.nlm.nih.gov/19519508,0
https://openalex.org/W3760442,,https://pubmed.ncbi.nlm.nih.gov/24620636,0
https://openalex.org/W1986755404,https://doi.org/10.1002/art.10988,https://pubmed.ncbi.nlm.nih.gov/12794836,0
https://openalex.org/W2104861305,https://doi.org/10.1136/ard.2010.139345,https://pubmed.ncbi.nlm.nih.gov/21893583,0
https://openalex.org/W2035320881,https://doi.org/10.1002/art.37816,https://pubmed.ncbi.nlm.nih.gov/23348607,1
https://openalex.org/W2023179964,https://doi.org/10.1097/00004397-199603610-00011,https://pubmed.ncbi.nlm.nih.gov/8778072,0
https://openalex.org/W2461250538,,https://pubmed.ncbi.nlm.nih.gov/21875021,0
https://openalex.org/W2012863008,https://doi.org/10.2165/00003088-200847110-00002,https://pubmed.ncbi.nlm.nih.gov/18840026,0
https://openalex.org/W1982918542,https://doi.org/10.1007/s11926-999-0010-8,https://pubmed.ncbi.nlm.nih.gov/11123027,0
https://openalex.org/W2108918698,https://doi.org/10.1681/asn.2004111011,https://pubmed.ncbi.nlm.nih.gov/16177002,0
https://openalex.org/W2121664961,https://doi.org/10.1093/rheumatology/41.3.262,https://pubmed.ncbi.nlm.nih.gov/11934961,0
https://openalex.org/W1970758842,https://doi.org/10.1007/s11926-010-0107-0,https://pubmed.ncbi.nlm.nih.gov/20437120,0
https://openalex.org/W2337003824,,https://pubmed.ncbi.nlm.nih.gov/10332987,0
https://openalex.org/W2285588011,https://doi.org/10.1615/forumimmundisther.2015014013,,0
https://openalex.org/W2136553213,https://doi.org/10.1016/j.reuma.2009.01.003,https://pubmed.ncbi.nlm.nih.gov/21794648,0
https://openalex.org/W46945369,,https://pubmed.ncbi.nlm.nih.gov/2504917,1
https://openalex.org/W2443995029,,,0
https://openalex.org/W2254564328,https://doi.org/10.1093/oxfordjournals.qjmed.a069085,,0
https://openalex.org/W2135853952,https://doi.org/10.1016/j.pec.2013.12.002,https://pubmed.ncbi.nlm.nih.gov/24388126,0
https://openalex.org/W2168268842,https://doi.org/10.1517/13543784.9.1.113,https://pubmed.ncbi.nlm.nih.gov/11060665,0
https://openalex.org/W2011813813,https://doi.org/10.1097/00002281-200305000-00008,https://pubmed.ncbi.nlm.nih.gov/12707574,0
https://openalex.org/W1979062455,https://doi.org/10.1177/00912700122012616,https://pubmed.ncbi.nlm.nih.gov/11583481,0
https://openalex.org/W2048450010,https://doi.org/10.1097/fpc.0b013e32833315d1,https://pubmed.ncbi.nlm.nih.gov/19858780,0
https://openalex.org/W1979455085,https://doi.org/10.1586/ecp.12.37,https://pubmed.ncbi.nlm.nih.gov/23121277,0
https://openalex.org/W2035538567,https://doi.org/10.1002/1529-0131(200001)43:1<38::aid-anr6>3.0.co;2-l,https://pubmed.ncbi.nlm.nih.gov/10643698,0
https://openalex.org/W2045708378,https://doi.org/10.2147/opth.s40268,https://pubmed.ncbi.nlm.nih.gov/23807831,0
https://openalex.org/W2156140442,https://doi.org/10.1136/ard.2005.044404,https://pubmed.ncbi.nlm.nih.gov/16308341,1
https://openalex.org/W2133927791,https://doi.org/10.1186/ar3025,https://pubmed.ncbi.nlm.nih.gov/20482894,0
https://openalex.org/W2124755830,https://doi.org/10.2217/ijr.09.69,,0
https://openalex.org/W1995727207,https://doi.org/10.2217/ijr.14.27,,0
https://openalex.org/W1969291889,https://doi.org/10.2174/138920007782798162,https://pubmed.ncbi.nlm.nih.gov/18220555,0
https://openalex.org/W2094644598,https://doi.org/10.5604/17322693.1058897,https://pubmed.ncbi.nlm.nih.gov/24018427,0
https://openalex.org/W2042865897,https://doi.org/10.1016/s0889-857x(05)70208-8,,0
https://openalex.org/W2172108666,https://doi.org/10.1016/j.clinthera.2012.02.014,https://pubmed.ncbi.nlm.nih.gov/22444783,0
https://openalex.org/W2135763952,https://doi.org/10.1136/ard.58.4.220,,1
https://openalex.org/W2005492777,https://doi.org/10.1046/j.1365-2249.1999.00753.x,https://pubmed.ncbi.nlm.nih.gov/9933419,1
https://openalex.org/W2128749586,https://doi.org/10.1093/rheumatology/keu338,https://pubmed.ncbi.nlm.nih.gov/25257039,0
https://openalex.org/W2148107277,https://doi.org/10.1093/rheumatology/kep004,https://pubmed.ncbi.nlm.nih.gov/19213849,0
https://openalex.org/W2188981669,,,0
https://openalex.org/W2020283390,https://doi.org/10.1016/j.jep.2014.05.023,https://pubmed.ncbi.nlm.nih.gov/24862493,0
https://openalex.org/W163304964,,https://pubmed.ncbi.nlm.nih.gov/23073350,0
https://openalex.org/W2101209230,https://doi.org/10.2217/ijr.09.46,,0
https://openalex.org/W2158066464,https://doi.org/10.1186/ar1505,https://pubmed.ncbi.nlm.nih.gov/15833144,0
https://openalex.org/W2065563091,https://doi.org/10.1002/art.10732,https://pubmed.ncbi.nlm.nih.gov/12528097,0
https://openalex.org/W1997464096,https://doi.org/10.1002/1529-0131(199807)41:7<1258::aid-art17>3.0.co;2-1,https://pubmed.ncbi.nlm.nih.gov/9663484,0
https://openalex.org/W2004867498,https://doi.org/10.1007/s10067-011-1900-5,https://pubmed.ncbi.nlm.nih.gov/22134750,0
https://openalex.org/W2172017171,https://doi.org/10.18632/oncotarget.4994,,0
https://openalex.org/W2027365045,https://doi.org/10.1002/art.24231,https://pubmed.ncbi.nlm.nih.gov/19116962,0
https://openalex.org/W2155338121,,https://pubmed.ncbi.nlm.nih.gov/22298075,0
https://openalex.org/W2062822401,https://doi.org/10.1007/s10067-013-2210-x,https://pubmed.ncbi.nlm.nih.gov/23397148,1
https://openalex.org/W2035574108,https://doi.org/10.1111/j.1479-8077.2006.00181.x,,0
https://openalex.org/W2023378412,https://doi.org/10.2147/tcrm.2007.3.1.99,https://pubmed.ncbi.nlm.nih.gov/18360618,0
https://openalex.org/W2064778972,https://doi.org/10.1007/s10067-013-2465-2,https://pubmed.ncbi.nlm.nih.gov/24384824,0
https://openalex.org/W2401172790,,,0
https://openalex.org/W1967587114,https://doi.org/10.1111/j.1365-2036.2005.02343.x,https://pubmed.ncbi.nlm.nih.gov/15709982,0
https://openalex.org/W2070023712,https://doi.org/10.1002/art.10742,https://pubmed.ncbi.nlm.nih.gov/12571870,0
https://openalex.org/W2051074509,https://doi.org/10.1080/03009740701753689,https://pubmed.ncbi.nlm.nih.gov/18415764,0
https://openalex.org/W1977252928,https://doi.org/10.1002/art.1780401016,https://pubmed.ncbi.nlm.nih.gov/9336418,0
https://openalex.org/W1970675515,https://doi.org/10.1016/s1590-8658(03)00374-8,https://pubmed.ncbi.nlm.nih.gov/14563181,0
https://openalex.org/W2219467886,https://doi.org/10.3109/14397595.2015.1069472,https://pubmed.ncbi.nlm.nih.gov/26140464,0
https://openalex.org/W2052193957,https://doi.org/10.1007/bf02231779,https://pubmed.ncbi.nlm.nih.gov/8124913,1
https://openalex.org/W1617983018,https://doi.org/10.1016/s0065-2776(08)60564-7,,0
https://openalex.org/W1991539591,https://doi.org/10.1007/bf02850127,https://pubmed.ncbi.nlm.nih.gov/16751154,0
https://openalex.org/W2038063040,https://doi.org/10.1038/ncprheum0973,https://pubmed.ncbi.nlm.nih.gov/19098924,0
https://openalex.org/W2139384018,https://doi.org/10.1016/j.clinthera.2006.12.019,https://pubmed.ncbi.nlm.nih.gov/17296461,0
https://openalex.org/W2078446165,https://doi.org/10.1016/j.jalz.2008.12.003,https://pubmed.ncbi.nlm.nih.gov/19751920,0
https://openalex.org/W2148046419,https://doi.org/10.18553/jmcp.2006.12.7.555,https://pubmed.ncbi.nlm.nih.gov/16981801,0
https://openalex.org/W2407670115,,https://pubmed.ncbi.nlm.nih.gov/23961662,0
https://openalex.org/W2179986300,https://doi.org/10.1136/annrheumdis-2015-208052,https://pubmed.ncbi.nlm.nih.gov/26585988,0
https://openalex.org/W1766022638,https://doi.org/10.1016/j.clinthera.2015.07.001,https://pubmed.ncbi.nlm.nih.gov/26243076,0
https://openalex.org/W104154735,,,1
https://openalex.org/W2161242521,https://doi.org/10.2217/17460816.3.4.357,,0
https://openalex.org/W2101509607,https://doi.org/10.1007/bf03041262,,0
https://openalex.org/W2057969209,https://doi.org/10.2165/00003088-200544120-00004,https://pubmed.ncbi.nlm.nih.gov/16372823,0
https://openalex.org/W2157259072,https://doi.org/10.1136/annrheumdis-2013-203229,https://pubmed.ncbi.nlm.nih.gov/23740226,0
https://openalex.org/W1993010418,https://doi.org/10.1016/j.berh.2008.09.014,https://pubmed.ncbi.nlm.nih.gov/19041075,0
https://openalex.org/W2157237213,https://doi.org/10.1007/s10165-011-0522-8,https://pubmed.ncbi.nlm.nih.gov/21960457,0
https://openalex.org/W2016853343,https://doi.org/10.1016/j.semarthrit.2013.07.008,https://pubmed.ncbi.nlm.nih.gov/23932312,0
https://openalex.org/W4210976270,https://doi.org/10.1016/j.survophthal.2005.04.003,https://pubmed.ncbi.nlm.nih.gov/15967191,0
https://openalex.org/W2083618040,https://doi.org/10.1136/ard.2005.042408,https://pubmed.ncbi.nlm.nih.gov/16239377,0
https://openalex.org/W3140039958,,,0
https://openalex.org/W2163998814,https://doi.org/10.1186/1471-2261-7-31,https://pubmed.ncbi.nlm.nih.gov/17967187,0
https://openalex.org/W2094304284,https://doi.org/10.2147/ppa.s41433,https://pubmed.ncbi.nlm.nih.gov/23869169,0
https://openalex.org/W2222665820,https://doi.org/10.1161/circresaha.115.306656,https://pubmed.ncbi.nlm.nih.gov/26837745,0
https://openalex.org/W2024644107,https://doi.org/10.1002/art.22025,https://pubmed.ncbi.nlm.nih.gov/16947627,1
https://openalex.org/W2150259452,https://doi.org/10.1080/03009740801908001,https://pubmed.ncbi.nlm.nih.gov/18612932,0
https://openalex.org/W2165707556,https://doi.org/10.1016/s0140-6736(08)61755-9,https://pubmed.ncbi.nlm.nih.gov/19027480,0
https://openalex.org/W2030706697,https://doi.org/10.1002/pst.368,https://pubmed.ncbi.nlm.nih.gov/19340851,0
https://openalex.org/W2137703437,https://doi.org/10.1001/archinte.168.10.1030,https://pubmed.ncbi.nlm.nih.gov/18504330,0
https://openalex.org/W1970504450,https://doi.org/10.1097/bor.0b013e328329ed9f,https://pubmed.ncbi.nlm.nih.gov/19342955,0
https://openalex.org/W2422854361,,https://pubmed.ncbi.nlm.nih.gov/16762152,0
https://openalex.org/W14665647,https://doi.org/10.2165/00128071-200910030-00009,https://pubmed.ncbi.nlm.nih.gov/19354337,0
https://openalex.org/W2101300470,https://doi.org/10.1586/1744666x.5.1.9,https://pubmed.ncbi.nlm.nih.gov/20476895,0
https://openalex.org/W1832681383,https://doi.org/10.1186/ar1902,https://pubmed.ncbi.nlm.nih.gov/16507172,0
https://openalex.org/W2081994002,https://doi.org/10.1007/s11095-014-1329-z,https://pubmed.ncbi.nlm.nih.gov/24595497,0
