openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w3120955435,https://doi.org/10.1007/s10457-020-00577-4,,,0,
https://openalex.org/w4250951591,https://doi.org/10.1111/j.1475-2743.1990.tb00827.x,,091-177-265-793-89X,0,
https://openalex.org/w2522027745,https://doi.org/10.1039/c6fo01045h,,065-396-832-831-790,0,
https://openalex.org/w3173063657,https://doi.org/10.1016/j.jfca.2021.104005,,022-236-003-441-004,0,
https://openalex.org/w3170201597,https://doi.org/10.56042/ijtk.v20i2.30277,,,0,
https://openalex.org/w3172365033,https://doi.org/10.1088/1748-9326/ac018e,,001-097-335-181-123,0,
https://openalex.org/w2184672948,https://doi.org/10.5829/idosi.gv.2014.12.01.81164,,,0,
https://openalex.org/w2030476464,https://doi.org/10.1007/bf01058007,,,0,
https://openalex.org/w2769530781,https://doi.org/10.3168/jds.2017-13182,,102-010-314-571-314,0,
https://openalex.org/w2946369946,https://doi.org/10.3390/land8050082,,017-076-153-509-229,0,
https://openalex.org/w2015730423,https://doi.org/10.1044/0161-1461.3001.108,,046-520-109-824-053,0,
https://openalex.org/w3111763427,,,,0,
https://openalex.org/w2523176225,https://doi.org/10.1016/j.plantsci.2016.09.007,,022-588-043-971-906,0,
https://openalex.org/w2012495206,https://doi.org/10.1300/j064v04n04_03,,072-971-145-104-50X,0,
https://openalex.org/w2955139036,https://doi.org/10.1016/j.agsy.2019.102658,,,1,
https://openalex.org/w2800217295,https://doi.org/10.1097/mpg.0000000000002016,,053-383-629-535-891,0,
https://openalex.org/w2037825289,https://doi.org/10.1016/j.rse.2009.07.006,,,0,
https://openalex.org/w2156859607,https://doi.org/10.1111/j.1440-172x.2005.00529.x,,028-038-708-721-058,0,
https://openalex.org/w2807114503,https://doi.org/10.1007/s11540-018-9356-5,,,0,
https://openalex.org/w2602677381,,,,0,
https://openalex.org/w2049154759,https://doi.org/10.1590/s1519-69842012000400012,,050-907-731-313-211,0,
https://openalex.org/w3134080678,https://doi.org/10.1111/poms.13400,,062-233-198-225-164,0,
https://openalex.org/w2883098712,https://doi.org/10.1016/j.landusepol.2018.06.052,,,1,
https://openalex.org/w3045273171,https://doi.org/10.3390/land9080240,,000-035-585-722-375,0,
https://openalex.org/w2892709159,https://doi.org/10.1016/j.ecoleng.2018.09.019,,,0,
https://openalex.org/w2955421817,https://doi.org/10.1007/s11368-019-02378-4,,,0,
https://openalex.org/w2529675832,https://doi.org/10.1016/j.landusepol.2016.09.022,,110-638-795-354-436,0,
https://openalex.org/w2946257926,https://doi.org/10.1038/s41598-019-43753-y,,138-826-232-363-675,0,
https://openalex.org/w2975272850,https://doi.org/10.24099/vet.arhiv.0340,,155-452-160-912-905,0,
https://openalex.org/w3200769184,https://doi.org/10.1016/j.chemosphere.2021.132321,,,0,
https://openalex.org/w3087169851,https://doi.org/10.1016/j.forpol.2020.102299,,,0,
https://openalex.org/w3127168355,https://doi.org/10.3389/fgene.2021.563623,,011-605-819-235-272,0,
https://openalex.org/w2082472811,https://doi.org/10.1016/j.biocon.2007.01.023,,121-219-905-917-811,0,
https://openalex.org/w3049020390,https://doi.org/10.3233/jifs-200575,,029-299-806-774-518,0,
https://openalex.org/w2468760824,https://doi.org/10.1002/ldr.2575,,018-241-992-308-383,0,
https://openalex.org/w2751419368,,,,0,
https://openalex.org/w3136526726,https://doi.org/10.1016/j.agee.2021.107349,,,0,
https://openalex.org/w752740957,https://doi.org/10.1007/s10113-015-0798-x,,,0,
https://openalex.org/w2098227604,,,,0,
https://openalex.org/w2991000184,https://doi.org/10.1016/j.scitotenv.2019.135345,,061-198-583-736-836,1,
https://openalex.org/w2905290977,https://doi.org/10.1002/vnl.21690,,082-176-375-779-035,0,
https://openalex.org/w2337222148,https://doi.org/10.1016/j.indcrop.2016.04.026,,,0,
https://openalex.org/w2956218473,https://doi.org/10.1016/j.prevetmed.2019.104739,,,0,
https://openalex.org/w2803895097,https://doi.org/10.3382/ps/pey172,,006-063-226-348-322,0,
https://openalex.org/w3135323215,https://doi.org/10.3390/su13063057,,110-657-477-545-572,0,
https://openalex.org/w1979930188,https://doi.org/10.1016/j.jhazmat.2014.10.009,,,0,
https://openalex.org/w3157203556,https://doi.org/10.3390/f12050586,,002-717-069-997-605,0,
https://openalex.org/w2924917463,https://doi.org/10.1080/24751448.2019.1571824,,099-079-291-727-855,0,
https://openalex.org/w1664673705,https://doi.org/10.1016/j.landurbplan.2015.07.002,,,0,
https://openalex.org/w2945368617,https://doi.org/10.1002/9781119312994.apr0697,,108-918-001-666-214,0,
https://openalex.org/w3183702859,https://doi.org/10.3390/ijms22147754,,081-522-076-390-049,0,
https://openalex.org/w3160032916,https://doi.org/10.1111/jiec.13152,,036-383-138-735-171,0,
https://openalex.org/w2810189390,https://doi.org/10.1016/j.jep.2018.06.032,,,0,
https://openalex.org/w3038143726,https://doi.org/10.3390/ijms21134805,,005-524-749-092-437,0,
https://openalex.org/w3123380215,https://doi.org/10.3390/f12020158,,002-977-647-828-717,0,
https://openalex.org/w1989316214,https://doi.org/10.1016/s0308-521x(02)00052-5,,092-168-406-634-350,0,
https://openalex.org/w2008222770,https://doi.org/10.1016/0011-9164(91)85190-6,,,0,
https://openalex.org/w2062614403,https://doi.org/10.1016/j.tube.2013.08.002,,037-897-497-847-559,0,
https://openalex.org/w2980125796,https://doi.org/10.1093/jof/104.6.324,,124-723-710-035-861,0,
https://openalex.org/w2163210582,https://doi.org/10.1111/j.1365-2664.2010.01939.x,,001-563-107-875-364,0,
https://openalex.org/w2121165657,https://doi.org/10.1523/jneurosci.0868-04.2004,,089-352-390-991-805,0,
https://openalex.org/w2093741426,https://doi.org/10.1016/j.scienta.2006.09.005,,,0,
https://openalex.org/w1815731553,https://doi.org/10.1039/c5tb01501d,,081-615-141-689-112,0,
https://openalex.org/w3160970842,https://doi.org/10.3390/su13105745,,039-364-692-599-758,0,
https://openalex.org/w2207216579,https://doi.org/10.1016/j.foreco.2015.09.016,,,0,
