openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w3018304124,https://doi.org/10.2991/jegh.k.200417.001,https://pubmed.ncbi.nlm.nih.gov/32959606,079-768-612-845-35X,0,
https://openalex.org/w2913324897,https://doi.org/10.1038/s41380-019-0357-9,https://pubmed.ncbi.nlm.nih.gov/30696940,,1,
https://openalex.org/w2990858926,https://doi.org/10.1080/15563650.2019.1691221,https://pubmed.ncbi.nlm.nih.gov/31777303,092-836-969-800-325,0,
https://openalex.org/w3014848714,https://doi.org/10.1097/md.0000000000020295,https://pubmed.ncbi.nlm.nih.gov/32481398,029-516-271-400-066,0,
https://openalex.org/w3008821240,https://doi.org/10.1016/j.jsams.2020.02.009,https://pubmed.ncbi.nlm.nih.gov/32139313,143-941-596-410-828,0,
https://openalex.org/w3016579935,https://doi.org/10.1016/j.ekir.2020.04.006,https://pubmed.ncbi.nlm.nih.gov/32647757,019-166-965-789-23X,0,
https://openalex.org/w3014639602,https://doi.org/10.1016/j.envres.2020.109471,https://pubmed.ncbi.nlm.nih.gov/32276169,,1,
https://openalex.org/w2996801335,https://doi.org/10.1111/ger.12456,https://pubmed.ncbi.nlm.nih.gov/31886587,093-919-486-558-570,0,
https://openalex.org/w3011845314,https://doi.org/10.1136/emermed-2018-208278,https://pubmed.ncbi.nlm.nih.gov/32152005,004-107-485-985-106,0,
https://openalex.org/w3027881287,https://doi.org/10.23736/s2724-6051.20.03778-9,https://pubmed.ncbi.nlm.nih.gov/32432435,043-247-419-999-103,0,
https://openalex.org/w2983707329,https://doi.org/10.1053/j.jrn.2019.09.009,https://pubmed.ncbi.nlm.nih.gov/31734057,006-135-408-881-558,0,
https://openalex.org/w3005302028,https://doi.org/10.1080/14656566.2020.1721466,https://pubmed.ncbi.nlm.nih.gov/32011186,065-853-830-056-162,0,
https://openalex.org/w2967739862,https://doi.org/10.1093/mmy/myz084,https://pubmed.ncbi.nlm.nih.gov/31689712,008-891-997-725-348,0,
https://openalex.org/w3028053165,https://doi.org/10.1002/hed.26264,https://pubmed.ncbi.nlm.nih.gov/32437021,108-046-947-285-61X,0,
https://openalex.org/w2981295566,https://doi.org/10.1007/s11606-019-05366-z,https://pubmed.ncbi.nlm.nih.gov/31625038,020-679-252-388-099,0,
https://openalex.org/w3028436926,https://doi.org/10.1002/ajim.23120,https://pubmed.ncbi.nlm.nih.gov/32419181,022-553-279-682-019,0,
https://openalex.org/w3015360500,https://doi.org/10.1016/j.urolonc.2020.02.020,https://pubmed.ncbi.nlm.nih.gov/32273049,,0,
https://openalex.org/w3017406713,https://doi.org/10.1111/myc.13094,https://pubmed.ncbi.nlm.nih.gov/32323385,047-512-041-298-363,0,
https://openalex.org/w3014503899,https://doi.org/10.1186/s12199-020-00848-7,https://pubmed.ncbi.nlm.nih.gov/32234023,057-807-353-323-020,0,
