openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w2168714720,https://doi.org/10.1586/eci.11.4,,001-144-010-828-813,0,
https://openalex.org/w2147163674,https://doi.org/10.3899/jrheum.121152,,049-861-526-546-36X,0,
https://openalex.org/w2016095274,https://doi.org/10.1007/s10067-013-2244-0,,,0,
https://openalex.org/w2019480684,https://doi.org/10.1016/j.jaad.2008.12.041,,,0,
https://openalex.org/w4298388014,,,,0,
https://openalex.org/w1987425206,https://doi.org/10.1016/j.gene.2013.03.073,,,0,
https://openalex.org/w2040474392,https://doi.org/10.1016/j.autrev.2011.04.012,,,0,
https://openalex.org/w2016952032,https://doi.org/10.1093/rheumatology/kes095,,048-588-212-967-275,0,
https://openalex.org/w2062801585,https://doi.org/10.1007/bf03325637,,,0,
https://openalex.org/w2140659972,https://doi.org/10.1016/j.jval.2013.03.1154,,037-945-730-183-677,0,
https://openalex.org/w2129301243,https://doi.org/10.1136/ard.2009.108787,,162-755-585-625-890,0,
https://openalex.org/w2083340757,https://doi.org/10.1111/imm.12142,,011-341-904-736-630,0,
https://openalex.org/w68059875,https://doi.org/10.5070/d39jd8831c,,122-439-292-401-644,0,
https://openalex.org/w2117721629,https://doi.org/10.1517/14712598.2010.493873,,062-786-172-781-736,0,
https://openalex.org/w4232459398,https://doi.org/10.1016/j.jaad.2014.01.729,,,0,
https://openalex.org/w2071780577,https://doi.org/10.1016/j.jaad.2010.01.030,,,0,
https://openalex.org/w2324476163,https://doi.org/10.3899/jrheum.110763,,041-776-870-702-037,0,
https://openalex.org/w1874714577,https://doi.org/10.1002/art.38227,,052-473-911-018-751,0,
https://openalex.org/w2041933168,https://doi.org/10.1111/bjd.12473,,037-309-936-346-155,0,
https://openalex.org/w2163475454,https://doi.org/10.1016/j.arcmed.2011.05.004,,,0,
https://openalex.org/w2038527221,https://doi.org/10.1016/s1201-9712(10)60187-7,,094-323-881-107-525,0,
https://openalex.org/w2148025945,https://doi.org/10.1136/annrheumdis-2013-204786,,,0,
https://openalex.org/w102689410,,,,0,
https://openalex.org/w1667905503,https://doi.org/10.1111/j.1756-185x.2011.01594.x,,010-353-791-014-659,0,
https://openalex.org/w2000723616,https://doi.org/10.1016/j.reumae.2011.04.001,,,0,
https://openalex.org/w2145725257,https://doi.org/10.1016/j.jaad.2011.08.025,,,0,
https://openalex.org/w2140883896,https://doi.org/10.1016/j.mvr.2012.03.002,,000-241-192-296-966,0,
https://openalex.org/w122182102,,,,0,
https://openalex.org/w2330908211,https://doi.org/10.1016/j.jval.2014.08.2572,,046-818-366-910-413,1,
https://openalex.org/w2404239400,,,,0,
https://openalex.org/w2095900068,https://doi.org/10.1155/2011/352686,,085-762-869-824-925,0,
https://openalex.org/w2045284061,https://doi.org/10.1038/ajh.2012.12,,058-227-861-503-736,0,
https://openalex.org/w2096675088,https://doi.org/10.1016/j.cgh.2013.06.010,,102-872-059-543-621,0,
https://openalex.org/w2020809327,https://doi.org/10.1016/j.jaad.2014.01.856,,,0,
https://openalex.org/w4241591429,https://doi.org/10.1016/j.jaad.2010.09.625,,,0,
https://openalex.org/w2058710149,https://doi.org/10.1001/archdermatol.2011.218,,,0,
https://openalex.org/w2062457363,https://doi.org/10.1016/s1873-9946(12)60505-4,,079-724-997-703-98X,0,
https://openalex.org/w2034503516,https://doi.org/10.1038/nrrheum.2013.71,,,0,
https://openalex.org/w2150581889,https://doi.org/10.1136/annrheumdis-2013-204864,,,0,
https://openalex.org/w2162870695,https://doi.org/10.3899/jrheum.120970,,012-454-711-018-98X,1,
https://openalex.org/w2038834734,https://doi.org/10.1177/0961203313479423,,043-072-374-473-818,0,
https://openalex.org/w2066898959,https://doi.org/10.1007/s10067-014-2508-3,,068-899-950-699-202,0,
https://openalex.org/w1995696260,https://doi.org/10.1002/art.30277,,104-282-855-558-368,0,
https://openalex.org/w2418468091,,,,0,
