openalex_id,doi,pmid,lens_id,label_included,label_abstract_included
https://openalex.org/w1994147916,https://doi.org/10.1371/journal.pbio.1001400,,033-602-150-106-720,0,0
https://openalex.org/w2029377385,https://doi.org/10.1073/pnas.0909314107,https://pubmed.ncbi.nlm.nih.gov/20351282,003-272-257-698-968,0,0
https://openalex.org/w2004745382,https://doi.org/10.1016/s0014-5793(03)01521-7,,016-683-556-188-763,0,0
https://openalex.org/w1967353273,https://doi.org/10.1073/pnas.1107489109,https://pubmed.ncbi.nlm.nih.gov/22123966,080-984-254-660-698,0,1
https://openalex.org/w1511843423,https://doi.org/10.1111/j.1460-9568.2005.04318.x,https://pubmed.ncbi.nlm.nih.gov/16190895,099-344-778-582-613,0,0
https://openalex.org/w2126528606,https://doi.org/10.1016/j.neuron.2004.10.006,https://pubmed.ncbi.nlm.nih.gov/15504331,,0,1
https://openalex.org/w1948455806,https://doi.org/10.1523/jneurosci.02-10-01347.1982,https://pubmed.ncbi.nlm.nih.gov/6288893,131-737-728-350-051,0,1
https://openalex.org/w2004631364,https://doi.org/10.1016/j.cub.2005.01.035,https://pubmed.ncbi.nlm.nih.gov/15694302,138-029-851-802-874,0,0
https://openalex.org/w2079370038,https://doi.org/10.1016/j.neuroscience.2011.06.058,https://pubmed.ncbi.nlm.nih.gov/21749913,096-739-579-577-368,1,1
https://openalex.org/w2108378823,https://doi.org/10.1523/jneurosci.1882-10.2010,https://pubmed.ncbi.nlm.nih.gov/21148009,067-052-851-116-075,0,0
https://openalex.org/w2086964368,https://doi.org/10.1016/0376-6357(93)90007-e,https://pubmed.ncbi.nlm.nih.gov/24896720,,0,0
https://openalex.org/w2157422148,https://doi.org/10.1242/jeb.049155,,040-319-599-468-182,0,0
https://openalex.org/w2095940963,https://doi.org/10.1016/j.neuron.2012.03.039,https://pubmed.ncbi.nlm.nih.gov/22681692,068-323-146-777-052,0,0
https://openalex.org/w1976344568,https://doi.org/10.1038/289079a0,https://pubmed.ncbi.nlm.nih.gov/6256649,,0,1
https://openalex.org/w1997280012,https://doi.org/10.1371/journal.pone.0081272,https://pubmed.ncbi.nlm.nih.gov/24349049,028-859-754-025-73X,0,0
https://openalex.org/w2026992346,https://doi.org/10.1038/430983a,https://pubmed.ncbi.nlm.nih.gov/15329711,046-970-706-442-588,0,0
https://openalex.org/w2025428493,https://doi.org/10.1073/pnas.0900178106,https://pubmed.ncbi.nlm.nih.gov/19502424,045-094-418-138-078,0,0
https://openalex.org/w1504535037,https://doi.org/10.1186/1471-2202-6-39,https://pubmed.ncbi.nlm.nih.gov/15932641,033-991-660-993-579,0,0
https://openalex.org/w1963485734,https://doi.org/10.1016/j.nbd.2014.01.008,https://pubmed.ncbi.nlm.nih.gov/24423648,040-754-462-210-419,0,0
https://openalex.org/w2122588825,https://doi.org/10.1101/lm.3.5.425,https://pubmed.ncbi.nlm.nih.gov/10456109,067-995-709-402-429,0,1
https://openalex.org/w2113394141,https://doi.org/10.1523/jneurosci.18-10-03650.1998,https://pubmed.ncbi.nlm.nih.gov/9570796,017-551-129-297-676,0,0
https://openalex.org/w2013775280,https://doi.org/10.1523/jneurosci.4542-03.2004,https://pubmed.ncbi.nlm.nih.gov/15470148,034-677-556-189-207,0,0
https://openalex.org/w2041460474,https://doi.org/10.1523/jneurosci.3789-08.2009,https://pubmed.ncbi.nlm.nih.gov/19228975,079-597-239-510-864,0,0
https://openalex.org/w2022264926,https://doi.org/10.1016/s0896-6273(02)00832-2,https://pubmed.ncbi.nlm.nih.gov/12372288,079-637-362-124-313,0,0
https://openalex.org/w80936639,https://doi.org/10.1007/400_2008_9,,,0,0
https://openalex.org/w1885814889,https://doi.org/10.1111/acel.12361,https://pubmed.ncbi.nlm.nih.gov/26102220,072-838-529-914-621,0,0
https://openalex.org/w2067713225,https://doi.org/10.1523/jneurosci.3286-12.2012,https://pubmed.ncbi.nlm.nih.gov/23197709,032-569-417-762-260,1,1
https://openalex.org/w1987070052,https://doi.org/10.1101/lm.025726.112,https://pubmed.ncbi.nlm.nih.gov/22988290,027-656-225-586-391,0,1
https://openalex.org/w2079186910,https://doi.org/10.1016/j.ydbio.2008.11.013,https://pubmed.ncbi.nlm.nih.gov/19084514,015-535-251-953-232,0,0
https://openalex.org/w1988852493,https://doi.org/10.1016/j.jinsphys.2005.05.001,https://pubmed.ncbi.nlm.nih.gov/15967457,,0,0
https://openalex.org/w2163910905,https://doi.org/10.1523/jneurosci.23-33-10495.2003,https://pubmed.ncbi.nlm.nih.gov/14627633,073-824-505-441-726,0,0
https://openalex.org/w2143821932,https://doi.org/10.1016/j.cub.2011.03.069,https://pubmed.ncbi.nlm.nih.gov/21530258,038-260-835-934-435,0,0
https://openalex.org/w2035079485,https://doi.org/10.1016/j.neurobiolaging.2003.12.004,https://pubmed.ncbi.nlm.nih.gov/15312970,,0,0
https://openalex.org/w1987214940,https://doi.org/10.1111/j.1601-183x.2009.00483.x,https://pubmed.ncbi.nlm.nih.gov/19220479,039-997-677-291-077,0,0
https://openalex.org/w2145913466,https://doi.org/10.1534/genetics.113.152587,,089-477-029-758-69X,0,0
https://openalex.org/w1973648921,https://doi.org/10.1016/j.celrep.2013.08.007,https://pubmed.ncbi.nlm.nih.gov/24035392,080-752-342-743-343,0,0
https://openalex.org/w2167180065,https://doi.org/10.1523/jneurosci.4109-05.2006,https://pubmed.ncbi.nlm.nih.gov/16399696,078-575-192-041-840,0,0
https://openalex.org/w2095018675,https://doi.org/10.1007/s00114-012-1008-z,https://pubmed.ncbi.nlm.nih.gov/23296403,,0,0
https://openalex.org/w1980793383,https://doi.org/10.1007/s10571-015-0183-9,https://pubmed.ncbi.nlm.nih.gov/25791355,039-315-955-761-163,0,0
https://openalex.org/w2082664940,https://doi.org/10.1523/jneurosci.5036-07.2009,https://pubmed.ncbi.nlm.nih.gov/19144841,079-564-459-547-57X,0,0
https://openalex.org/w2140372956,https://doi.org/10.1038/nn1054,https://pubmed.ncbi.nlm.nih.gov/12717438,,0,0
https://openalex.org/w1996925241,https://doi.org/10.1080/01677060802509160,https://pubmed.ncbi.nlm.nih.gov/19306211,034-723-508-393-275,0,0
https://openalex.org/w1958121461,https://doi.org/10.1093/genetics/143.1.293,https://pubmed.ncbi.nlm.nih.gov/8722782,025-111-489-876-031,0,1
https://openalex.org/w2056626222,https://doi.org/10.3389/fnbeh.2014.00006,https://pubmed.ncbi.nlm.nih.gov/24478653,066-432-796-296-090,0,0
https://openalex.org/w2162017938,https://doi.org/10.1093/chemse/bjs055,https://pubmed.ncbi.nlm.nih.gov/22695795,054-194-872-124-180,0,0
https://openalex.org/w2051968955,https://doi.org/10.1111/j.1601-183x.2006.00241.x,https://pubmed.ncbi.nlm.nih.gov/16740144,005-819-432-148-998,0,1
https://openalex.org/w2066185399,https://doi.org/10.1371/journal.pone.0009740,https://pubmed.ncbi.nlm.nih.gov/20305818,017-394-346-552-526,0,0
https://openalex.org/w2007612802,https://doi.org/10.1523/jneurosci.5365-12.2013,https://pubmed.ncbi.nlm.nih.gov/23516283,032-912-483-157-910,0,0
https://openalex.org/w2069048620,https://doi.org/10.1016/j.mad.2006.02.006,,,0,0
