openalex_id,doi,pmid,label_included,label_abstract_included,method
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,1,1,
,https://doi.org/10.1007/978-3-319-48944-5_14,,0,0,
,,,1,1,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1088/1742-6596/1126/1/012017/meta,,0,0,
,,,0,0,
,https://doi.org/10.1145/3457913.3457939,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1145/3205651.3208253,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1145/3344948.3344991,,0,0,
,,,0,0,
,https://doi.org/10.1145/3424771.3424809,,0,0,
,https://doi.org/10.1007/978-3-319-93554-6_55,,0,0,
,https://doi.org/10.1145/3357141.3357148,,0,0,
,,,1,1,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1145/3412841.3442016,,1,1,
,https://doi.org/10.1007/978-3-030-49418-6_21,,0,0,
,https://doi.org/10.1007/978-3-030-79382-1_32,,0,1,
,https://doi.org/10.1007/978-3-030-79382-1_26,,1,1,
,https://doi.org/10.1002/spe.2956,,1,1,
,,,0,0,
,,,0,0,
,https://doi.org/10.1145/3241403.3241429,,0,0,
,,,0,0,
,,,0,1,
,,,0,0,
,https://doi.org/10.1007/978-981-10-8797-4_50,,0,0,
,,,0,1,
,,,0,0,
,,,0,0,
,https://doi.org/10.1007/978-3-030-64846-6_9,,0,0,
,,,0,0,
,,,0,1,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1002/cpe.4436,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1007/978-3-030-65310-1_34,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,,,0,0,
,https://doi.org/10.1002/cpe.6309,,0,0,
,https://doi.org/10.1002/spe.2725,,0,0,
,,,0,0,
,,,0,0,
,,,1,1,
,,,1,1,
,https://doi.org/10.1007/978-981-13-1056-0_53,,0,0,
,,,0,0,
,https://doi.org/10.1145/3011141.3011179,,0,0,
