doi,pmid,openalex_id,label_included
https://doi.org/10.1007/s10545-015-9866-0,26067812,,1
https://doi.org/10.1016/j.jns.2015.06.010,26071888,,1
https://doi.org/10.1186/1750-1172-9-41,24661374,,1
https://doi.org/10.1111/ene.12348,24447648,,1
https://doi.org/10.1097/MEG.0b013e328358f7da,23011036,,1
https://doi.org/10.1007/s00415-005-0720-4,15742108,,1
,8936358,,1
,23109455,,1
https://doi.org/10.1111/j.1478-3231.2010.02354.x,20958917,,1
,20333789,,1
https://doi.org/10.1111/j.1468-1331.2009.02607.x,19473354,,1
https://doi.org/10.1136/gut.2005.087262,16709660,,1
https://doi.org/10.1097/01.mcg.0000225670.91722.59,17063115,,1
https://doi.org/10.1007/s00535-004-1466-y,15622480,,1
,11358907,,1
,4199472,,1
,5742073,,1
https://doi.org/10.1056/NEJM196802152780702,5635646,,1
https://doi.org/10.1016/j.cgh.2013.03.012,23542331,,1
https://doi.org/10.1053/j.gastro.2010.12.034,21185835,,1
https://doi.org/10.1017/S1748232107000043,,,1
https://doi.org/10.1001/archneur.63.4.521,16606763,,1
,15448420,,1
,,,1
,30576569,,1
https://doi.org/10.1016/j.jfma.2017.05.008,28578978,,1
https://doi.org/10.1007/s13361-017-1778-9,28856622,,0
https://doi.org/10.1016/j.clinre.2017.05.011,28648494,,0
https://doi.org/10.1016/j.jfma.2017.05.008,28578978,,0
https://doi.org/10.1016/j.neuro.2017.04.006,28416395,,0
https://doi.org/10.1111/jgh.13812,28452067,,0
https://doi.org/10.20344/amp.6749,27285100,,0
https://doi.org/10.1007/s40846-015-0087-7,26692828,,0
https://doi.org/10.3892/etm.2013.971,23599735,,0
,22102982,,0
https://doi.org/10.1016/j.jtemb.2017.11.005,29173477,,0
https://doi.org/10.1177/1756283X17731520,29147139,,0
https://doi.org/10.1016/S2468-1253(17)30325-4,28988935,,0
https://doi.org/10.1016/S2468-1253(17)30293-5,28988934,,0
,11096747,,0
https://doi.org/10.1007/s11940-016-0426-1,27682263,,0
https://doi.org/10.1097/MPG.0000000000001700,28753182,,0
https://doi.org/10.3748/wjg.v23.i30.5451,28852304,,0
https://doi.org/10.1007/s12328-008-0056-6,26192177,,0
https://doi.org/10.3389/fnmol.2017.00010,28197071,,0
https://doi.org/10.1186/s13104-017-2708-4,28797287,,0
https://doi.org/10.1016/S0377-1237(17)31042-0,28769165,,0
https://doi.org/10.1007/s10545-017-0030-x,28303424,,0
,28588179,,0
https://doi.org/10.1016/j.neulet.2017.04.048,28455101,,0
https://doi.org/10.1016/B978-0-444-63625-6.00019-7,28433106,,0
https://doi.org/10.1016/B978-0-444-63625-6.00018-5,28433105,,0
https://doi.org/10.1016/B978-0-444-63625-6.00015-X,28433101,,0
https://doi.org/10.1016/B978-0-444-63625-6.00012-4,28433098,,0
https://doi.org/10.1097/MPG.0000000000000613,25341025,,0
https://doi.org/10.1016/j.jpeds.2015.12.040,27234281,,0
https://doi.org/10.1016/j.jcis.2016.07.057,27475709,,0
,27734649,,0
https://doi.org/10.1002/cjp2.48,27499926,,0
https://doi.org/10.5223/pghn.2016.19.2.139,27437191,,0
https://doi.org/10.1039/c6mt00095a,27397642,,0
https://doi.org/10.1177/1756285616641598,27366238,,0
https://doi.org/10.1016/j.reprotox.2016.06.015,27350316,,0
https://doi.org/10.5812/hepatmon.29077,27148382,,0
https://doi.org/10.1097/MPG.0000000000001159,26863385,,0
https://doi.org/10.1097/MPG.0000000000001102,26720766,,0
https://doi.org/10.1097/MPG.0000000000001084,26690865,,0
https://doi.org/10.4254/wjh.v7.i29.2859,,,0
https://doi.org/10.5468/ogs.2015.58.5.409,26430668,,0
https://doi.org/10.4103/0019-5154.160498,26288416,,0
https://doi.org/10.3389/fphar.2014.00033,24639652,,0
https://doi.org/10.1016/j.jceh.2013.06.002,25755520,,0
https://doi.org/10.3389/fnagi.2013.00014,23531702,,0
,23930071,,0
https://doi.org/10.4103/2230-8210.104107,23565442,,0
https://doi.org/10.1155/2012/949507,23243526,,0
https://doi.org/10.5812/hepatmon.6233,23087754,,0
https://doi.org/10.5402/2011/464572,22389819,,0
https://doi.org/10.4061/2011/492686,21949909,,0
https://doi.org/10.4021/jocmr2010.04.292w,21811529,,0
,22666674,,0
https://doi.org/10.1155/2009/597371,20130778,,0
https://doi.org/10.4076/1757-1626-2-8640,19918393,,0
https://doi.org/10.1111/j.0924-2708.2006.00108.x,26991983,,0
,15703644,,0
https://doi.org/10.3748/wjg.v3.i4.260,27053888,,0
,18964063,,0
