record_id,title,abstract,authors,year,label_included
1,Antidepressant-like effect of paeonol,"The current study investigated the putative antidepressant-like effect of paeonol, a phenolic component from the root bark of Paeonia suffruticosa Andr. (Ranunculaceae), in mice or rats using the tail suspension test (TST) and forced swimming test (FST), two widely accepted pharmacological models for detecting antidepressant activity in modern medicinal researchers. It was found that paeonol, at doses of 20, 40, and 80 mg/kg (p.o.), reduced immobility time in TST and FST in mice. Paeonol also decreased immobility time at 25 and 50 mg/kg (p.o.) in the FST in rats. Furthermore, paeonol as well as fluoxetine (FLU), at the doses tested, did not produce significant effects on locomotor activity. With 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl tetrazolium bromide (MTT) assay and lactic dehydrogenase (LDH) assay, 5, 10, and 20 muM paeonol or a classical antidepressant, 10 muM FLU, protected PC12 cells from the lesion induced by 10 muM corticosterone (Cort) treatment for 48 h. In the fura-2/AM (acetoxymethyl ester) labeling assay, 10 and 20 muM paeonol, 10 muM FLU attenuated the intracellular Ca 2+ overloading induced by 200 muM Cort treatment for 48 h in PC12 cells. In summary, we first demonstrated that paeonol possessed an antidepressant-like action through the protection of PC12 cells as well as reversal intracellular Ca 2+ overloading. © 2006 Taylor & Francis Group, LLC","W. Zhu, S. Ma, R. Qu and D. Kang",2006,1
2,Chemical constituents and antidepressant activity of the new species Hypericum enshiense occurring in China,"Hypericum enshiense L. H. Wu et F. S. Wang is a new species of Hypericum occurring in China, which was first identified and denominated by our laboratory. No research has been reported on the antidepressant activity and chemical constituents of this new species. In this study, the qualitative and quantitative analyses of the chemical constituents in the hydroalcoholic extract of this species were performed using HPLC/DAD/ESI-MS online method. Hypericin, pseudohypericin and some flavonoids were identified or tentatively identified. Furthermore, H. enshiense had a high content of hypericins than H. perforatum. In addition, the antidepressant activity of the hydroalcoholic extract of the species was investigated using forced swimming test (FST) and tail suspension test (TST). The extract significantly shortened the immobility time in FST and TST, while did not alter the locomoter activity of mice. These results suggested for the first time that the hydroalcoholic extract of H. enshiense might possess potential antidepressant-like activity in the animal behavioral models, and this species might act as a new potential resource for developing antidepressants to treat depressive disorders","D. Wang, J. Bai, F. Sun and D. Yang",2010,1
3,Early onset of cognitive impairment is associated with altered synaptic plasticity and enhanced hippocampal GluA1 expression in a mouse model of depression,"Memory deficit is a common manifestation of age-related cognitive impairment, of which depression is a frequently occurring comorbidity. Previously, we developed a submissive (Sub) mouse line, validated as a model of depressive-like behavior. Using learning paradigms testing hippocampus-dependent spatial and nonspatial memory, we demonstrate here that Sub mice developed cognitive impairments at earlier age (3 months), compared with wild-type mice. Furthermore, acute hippocampal slices from Sub animals failed to display paired-pulse facilitation, whereas primed burst stimulation elicited significantly enhanced long-term potentiation in region CA1, relative to control mice. Changes in synaptic plasticity were accompanied by markedly reduced hippocampal messenger RNA expression of insulin-like growth factor and brain-derived neurotrophic factor. Finally, we identified markedly elevated protein levels of the alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptor subunit GluA1 in the hippocampi of Sub mice, which was exacerbated with age. Taken together, the results point to a linkage between depressive-like behavior and the susceptibility to develop age-related cognitive impairment, potentially by hippocampal alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor-mediated glutamatergic signaling","M. Gross, A. Sheinin, E. Nesher, T. Tikhonov, D. Baranes, A. Pinhasov and I. Michaelevski",2015,1
4,"Deep brain stimulation in treatment-resistant depression in mice: comparison with the CRF1 antagonist, SSR125543","Deep brain stimulation (DBS) has been demonstrated to represent a targeted therapeutic alternative for treatment-resistant depression. In this study, we used the unpredictable chronic mild stress (UCMS) test to validate high-frequency electrical stimulation of the cingulate cortex (CC) as a possible treatment to improve behavioral symptoms associated with a depressive-like state in treatment-resistant mice. The effects of DBS were compared with those of the CRF(1) antagonist, SSR125543. Mice were subjected to UCMS, which consisted of the sequential and unpredictable application of mild stressors for a total of 8 weeks. From week 4 until the end of week 6, mice received either a saline injection or were treated with the antidepressant, fluoxetine (10 mg/kg, i.p.). At the end of week 6, fluoxetine-treated mice were subdivided into two populations, that is one responding to fluoxetine, and one not responding, based on their fur coat state, an index of depressive-like state in this test. Non-responders were subsequently subjected to bilateral DBS (at 80 or 120 Hz, 1-h/day) or were treated with SSR125543 (20 mg/kg, i.p.) for two weeks. Stimulation of the CC at 120 Hz in treatment-resistant mice resulted in a normalization of motivated-like responses, anxiety-related behaviors, hyperactivity and aggressiveness. SSR125543 improved motivated-like and aggressive behaviors. These findings demonstrate that bilateral DBS of the CC and, to a lesser extent, pharmacological blockade of the CRF(1) receptor in treatment-resistant mice can attenuate several aspects of depressive-like behaviors, suggesting further that these approaches may represent valid alternatives for the treatment of drug-resistant depressed and/or anxious patients","C. Dournes, S. Beeske, C. Belzung and G. Griebel",2013,1
5,"Activation of brain indoleamine 2,3-dioxygenase contributes to epilepsy-associated depressive-like behavior in rats with chronic temporal lobe epilepsy","BACKGROUND: Depression has most often been diagnosed in patients with temporal lobe epilepsy (TLE), but the mechanism underlying this association remains unclear. In this study, we report that indoleamine 2,3-dioxygenase 1 (IDO1), a rate-limiting enzyme in tryptophan metabolism, plays a key role in epilepsy-associated depressive-like behavior. METHODS: Rats which develop chronic epilepsy following pilocarpine status epilepticus exhibited a set of interictal disorders consistent with depressive-like behavior. Changes of depressive behavior were examined by taste preference test and forced swim test; brain IL-1beta, IL-6 and IDO1 expression were quantified using real-time reverse transcriptase PCR; brain kynurenine/tryptophan and serotonin/tryptophan ratios were analyzed by liquid chromatography-mass spectrometry. Oral gavage of minocycline or subcutaneous injection of 1-methyltryptophan (1-MT) were used to inhibite IDO1 expression. RESULTS: We observed the induction of IL-1beta and IL-6 expression in rats with chronic TLE, which further induced the upregulation of IDO1 expression in the hippocampus. The upregulation of IDO1 subsequently increased the kynurenine/tryptophan ratio and decreased the serotonin/tryptophan ratio in the hippocampus, which contributed to epilepsy-associated depressive-like behavior. The blockade of IDO1 activation prevented the development of depressive-like behavior but failed to influence spontaneous seizures. This effect was achieved either indirectly, through the anti-inflammatory tetracycline derivative minocycline, or directly, through the IDO antagonist 1-MT, which normalizes kynurenine/tryptophan and serotonin/tryptophan ratios. CONCLUSION: Brain IDO1 activity plays a key role in epileptic rats with epilepsy-associated depressive-like behavior","W. Xie, L. Cai, Y. Yu, L. Gao, L. Xiao, Q. He, Z. Ren and Y. Liu",2014,1
6,Antidepressant-like effect of Salvia sclarea is explained by modulation of dopamine activities in rats,"AIM OF THE STUDY: The purpose of the present study was to screen aromatic essential oils that have antidepressant effects to identify the regulatory mechanisms of selected essential oils. MATERIALS AND METHODS: The antidepressant effects of essential oils of Anthemis nobilis (chamomile), Salvia sclarea (clary sage; clary), Rosmarinus officinalis (rosemary), and Lavandula angustifolia (lavender) were assessed using a forced swim test (FST) in rats. Rats were treated with essential oils by intraperitoneal injection or inhalation. Serum levels of corticosterone were assessed by enzyme-linked immunosorbent assay (ELISA). RESULTS: Among the essential oils tested, 5% (v/v) clary oil had the strongest anti-stressor effect in the FST. We further investigated the mechanism of clary oil antidepression by pretreatment with agonists or antagonists to serotonin (5-HT), dopamine (DA), adrenaline, and GABA receptors. The anti-stressor effect of clary oil was significantly blocked by pretreatment with buspirone (a 5-HT(1A) agonist), SCH-23390 (a D(1) receptor antagonist) and haloperidol (a D(2), D(3), and D(4) receptor antagonist). CONCLUSIONS: Our findings indicate that clary oil could be developed as a therapeutic agent for patients with depression and that the antidepressant-like effect of clary oil is closely associated with modulation of the DAnergic pathway","G. H. Seol, H. S. Shim, P. J. Kim, H. K. Moon, K. H. Lee, I. Shim, S. H. Suh and S. S. Min",2010,1
7,The antidepressant-induced analgesic effect,"Since 1960 clinicians and researchers have been claiming that there is evidence for an antidepressant-induced analgesic effect. The effect could be accomplished (1) as a secondary effect of a reduction in depression, (2) as a secondary effect of general sedation, or (3) by a biochemical mechanism that is independent of changes in mood or sedation but which is probably related to serotonin reuptake inhibition. Our meta-analysis summarized the results of the available double-blind, placebo-controlled trials for several chronic pain syndromes up to 1990 and found support for an independent biochemical mechanism but not for the crucial role of serotonin reuptake inhibition. Seventeen more recent (since 1990) double-blind, placebo-controlled trials have substantiated the meta-analytical results. Furthermore, recent animal and laboratory studies have confirmed that the antidepressant-induced analgesic effect is not a clinical chimaera and have made important progress with respect to possible sites and mechanisms of action",P. Onghena and H. B. van,1998,1
8,Necessity of hippocampal neurogenesis for the therapeutic action of antidepressants in adult nonhuman primates,"BACKGROUND: Rodent studies show that neurogenesis is necessary for mediating the salutary effects of antidepressants. Nonhuman primate (NHP) studies may bridge important rodent findings to the clinical realm since NHP-depression shares significant homology with human depression and kinetics of primate neurogenesis differ from those in rodents. After demonstrating that antidepressants can stimulate neurogenesis in NHPs, our present study examines whether neurogenesis is required for antidepressant efficacy in NHPs. MATERIALS/METHODOLOGY: Adult female bonnets were randomized to three social pens (N = 6 each). Pen-1 subjects were exposed to control-conditions for 15 weeks with half receiving the antidepressant fluoxetine and the rest receiving saline-placebo. Pen-2 subjects were exposed to 15 weeks of separation-stress with half receiving fluoxetine and half receiving placebo. Pen-3 subjects 2 weeks of irradiation (N = 4) or sham-irradiation (N = 2) and then exposed to 15 weeks of stress and fluoxetine. Dependent measures were weekly behavioral observations and postmortem neurogenesis levels. RESULTS: Exposing NHPs to repeated separation stress resulted in depression-like behaviors (anhedonia and subordinance) accompanied by reduced hippocampal neurogenesis. Treatment with fluoxetine stimulated neurogenesis and prevented the emergence of depression-like behaviors. Ablation of neurogenesis with irradiation abolished the therapeutic effects of fluoxetine. Non-stressed controls had normative behaviors although the fluoxetine-treated controls had higher neurogenesis rates. Across all groups, depression-like behaviors were associated with decreased rates of neurogenesis but this inverse correlation was only significant for new neurons in the anterior dentate gyrus that were at the threshold of completing maturation. CONCLUSION: We provide evidence that induction of neurogenesis is integral to the therapeutic effects of fluoxetine in NHPs. Given the similarity between monkeys and humans, hippocampal neurogenesis likely plays a similar role in the treatment of clinical depression. Future studies will examine several outstanding questions such as whether neuro-suppression is sufficient for producing depression and whether therapeutic neuroplastic effects of fluoxetine are specific to antidepressants","T. D. Perera, A. J. Dwork, K. A. Keegan, L. Thirumangalakudi, C. M. Lipira, N. Joyce, C. Lange, J. D. Higley, G. Rosoklija, R. Hen, H. A. Sackeim and J. D. Coplan",2011,1
9,Dietary restriction reverses obesity-induced anhedonia,"Obesity-induced changes in the metabolic and endocrine milieu elicit deficits in neuroplasticity, including increased risk for development of neuropsychiatric disorders such as depressive illness. We previously demonstrated that downregulation of hypothalamic insulin receptors (hypo-IRAS) elicits a phenotype that is consistent with features of the metabolic syndrome (MetS) and that rats with this phenotype exhibit deficits in neuronal plasticity, including depressive-like behaviors such as anhedonia. Since food restriction paradigms effectively inhibit obesity-induced neuroplasticity deficits, the aim of the current study was to determine whether food restriction could reverse obesity-induced anhedonia in hypo-IRAS rats. Compared to hypo-IRAS rats provided ad lib food access, food restriction paradigms that were initiated either prior to increases in body weight or following development of the MetS/obesity phenotype effectively restored sucrose intake in hypo-IRAS rats. Moreover, food restriction paradigms were able to prevent and reverse the changes in the endocrine/metabolic/inflammatory milieu observed in hypo-IRAS, such as increases in plasma leptin and triglyceride levels and increases in pro-inflammatory cytokines such as IL-1alpha, IL-6 and C-reactive protein (CRP). Collectively, these results demonstrate that obesity-induced anhedonia is a reversible process and identify some potential mechanistic mediators that may be responsible for co-morbid depression in obesity","C. A. Grillo, P. Mulder, V. A. Macht, K. F. Kaigler, S. P. Wilson, M. A. Wilson and L. P. Reagan",2014,1
10,Evidence that the periaqueductal gray matter mediates the facilitation of panic-like reactions in neonatally-isolated adult rats,"Plenty of evidence suggests that childhood separation anxiety (CSA) predisposes the subject to adult-onset panic disorder (PD). As well, panic is frequently comorbid with both anxiety and depression. The brain mechanisms whereby CSA predisposes to PD are but completely unknown in spite of the increasing evidence that panic attacks are mediated at midbrain's dorsal periaqueductal gray matter (DPAG). Accordingly, here we examined whether the neonatal social isolation (NSI), a model of CSA, facilitates panic-like behaviors produced by electrical stimulations of DPAG of rats as adults. Eventual changes in anxiety and depression were also assessed in the elevated plus-maze (EPM) and forced-swimming test (FST) respectively. Male pups were subjected to 3-h daily isolations from post-natal day 2 (PN2) until weaning (PN21) allotting half of litters in individual boxes inside a sound-attenuated chamber (NSI, n = 26) whilst siblings (sham-isolated rats, SHAM, n = 27) and dam were moved to another box in a separate room. Non-handled controls (CTRL, n = 18) remained undisturbed with dams until weaning. As adults, rats were implanted with electrodes into the DPAG (PN60) and subjected to sessions of intracranial stimulation (PN65), EPM (PN66) and FST (PN67-PN68). Groups were compared by Fisher's exact test (stimulation sites), likelihood ratio chi-square tests (stimulus-response threshold curves) and Bonferroni's post hoc t-tests (EPM and FST), for P<0.05. Notably, DPAG-evoked panic-like responses of immobility, exophthalmus, trotting, galloping and jumping were markedly facilitated in NSI rats relative to both SHAM and CTRL groups. Conversely, anxiety and depression scores either did not change or were even reduced in neonatally-handled groups relative to CTRL, respectively. Data are the first behavioral evidence in animals that early-life separation stress produces the selective facilitation of panic-like behaviors in adulthood. Most importantly, results implicate the DPAG not only in panic attacks but also in separation-anxious children's predispositions to the late development of PD","J. W. Quintino-dos-Santos, C. J. Muller, C. S. Bernabe, C. A. Rosa, S. Tufik and L. C. Schenberg",2014,1
