id,id_type,label_included
10.1001/jamanetworkopen.2018.0756,doi,1
10.1007/s00394-020-02186-4,doi,1
10.1038/ijo.2010.171,doi,1
10.1038/s41366-020-0525-7,doi,1
10.1002/oby.22345,doi,1
10.1007/s11357-020-00156-6,doi,1
10.1016/j.nutres.2019.12.001,doi,1
10.1186/s12967-016-1044-0,doi,1
10.1024/0300-9831/a000623,doi,1
10.2337/dc19-1957,doi,1
10.1093/ajcn/nqy196,doi,1
10.1016/j.cmet.2018.04.010,doi,1
10.1001/jamainternmed.2017.0936,doi,1
10.1016/j.cmet.2019.11.004,doi,1
10.1017/s0007114519003428,doi,1
10.1249/mss.0000000000002488,doi,1
10.3390/nu12041126,doi,1
10.1371/journal.pone.0174342,doi,0
10.1159/000084739,doi,0
10.1159/000100954,doi,0
10.3389/fendo.2019.00849,doi,0
10.1002/osp4.52,doi,0
10.2337/db14-1741-2092,doi,0
10.1016/j.placenta.2014.06.320,doi,0
10.4103/atm.ATM_15_17,doi,0
10.4103/atm.ATM_181_17,doi,0
10.1371/journal.pone.0226034,doi,0
10.1097/wnp.0000000000000569,doi,0
10.1371/journal.pone.0092214,doi,0
10.3390/nu11071500,doi,0
10.1002/oby.22065,doi,0
10.1159/000468958,doi,0
10.1017/s0029665115004620,doi,0
10.1159/000382140,doi,0
10.1017/s0029665116001208,doi,0
10.1017/s0007114515005346,doi,0
10.1017/s0007114517003890,doi,0
10.1017/s0029665117003056,doi,0
10.1159/000489691,doi,0
10.1007/s00394-019-02098-y,doi,0
10.1080/09291016.2018.1491202,doi,0
10.4239/wjd.v8.i4.154,doi,0
10.1038/sj.ijo.0802295,doi,0
10.1016/j.scispo.2011.03.004,doi,0
10.1016/j.sleep.2013.11.132,doi,0
10.4103/1817-1737.172296,doi,0
10.1111/jsr.12076,doi,0
10.1186/1744-9081-9-32,doi,0
10.1111/j.1365-2869.2012.01044.x,doi,0
10.1186/s13063-019-3928-9,doi,0
10.1161/hyp.72.suppl_1.P372,doi,0
10.1016/s0261-5614(19)32519-1,doi,0
10.1093/jn/nxz296,doi,0
10.1080/1028415x.2016.1191165,doi,0
10.1016/0029-7844(94)00410-f,doi,0
10.1038/oby.2010.54,doi,0
10.1016/j.clnme.2013.07.005,doi,0
10.1002/oby.20353,doi,0
10.1016/s1744-1161(12)70025-x,doi,0
10.1111/1753-0407.12032,doi,0
10.3390/nu10091145,doi,0
10.1016/j.cmet.2015.05.012,doi,0
10.1016/j.bbi.2009.06.018,doi,0
10.1097/JSM.0b013e3182293891,doi,0
10.1002/pros.21136,doi,0
10.1111/obr.12148,doi,0
10.1038/ijo.2017.206,doi,0
10.1186/s12876-019-1132-8,doi,0
10.1016/j.orcp.2018.11.027,doi,0
10.1016/j.diabres.2016.10.010,doi,0
10.4239/wjd.v7.i20.627,doi,0
10.1016/j.diabres.2019.04.013,doi,0
10.2337/db16-652-860,doi,0
10.1016/s0261-5614(19)32635-4,doi,0
10.1002/oby.21581,doi,0
10.1055/s-2007-965338,doi,0
10.1210/en.2011-2101,doi,0
10.1080/07315724.2016.1256795,doi,0
10.1123/ijspp.2016-0125,doi,0
10.1016/j.mehy.2014.01.009,doi,0
10.1016/j.metabol.2019.01.002,doi,0
10.3390/jcm8101645,doi,0
10.2337/db19-2076-P,doi,0
10.1055/s-0031-1286251,doi,0
10.1016/j.cmet.2018.05.006,doi,0
10.1002/ana.25024,doi,0
10.1177/1352458517693959,doi,0
10.1186/s12967-018-1748-4,doi,0
10.1007/s40519-018-0576-0,doi,0
10.1017/s0007114518002568,doi,0
10.1159/000446744,doi,0
10.3945/ajcn.116.136937,doi,0
10.4239/wjd.v8.i10.440,doi,0
10.1111/1747-0080.12372,doi,0
10.1111/imj.14295,doi,0
10.1111/dme.13595,doi,0
10.1016/j.clnu.2017.04.002,doi,0
