pmid,doi,openalex_id,label_included
https://pubmed.ncbi.nlm.nih.gov/10023937,https://doi.org/10.1016/s0140-6736(98)00413-9,https://openalex.org/W2029100007,0
,,,1
https://pubmed.ncbi.nlm.nih.gov/10024334,https://doi.org/10.1161/01.hyp.33.2.713,https://openalex.org/W1972485283,0
https://pubmed.ncbi.nlm.nih.gov/10025200,,https://openalex.org/W2444237017,0
https://pubmed.ncbi.nlm.nih.gov/10026356,https://doi.org/10.1136/hrt.81.3.297,https://openalex.org/W2141371275,0
https://pubmed.ncbi.nlm.nih.gov/10027497,https://doi.org/10.1016/s0197-2456(98)00052-x,https://openalex.org/W2588341002,0
https://pubmed.ncbi.nlm.nih.gov/10027498,https://doi.org/10.1016/s0197-2456(98)00054-3,https://openalex.org/W2616158449,0
https://pubmed.ncbi.nlm.nih.gov/10027499,https://doi.org/10.1016/s0197-2456(98)00051-8,https://openalex.org/W1520557542,0
https://pubmed.ncbi.nlm.nih.gov/10028936,https://doi.org/10.1097/00005344-199902000-00014,https://openalex.org/W2335761270,0
https://pubmed.ncbi.nlm.nih.gov/10030088,,https://openalex.org/W2411784750,0
https://pubmed.ncbi.nlm.nih.gov/10030097,,https://openalex.org/W2415302726,0
https://pubmed.ncbi.nlm.nih.gov/10030320,https://doi.org/10.1016/s0140-6736(98)00361-4,https://openalex.org/W1996365396,0
https://pubmed.ncbi.nlm.nih.gov/10030325,https://doi.org/10.1016/s0140-6736(98)05012-0,https://openalex.org/W2102979143,0
https://pubmed.ncbi.nlm.nih.gov/10047618,https://doi.org/10.1016/s0002-8703(99)70484-9,https://openalex.org/W2168980928,0
https://pubmed.ncbi.nlm.nih.gov/10063787,,https://openalex.org/W1800048193,0
https://pubmed.ncbi.nlm.nih.gov/10068356,https://doi.org/10.7326/0003-4819-130-2-199901190-00004,https://openalex.org/W2008531072,0
https://pubmed.ncbi.nlm.nih.gov/10073788,https://doi.org/10.1016/s0002-9149(98)00809-1,https://openalex.org/W2992816338,0
https://pubmed.ncbi.nlm.nih.gov/10073847,https://doi.org/10.1016/s0002-9149(98)00899-6,https://openalex.org/W1991924532,0
https://pubmed.ncbi.nlm.nih.gov/10073852,https://doi.org/10.1016/s0002-9149(98)00904-7,https://openalex.org/W1988718127,0
,,,0
https://pubmed.ncbi.nlm.nih.gov/10075137,https://doi.org/10.1053/euhj.1998.1121,https://openalex.org/W2467961172,0
https://pubmed.ncbi.nlm.nih.gov/10075140,https://doi.org/10.1053/euhj.1998.1272,https://openalex.org/W2291110751,0
https://pubmed.ncbi.nlm.nih.gov/10080412,https://doi.org/10.1016/s0002-9149(98)00960-6,https://openalex.org/W1980246948,1
https://pubmed.ncbi.nlm.nih.gov/10081339,,https://openalex.org/W2405322622,0
https://pubmed.ncbi.nlm.nih.gov/10081516,https://doi.org/10.1046/j.1365-2796.1999.00415.x,https://openalex.org/W1971493041,0
https://pubmed.ncbi.nlm.nih.gov/10081517,https://doi.org/10.1046/j.1365-2796.1999.0425f.x,https://openalex.org/W2057411902,0
https://pubmed.ncbi.nlm.nih.gov/10082500,https://doi.org/10.1161/01.hyp.33.3.862,https://openalex.org/W2014246799,0
https://pubmed.ncbi.nlm.nih.gov/10088066,,https://openalex.org/W80511101,0
https://pubmed.ncbi.nlm.nih.gov/10090111,https://doi.org/10.1001/archinte.159.6.551,https://openalex.org/W2095656324,0
https://pubmed.ncbi.nlm.nih.gov/10091817,https://doi.org/10.1016/s0735-1097(98)00680-9,https://openalex.org/W2103365026,0
https://pubmed.ncbi.nlm.nih.gov/10095796,https://doi.org/10.1046/j.1365-2796.1998.00319.x,https://openalex.org/W2043861442,0
https://pubmed.ncbi.nlm.nih.gov/10097224,https://doi.org/10.1016/s0002-8703(99)70217-6,https://openalex.org/W2161523568,0
https://pubmed.ncbi.nlm.nih.gov/10097226,https://doi.org/10.1016/s0002-8703(99)70219-x,https://openalex.org/W2124727156,0
https://pubmed.ncbi.nlm.nih.gov/10099062,https://doi.org/10.1097/00045391-199807000-00003,https://openalex.org/W2082088029,0
https://pubmed.ncbi.nlm.nih.gov/10099065,https://doi.org/10.1097/00045391-199807000-00006,https://openalex.org/W2045785610,0
https://pubmed.ncbi.nlm.nih.gov/10099075,https://doi.org/10.1097/00045391-199809000-00007,https://openalex.org/W2027697161,0
https://pubmed.ncbi.nlm.nih.gov/10099140,https://doi.org/10.1056/nejm199904013401302,https://openalex.org/W2331382161,0
https://pubmed.ncbi.nlm.nih.gov/10100068,https://doi.org/10.1097/00004872-199917030-00003,https://openalex.org/W2313390285,0
