pmid,doi,openalex_id,label_included
https://pubmed.ncbi.nlm.nih.gov/10024334,https://doi.org/10.1161/01.hyp.33.2.713,https://openalex.org/W1972485283,0
https://pubmed.ncbi.nlm.nih.gov/10029786,,https://openalex.org/W4299600072,0
https://pubmed.ncbi.nlm.nih.gov/10030325,https://doi.org/10.1016/s0140-6736(98)05012-0,https://openalex.org/W2102979143,0
https://pubmed.ncbi.nlm.nih.gov/10052772,https://doi.org/10.1902/jop.1999.70.1.63,https://openalex.org/W2017797465,0
https://pubmed.ncbi.nlm.nih.gov/10053176,https://doi.org/10.1056/nejm199903043400902,https://openalex.org/W1999904792,0
https://pubmed.ncbi.nlm.nih.gov/10067786,,https://openalex.org/W4300047977,0
https://pubmed.ncbi.nlm.nih.gov/10069685,https://doi.org/10.1097/00005344-199903000-00019,https://openalex.org/W2315107321,0
https://pubmed.ncbi.nlm.nih.gov/10073852,https://doi.org/10.1016/s0002-9149(98)00904-7,https://openalex.org/W1988718127,0
https://pubmed.ncbi.nlm.nih.gov/10080455,https://doi.org/10.1016/s0002-9149(99)00035-1,https://openalex.org/W2463482407,0
https://pubmed.ncbi.nlm.nih.gov/10090111,https://doi.org/10.1001/archinte.159.6.551,https://openalex.org/W2095656324,0
https://pubmed.ncbi.nlm.nih.gov/10090348,https://doi.org/10.1016/s0895-7061(98)00233-7,https://openalex.org/W2105973668,0
https://pubmed.ncbi.nlm.nih.gov/10091520,,https://openalex.org/W1934807845,0
https://pubmed.ncbi.nlm.nih.gov/10099034,https://doi.org/10.1097/00045391-199801000-00005,https://openalex.org/W1973228555,0
https://pubmed.ncbi.nlm.nih.gov/10099075,https://doi.org/10.1097/00045391-199809000-00007,https://openalex.org/W2027697161,0
https://pubmed.ncbi.nlm.nih.gov/10100056,https://doi.org/10.1038/sj.jhh.1000780,https://openalex.org/W2327739018,0
https://pubmed.ncbi.nlm.nih.gov/10100063,https://doi.org/10.1038/sj.jhh.1000769,https://openalex.org/W1128729114,0
https://pubmed.ncbi.nlm.nih.gov/10100066,https://doi.org/10.1097/00004872-199917030-00001,https://openalex.org/W2315035482,0
https://pubmed.ncbi.nlm.nih.gov/10100083,https://doi.org/10.1097/00004872-199917030-00018,https://openalex.org/W2319820844,0
https://pubmed.ncbi.nlm.nih.gov/10158113,,https://openalex.org/W2406071529,0
https://pubmed.ncbi.nlm.nih.gov/10172139,,https://openalex.org/W131874683,0
https://pubmed.ncbi.nlm.nih.gov/10183386,,https://openalex.org/W4300858407,0
https://pubmed.ncbi.nlm.nih.gov/10189144,https://doi.org/10.1002/(sici)1097-0142(19990315)85:6<1369::aid-cncr21>3.0.co;2-5,https://openalex.org/W2149078509,1
https://pubmed.ncbi.nlm.nih.gov/10192229,https://doi.org/10.1016/s0895-7061(98)00225-8,https://openalex.org/W1997897341,0
https://pubmed.ncbi.nlm.nih.gov/10192233,https://doi.org/10.1016/s0895-7061(98)00259-3,https://openalex.org/W2142834180,0
https://pubmed.ncbi.nlm.nih.gov/10195086,https://doi.org/10.1136/thx.53.12.1094,https://openalex.org/W1923760699,0
https://pubmed.ncbi.nlm.nih.gov/10197663,https://doi.org/10.1016/s0003-4975(98)01039-x,https://openalex.org/W2021856311,0
https://pubmed.ncbi.nlm.nih.gov/10202197,,https://openalex.org/W2411044431,0
https://pubmed.ncbi.nlm.nih.gov/10203199,https://doi.org/10.1093/ageing/28.1.15,https://openalex.org/W2145938374,0
https://pubmed.ncbi.nlm.nih.gov/10204813,https://doi.org/10.1038/sj.jhh.1000787,https://openalex.org/W1989785590,0
https://pubmed.ncbi.nlm.nih.gov/10213554,https://doi.org/10.1016/s0140-6736(05)70455-4,https://openalex.org/W2123036055,0
https://pubmed.ncbi.nlm.nih.gov/10218748,https://doi.org/10.1001/archinte.159.7.693,https://openalex.org/W2017946023,1
https://pubmed.ncbi.nlm.nih.gov/10220634,https://doi.org/10.1016/s0002-8703(99)70409-6,https://openalex.org/W2001164101,0
https://pubmed.ncbi.nlm.nih.gov/10321444,https://doi.org/10.1080/080370598437178,https://openalex.org/W2082062179,0
https://pubmed.ncbi.nlm.nih.gov/10323641,https://doi.org/10.1111/j.1532-5415.1999.tb02562.x,https://openalex.org/W1994930872,1
