pmid,doi,openalex_id,label_included
10072236,,,0
10090424,,,0
10091204,,,0
10212006,,,0
10227004,,,0
10372727,,,0
10375338,,,1
10399774,,,0
10408073,,,0
10430010,,,0
10434233,,,0
10451908,,,0
10472853,,,0
10484532,,,0
10486788,,,0
10486791,,,0
10487657,,,1
10505587,,,0
10522982,,,0
10550454,,,1
10566625,,,0
10604047,,,0
10636492,,,0
10636508,,,0
10649811,,,0
10657735,,,0
10663358,,,0
10674594,,,0
10687882,,,1
10714908,,,1
10714909,,,1
10714911,,,0
10745058,,,0
10758784,,,1
10760294,,,0
10761538,,,0
10775738,,,1
10797125,,,0
10805607,,,0
10810960,,,1
10824236,,,0
10831472,,,0
10857213,,,0
10875847,,,0
10931767,,,0
10945511,,,1
10960626,,,0
10960627,,,0
10979796,,,0
10989241,,,0
10993030,,,1
11006499,,,1
11042235,,,0
11063900,,,1
11063905,,,0
11084176,,,0
11084177,,,0
11099873,,,0
11109313,,,0
11127760,,,0
11137327,,,0
11152919,,,1
11158017,,,0
11173778,,,0
11226444,,,0
11255422,,,1
11275026,,,0
11304880,,,0
11304940,,,0
11306204,,,0
11336741,,,1
11386980,,,1
11398578,,,0
11400216,,,0
11403976,,,0
11408508,,,0
11408781,,,0
11420773,,,1
11428178,,,0
11445632,,,0
11449079,,,0
11449087,,,0
11449182,,,0
11473488,,,0
11486242,,,0
11497535,,,1
11524467,,,0
11528357,,,0
11530128,,,0
11549629,,,0
11549646,,,0
11684377,,,0
11704101,,,0
11770188,,,0
11772282,,,0
11779264,,,0
11812509,,,0
11828273,,,0
11829697,,,1
11835027,,,0
11836043,,,0
11886769,,,1
11895463,,,0
11896091,,,0
11907928,,,1
11907946,,,1
11908491,,,0
11908492,,,1
11910586,,,0
11910619,,,1
11910651,,,0
11911720,,,1
11915576,,,0
11915854,,,1
11922259,,,0
11932272,,,0
11932273,,,0
11932287,,,0
11934652,,,1
11934658,,,0
11939671,,,1
11940375,,,0
11973443,,,1
11974560,,,0
11978277,,,0
11991445,,,0
12014437,,,0
12020302,,,1
12036821,,,0
12047395,,,0
12051113,,,0
12065927,,,0
12076241,,,1
12082358,,,0
12082361,,,0
12090862,,,1
12090863,,,1
12091203,,,0
12102671,,,0
12107206,,,0
12110412,,,0
12110425,,,1
12113884,,,0
12117397,,,1
12117398,,,1
12123333,,,0
12125806,,,0
12130763,,,0
12153335,,,0
12153599,,,0
12161047,,,0
12174922,,,0
12176121,,,0
12177098,,,0
12177099,,,0
12186625,,,0
12190841,,,0
12191852,,,0
12196750,,,0
12197366,,,0
12202468,,,0
12208797,,,0
12212785,,,0
12213517,,,0
12218381,,,0
12218721,,,0
12218723,,,1
12225339,,,0
12269863,,,0
12270857,,,0
12356628,,,0
12361820,,,0
12362928,,,0
12364420,,,0
12370107,,,0
12382352,,,0
12390622,,,0
12401147,,,0
12407324,,,0
12414849,,,0
12414850,,,0
12414853,,,0
12419083,,,0
12427399,,,0
12428992,,,0
12435217,,,0
12440549,,,0
12440557,,,0
12443837,,,0
12449905,,,0
12450599,,,0
12454761,,,0
12458987,,,0
12459399,,,0
12459411,,,0
12466335,,,0
12466367,,,0
12468135,,,0
12468165,,,0
12472620,,,0
12479631,,,0
12482109,,,0
12482164,,,0
12490680,,,0
12490735,,,0
12497673,,,0
12499030,,,0
12504395,,,0
12519833,,,0
12519869,,,0
12521651,,,0
12521655,,,0
12544674,,,1
12544676,,,0
12547489,,,0
