record_id,pubmedID,title,authors,abstract,year,label_included,label_abstract_screening
1,10024335,Distinct and combined vascular effects of ACE blockade and HMG-CoA reductase inhibition in hypertensive subjects.,P Nazzaro; M Manzari; M Merlo; R Triggiani; A Scarano; L Ciancio; A Pirrelli,"Hypercholesterolemia and hypertension are frequently associated with elevated sympathetic activity. Both are independent cardiovascular risk factors and both affect endothelium-mediated vasodilation. To identify the effects of cholesterol-lowering and antihypertensive treatments on vascular reactivity and vasodilative capacity, we studied 30 hypercholesterolemic hypertensive subjects. They received placebo for 4 weeks, either enalapril or simvastatin for 14 weeks, and, finally, both medications for an additional 14 weeks. Postischemic forearm blood flow (MFBF) and minimal vascular resistance (mFVR) were used as indices of vasodilative capacity and structural vascular damage, respectively. Total (resting-stress-recovery phases) cardiovascular (blood pressure [BP] and heart rate [HR]) and regional hemodynamic (FBF and FVR) reactivity to stressful stimuli were calculated as area-under-the-curve (auc) (valuextime). Compared with baseline levels, simvastatin reduced total (TOT-C) and LDL cholesterol (LDL-C) (1.27 mmol/L, P<0.001 and 1.33 mmol/L, P<0.001, respectively). Enalapril also reduced TOT-C and LDL-C (0.6 mmol/L, P<0.001 and 0.58 mmol/L, P<0.05, respectively). MFBF was increased substantially by both treatments (P<0.001). Enalapril had a greater effect (-1.7 arbitrary units (AU), P<0.001) than simvastatin (-0.6 AU, P<0.05) on mFVR. During stress, FBF increased more with enalapril (4.4 FBFxminutes, P<0.001) than with simvastatin (1.8 FBFxminutes, P<0.01). Conversely, FVR stress response was reduced more with enalapril (9.1 FVRxminutes, P<0.001) than with simvastatin (2.9 FVRxminutes, P<0.01). During combination treatment, a significant (0.001>P<0.05) additive effect on hypercholesterolemia, structural vascular damage, BP, and FVR was shown. The findings suggest that angiotensin-converting enzyme (ACE) inhibition induces a larger reduction than HMG-CoA reductase blockade in vascular reactivity and structural damage in hypercholesterolemic hypertensive subjects.",1999.0,0,0
2,10027665,Computerized surveillance of adverse drug reactions in hospital: implementation.,M Levy; T Azaz-Livshits; B Sadan; M Shalit; G Geisslinger; K Brune,"To implement and measure the effects of automatic computerized laboratory signals (ALS) as a detection support tool of adverse drug reactions (ADRs) in hospital. This was a prospective observational study of a total of 192 patients (199 sequential medical admissions) during a 2-month period in a 34-bed medical ward at the Hadassah University Hospital, Jerusalem, Israel. The study involved the routine (daily) distribution to staff physicians of lists of automatic signals generated from computerized laboratory data as potential indicators of ADRs. Patient charts were reviewed by the clinical pharmacology team for ADRs and to see whether these were recognized by the staff physicians. Seventy-one ADRs were detected in 64 of the 199 (32%) admissions. Twenty-seven per cent of the ADRs were serious, 9% of the admissions were due to ADRs. Two hundred and ninety-five ALS were generated involving 69% of the admissions. Sixty-one per cent of the ADRs were identified by ALS. ALS were present in 58% of the ADR negative admissions. Eighty-five per cent of the ADRs were recognized as such and 19% of the ALS-positive ADRs were not recognized by the staff physicians. The routine implementation of ALS doubled the number of ADRs recognized by the physicians while patients were hospitalized in the medical ward. The use of the system appeared valid, simple and potentially cost-effective.",1999.0,0,0
3,10027935,Glomerular size-selective dysfunction in NIDDM is not ameliorated by ACE inhibition or by calcium channel blockade.,P Ruggenenti; L Mosconi; F Sangalli; F Casiraghi; V Gambara; G Remuzzi; A Remuzzi,"In patients with insulin-dependent diabetes mellitus (IDDM) and overt nephropathy glomerular barrier size-selectivity progressively deteriorates with time and is effectively improved by angiotensin converting enzyme (ACE) inhibition. Whether similar glomerular functional changes develop in proteinuric patients with non-insulin-dependent diabetes mellitus (NIDDM), and whether antihypertensive agents can favorably affect glomerular filtration of macromolecules in these patients, has not been documented yet. We investigated renal hemodynamics and fractional clearance of neutral dextrans of graded sizes, in nine proteinuric patients with NIDDM and renal biopsy findings of typical diabetic glomerulopathy. Six healthy volunteers served as controls. We also investigated the effects of an ACE inhibitor and of a calcium channel blocker, both given in doses targeted to achieve a comparable level of systemic blood pressure control, on glomerular hemodynamics and sieving function. Theoretical analysis of glomerular macromolecule transport was adopted to evaluate intrinsic glomerular membrane permeability properties. Fractional clearance of large macromolecules (42 to 66 A in radius) was significantly higher in diabetic patients than in controls, and the distribution of membrane pore radii was calculated to be shifted towards larger pore sizes in diabetics (mean radius increased from 55 to 60 A). Despite effective blood pressure control, neither antihypertensive affected glomerular hemodynamics to any significant extent. Fractional clearance of dextrans, as well as of albumin and IgG, and total urinary proteins were not modified by either treatments. These data indicate that patients with NIDDM and overt nephropathy develop abnormalities in size-selective function of the glomerular barrier and, at variance to IDDM, such changes were not ameliorated either by ACE inhibition or calcium channel blockade.",1999.0,0,0
4,10028936,Total arterial compliance in ambulatory hypertension during selective beta1-adrenergic receptor blockade and angiotensin-converting enzyme inhibition.,J Soma; S Aakhus; K Dahl; T E Widerøe; T Skjaerpe,"Aortic root flow and pressure estimates were obtained noninvasively with Doppler echocardiography and calibrated subclavian artery pulse tracing in 30 subjects with ambulatory hypertension in a randomized, crossover study with 4 weeks' treatment and washout periods. Total arterial compliance, assessed by use of a three-element Windkessel model of the arterial tree, increased 42% with atenolol (50-100 mg once daily), and 7% (p = NS) with captopril (25-50 mg twice daily). Atenolol reduced mean arterial pressure by 15%, heart rate by 22%, and cardiac output by 14%, and increased acceleration time of aortic root flow by 17% and stroke volume and ejection time each by 11%. Captopril reduced mean arterial pressure and total peripheral resistance each by 7%. Acceleration time of aortic root flow, ejection time, heart rate, stroke volume, and cardiac output were not significantly changed by captopril. We conclude that total arterial compliance, at the operational blood pressure, increases during selective beta1-adrenergic receptor blockade in subjects with ambulatory hypertension. Although the main mechanism may be a reduction in mean arterial pressure, it should be considered whether reduced heart rate may play an additional role. The nonsignificant increase in total arterial compliance during angiotensin-converting enzyme inhibition may primarily be a consequence of a modest reduction of the mean arterial pressure.",1999.0,0,0
5,10029645,Racial differences in the outcome of left ventricular dysfunction.,D L Dries; D V Exner; B J Gersh; H A Cooper; P E Carson; M J Domanski,"Population-based studies have found that black patients with congestive heart failure have a higher mortality rate than whites with the same condition. This finding has been attributed to differences in the severity, causes, and management of heart failure, the prevalence of coexisting conditions, and socioeconomic factors. Although these factors probably account for some of the higher mortality due to congestive heart failure among blacks, we hypothesized that racial differences in the natural history of left ventricular dysfunction might also have a role. Using data from the Studies of Left Ventricular Dysfunction (SOLVD) prevention and treatment trials, in which all patients received standardized therapy and follow-up, we conducted a retrospective analysis of the outcomes of asymptomatic and symptomatic left ventricular systolic dysfunction among black and white participants. The mean (+/-SD) follow-up was 34.2+/-14.0 months in the prevention trial and 32.3+/-14.8 months in the treatment trial among the black and white participants. The overall mortality rates in the prevention trial were 8.1 per 100 person-years for blacks and 5.1 per 100 person years for whites. In the treatment trial, the rates were 16.7 per 100 person-years and 13.4 per 100 person-years, respectively. After adjustment for age, coexisting conditions, severity and causes of heart failure, and use of medications, blacks had a higher risk of death from all causes in both the SOLVD prevention trial (relative risk, 1.36; 95 percent confidence interval, 1.06 to 1.74; P=0.02) and the treatment trial (relative risk, 1.25; 95 percent confidence interval, 1.04 to 1.50; P=0.02). In both trials blacks were also at higher risk for death due to pump failure and for the combined end point of death from any cause or hospitalization for heart failure, our two predefined indicators of the progression of left ventricular systolic dysfunction. Blacks with mild-to-moderate left ventricular systolic dysfunction appear to be at higher risk for progression of heart failure and death from any cause than similarly treated whites. These results suggest that there may be racial differences in the outcome of asymptomatic and symptomatic left ventricular systolic dysfunction.",1999.0,0,1
6,10029788,Exfoliative dermatitis.,G Karakayli; G Beckham; I Orengo; T Rosen,"Exfoliative dermatitis, also known as erythroderma, is an uncommon but serious skin disorder that family physicians must be able to recognize and treat appropriately. Although the etiology is often unknown, exfoliative dermatitis may be the result of a drug reaction or an underlying malignancy. The approach to treatment should include discontinuation of any potentially causative medications and a search for any underlying malignancy. One of the most common malignancies associated with exfoliative dermatitis is cutaneous T-cell lymphoma, which may not manifest for months or even years after the onset of the skin condition. Hospitalization is usually necessary for initial evaluation and treatment. In the hospital, special attention must be given to maintaining temperature control, replacing lost fluids and electrolytes, and preventing and treating infection. The long-term prognosis is good in patients with drug-induced disease, although the course tends to be remitting and relapsing in idiopathic cases. The prognosis of cases associated with malignancy typically depends on the outcome of the underlying malignancy.",1999.0,0,0
7,10030325,Effect of angiotensin-converting-enzyme inhibition compared with conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPPP) randomised trial.,L Hansson; L H Lindholm; L Niskanen; J Lanke; T Hedner; A Niklason; K Luomanmäki; B Dahlöf; U de Faire; C Mörlin; B E Karlberg; P O Wester; J E Björck,"Angiotensin-converting-enzyme (ACE) inhibitors have been used for more than a decade to treat high blood pressure, despite the lack of data from randomised intervention trials to show that such treatment affects cardiovascular morbidity and mortality. The Captopril Prevention Project (CAPPP) is a randomised intervention trial to compare the effects of ACE inhibition and conventional therapy on cardiovascular morbidity and mortality in patients with hypertension. CAPPP was a prospective, randomised, open trial with blinded endpoint evaluation. 10,985 patients were enrolled at 536 health centres in Sweden and Finland. Patients aged 25-66 years with a measured diastolic blood pressure of 100 mm Hg or more on two occasions were randomly assigned captopril or conventional antihypertensive treatment (diuretics, beta-blockers). Analysis was by intention-to-treat. The primary endpoint was a composite of fatal and non-fatal myocardial infarction, stroke, and other cardiovascular deaths. Of 5492 patients assigned captopril and 5493 assigned conventional therapy, 14 and 13, respectively, were lost to follow-up. Primary endpoint events occurred in 363 patients in the captopril group (11.1 per 1000 patient-years) and 335 in the conventional-treatment group (10.2 per 1000 patient-years; relative risk 1.05 [95% CI 0.90-1.22], p=0-52). Cardiovascular mortality was lower with captopril than with conventional treatment (76 vs 95 events; relative risk 0.77 [0.57-1-04], p=0.092), the rate of fatal and non-fatal myocardial infarction was similar (162 vs 161), but fatal and non-fatal stroke was more common with captopril (189 vs 148; 1.25 [1-01-1-55]. p=0.044). Captopril and conventional treatment did not differ in efficacy in preventing cardiovascular morbidity and mortality. The difference in stroke risk is probably due to the lower levels of blood pressure obtained initially in previously treated patients randomised to conventional therapy.",2000.0,0,0
8,10047639,Effects of short-acting and long-acting loop diuretics on heart rate variability in patients with chronic compensated congestive heart failure.,H Tomiyama; T Nakayama; G Watanabe; K Shiojima; Y Sakuma; A Yamamoto; Y Imai; H Yoshida; N Doba,"We investigated the effects of a short-acting loop diuretic (furosemide) and a long-acting loop diuretic (azosemide) on heart rate variability, fluid balance, and neurohormonal responses in patients with mild to moderate chronic congestive heart failure. Nineteen patients with mild to moderate chronic congestive heart failure received furosemide (40 to 60 mg/day) or azosemide (60 to 90 mg/day) for 5 days in a crossover manner. We performed time-domain and frequency-domain analyses of 24-hour Holter electrocardiographic recordings to assess heart rate variability. The 24-hour urinary sodium excretion was similar during the furosemide and azosemide treatment periods but was significantly greater in the first 2 hours after drug administration during furosemide treatment. Plasma renin activity and the hematocrit level increased and high-frequency power significantly decreased 2 hours after the administration of furosemide only. The standard deviation of all normal R-R intervals and the root mean square of successive differences in the R-R interval were lower with furosemide than with azosemide (P <.05). Furosemide, a short-acting loop diuretic, has a greater influence on heart rate variability and fluid balance than azosemide, a long-acting loop diuretic, in patients with mild to moderate chronic congestive heart failure.",1999.0,0,0
9,10049657,Capillary blood cell velocity in finger nailfold: effect of enalapril and mibefradil in patients with mild to moderate hypertension.,B Martina; B Frach; C Surber; J Drewe; E Battegay; P Gasser,"Outpatients with essential hypertension were randomized to receive antihypertensive treatment with either mibefradil or enalapril. Ambulatory blood pressure measurement (ABPM) and video capillary microscopy of the finger nailfold were performed at baseline and after 12 weeks of treatment. In the enalapril group (n = 21) baseline ABP was 156 +/- 12/100 +/- 9 mm Hg and decreased to 140 +/- 17/89 +/- 10 mm Hg after 12 weeks. In the mibefradil group (n = 22) mean 24-h ABP decreased from 159 +/- 14/102 +/- 7 to 140 +/- 10/89 +/- 7 mm Hg. Capillary blood cell velocity (CBV) without treatment was 0.90 +/- 0.58 mm/s (mean +/- SD) and 0.83 +/- 0.46 mm/s at rest and 0.30 +/- 0.22 and 0.21 +/- 0.20 mm/s immediately after local finger cooling in the mibefradil and the enalapril group, respectively. In the Enalapril group CBV at week 12 was 0.99 +/- 0. 60 mm/s (n.s.) at rest and 0.40 +/- 0.28 mm/s immediately after local cooling (P = 0.005 compared to 0.21 +/- 0.20 mm/s without treatment). Twelve weeks after initiation of treatment CBV was 0.76 +/- 0.48 mm/s (n.s.) at rest and 0.31 +/- 0.28 mm/s (n.s.) immediately after local cooling in the mibefradil group. Finger nailfold CBV immediately after local finger cooling was increased by enalapril compared to baseline. The T-channel-inhibiting calcium antagonist mibefradil did not change CBV in finger nailfold capillaries.",1999.0,0,0
10,10051289,Addition of angiotensin II receptor blockade to maximal angiotensin-converting enzyme inhibition improves exercise capacity in patients with severe congestive heart failure.,G Hamroff; S D Katz; D Mancini; I Blaufarb; R Bijou; R Patel; G Jondeau; M T Olivari; S Thomas; T H Le Jemtel,"Incomplete suppression of the renin-angiotensin system during long-term ACE inhibition may contribute to symptomatic deterioration in patients with severe congestive heart failure (CHF). Combined angiotensin II type I (AT1) receptor blockade and ACE inhibition more completely suppresses the activated renin-angiotensin system than either intervention alone in sodium-depleted normal individuals. Whether AT1 receptor blockade with losartan improves exercise capacity in patients with severe CHF already treated with ACE inhibitors is unknown. Thirty-three patients with severe CHF despite treatment with maximally recommended or tolerated doses of ACE inhibitors were randomized 1:1 to receive 50 mg/d losartan or placebo for 6 months in addition to standard therapy in a multicenter, double-blind trial. Peak aerobic capacity (V(O2)) during symptom-limited treadmill exercise and NYHA functional class were determined at baseline and after 3 and 6 months of double-blind therapy. Peak V(O2) at baseline and after 3 and 6 months were 13.5+/-0.6, 15.1+/-1.0, and 15.7+/-1.1 mL. kg-1. min-1, respectively, in patients receiving losartan and 14.1+/-0.6, 14.3+/-0.9, and 13.6+/-1.1 mL. kg-1. min-1, respectively, in patients receiving placebo (P<0.02 for treatment group-by-time interaction). Functional class improved by at least one NYHA class in 9 of 16 patients receiving losartan and 1 of 17 patients receiving placebo. Losartan enhances peak exercise capacity and alleviates symptoms in patients with CHF who are severely symptomatic despite treatment with maximally recommended or tolerated doses of ACE inhibitors.",1999.0,0,0
