openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1016/j.jogoh.2021.102092,https://pubmed.ncbi.nlm.nih.gov/33601073,1,1,
,https://doi.org/10.1007/s00404-014-3163-2,https://pubmed.ncbi.nlm.nih.gov/24488583,1,1,
,https://doi.org/10.1016/j.ejogrb.2016.12.002,https://pubmed.ncbi.nlm.nih.gov/27987404,1,1,
,https://doi.org/10.1016/j.jmig.2016.01.025,https://pubmed.ncbi.nlm.nih.gov/26851415,1,1,
,https://doi.org/10.1016/j.rbmo.2018.05.007,https://pubmed.ncbi.nlm.nih.gov/29857988,1,1,
,https://doi.org/10.1093/humrep/der410,https://pubmed.ncbi.nlm.nih.gov/22158085,1,1,
,https://doi.org/10.1016/j.ijgo.2016.01.018,https://pubmed.ncbi.nlm.nih.gov/27236647,1,1,
,https://doi.org/10.1093/humrep/dep425,https://pubmed.ncbi.nlm.nih.gov/20007161,1,1,
,https://doi.org/10.1111/j.1600-0897.2009.00728.x,https://pubmed.ncbi.nlm.nih.gov/19694644,1,1,
,https://doi.org/10.1093/humrep/dez116,https://pubmed.ncbi.nlm.nih.gov/31411334,1,1,
,https://doi.org/10.1093/humrep/des154,https://pubmed.ncbi.nlm.nih.gov/22587998,1,1,
,https://doi.org/10.1016/j.ejogrb.2016.02.025,https://pubmed.ncbi.nlm.nih.gov/26963895,1,1,
,https://doi.org/10.1016/j.fertnstert.2015.12.016,https://pubmed.ncbi.nlm.nih.gov/26773192,1,1,
,https://doi.org/10.1159/000475664,https://pubmed.ncbi.nlm.nih.gov/28511185,1,1,
,https://doi.org/10.5114/aoms.2012.29407,https://pubmed.ncbi.nlm.nih.gov/22852007,1,1,
,https://doi.org/10.1016/j.fertnstert.2015.06.029,https://pubmed.ncbi.nlm.nih.gov/26206343,1,1,
,https://doi.org/10.1093/humrep/des454,https://pubmed.ncbi.nlm.nih.gov/23321214,1,1,
,https://doi.org/10.1016/j.imlet.2015.05.002,https://pubmed.ncbi.nlm.nih.gov/25977120,1,1,
,https://doi.org/10.2147/IJWH.S75288,https://pubmed.ncbi.nlm.nih.gov/25709504,1,1,
,https://doi.org/10.3109/09513590.2013.856409,https://pubmed.ncbi.nlm.nih.gov/24219598,1,1,
,https://doi.org/10.1177/1933719114553064,https://pubmed.ncbi.nlm.nih.gov/25296695,1,1,
,https://doi.org/10.1016/j.fertnstert.2010.05.016,https://pubmed.ncbi.nlm.nih.gov/21168580,1,1,
,https://doi.org/10.1016/j.jprot.2019.103398,https://pubmed.ncbi.nlm.nih.gov/31146047,1,1,
,https://doi.org/10.3109/1354750X.2013.863973,https://pubmed.ncbi.nlm.nih.gov/24283984,1,1,
,https://doi.org/10.1111/j.1600-0897.2007.00535.x,https://pubmed.ncbi.nlm.nih.gov/17997748,1,1,
,https://doi.org/10.1016/j.rbmo.2020.01.014,https://pubmed.ncbi.nlm.nih.gov/32220518,1,1,
,https://doi.org/10.1007/s43032-020-00383-4,,1,1,
,https://doi.org/10.1016/j.fertnstert.2010.02.040,https://pubmed.ncbi.nlm.nih.gov/20378112,1,1,
,https://doi.org/10.1016/j.fertnstert.2015.07.1149,https://pubmed.ncbi.nlm.nih.gov/26297644,1,1,
,https://doi.org/10.36295/ASRO.2020.231440,,1,1,
,https://doi.org/10.1155/2020/5208279,https://pubmed.ncbi.nlm.nih.gov/33062681,1,1,
,https://doi.org/10.1080/01443615.2019.1584889,https://pubmed.ncbi.nlm.nih.gov/31177884,1,1,
,https://doi.org/10.1016/j.fertnstert.2010.11.066,https://pubmed.ncbi.nlm.nih.gov/21255776,1,1,
,https://doi.org/10.1093/humrep/der345,https://pubmed.ncbi.nlm.nih.gov/22158084,1,1,
,https://doi.org/10.1016/j.ejogrb.2014.03.011,https://pubmed.ncbi.nlm.nih.gov/24694773,1,1,
,https://doi.org/10.1016/j.fertnstert.2003.10.040,,1,1,
,https://doi.org/10.1016/j.jprot.2014.09.015,https://pubmed.ncbi.nlm.nih.gov/25284053,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/12870230,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/20003789,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/16986490,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/11883280,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/8082430,0,1,
,https://doi.org/10.1039/c2mb25353d,https://pubmed.ncbi.nlm.nih.gov/23079773,0,1,
,https://doi.org/10.2217/bmm-2019-0451,https://pubmed.ncbi.nlm.nih.gov/31782670,0,1,
,https://doi.org/10.1007/s00404-020-05611-5,https://pubmed.ncbi.nlm.nih.gov/32468161,0,1,
,https://doi.org/10.1007/s43032-020-00415-z,https://pubmed.ncbi.nlm.nih.gov/33523426,0,1,
,https://doi.org/10.1016/j.ajog.2020.02.050,https://pubmed.ncbi.nlm.nih.gov/32165186,0,1,
,https://doi.org/10.1016/j.ygyno.2012.08.013,https://pubmed.ncbi.nlm.nih.gov/22910690,0,1,
,https://doi.org/10.1177/1933719116641761,https://pubmed.ncbi.nlm.nih.gov/27412772,0,1,
,https://doi.org/10.1111/jog.14654,https://pubmed.ncbi.nlm.nih.gov/33448139,0,1,
,https://doi.org/10.12891/ceoj.3022.2016,,0,1,
,https://doi.org/10.1016/j.ejogrb.2012.01.022,,0,1,
,https://doi.org/10.1134/S1990750820040083,,0,1,
,https://doi.org/10.3390/ijms20010189,,0,1,
,https://doi.org/10.3390/diagnostics10080533,,0,1,
,,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/8416469,0,1,
,https://doi.org/10.1016/j.fertnstert.2015.02.013,https://pubmed.ncbi.nlm.nih.gov/25772772,0,1,
,https://doi.org/10.1210/jc.2012-2415,https://pubmed.ncbi.nlm.nih.gov/23118427,0,1,
,https://doi.org/10.1016/j.fertnstert.2015.06.029,,0,1,
