openalex_id,doi,pmid,label_included,label_abstract_included,method
,,https://pubmed.ncbi.nlm.nih.gov/18484692,1,,
,https://doi.org/10.1007/s10067-018-4315-8,https://pubmed.ncbi.nlm.nih.gov/30280368,1,,
,https://doi.org/10.3899/jrheum.141313,,1,,
,https://doi.org/10.1186/s13075-019-1837-7,https://pubmed.ncbi.nlm.nih.gov/30786937,1,,
,https://doi.org/10.1136/rmdopen-2018-000806,https://pubmed.ncbi.nlm.nih.gov/30713721,1,,
,https://doi.org/10.1136/annrheumdis-2011-200358_x000D_,https://pubmed.ncbi.nlm.nih.gov/26293163,1,,
,https://doi.org/10.1136/annrheumdis-2018-214720,https://pubmed.ncbi.nlm.nih.gov/30826774,1,,
,https://doi.org/10.1080/07391102.2018.1491423_x000D_,https://pubmed.ncbi.nlm.nih.gov/30713722,1,,
,https://doi.org/10.1002/art.27601,https://pubmed.ncbi.nlm.nih.gov/20533545,1,,
,https://doi.org/10.1002/art.22687,https://pubmed.ncbi.nlm.nih.gov/105962883,1,,
,https://doi.org/10.7326/m13-1085,https://pubmed.ncbi.nlm.nih.gov/24727841,1,,
,https://doi.org/10.1002/art.24865,,1,,
,https://doi.org/10.1093/rheumatology/kem069,,1,,
,https://doi.org/10.1002/acr.22453,https://pubmed.ncbi.nlm.nih.gov/25186034,1,,
,https://doi.org/10.1093/rheumatology/kes131,https://pubmed.ncbi.nlm.nih.gov/22753773,1,,
,https://doi.org/10.1016/j.berh.2020.101547_x000D_,https://pubmed.ncbi.nlm.nih.gov/28296257,1,,
,https://doi.org/10.1371/journal.pone.0030123,,1,,
,https://doi.org/10.1002/art.27314,https://pubmed.ncbi.nlm.nih.gov/20131246,1,,
,https://doi.org/10.1186/s13075-018-1614-z,https://pubmed.ncbi.nlm.nih.gov/29921318,1,,
,https://doi.org/10.1186/s13075-016-1096-9,https://pubmed.ncbi.nlm.nih.gov/27600829,1,,
,https://doi.org/10.1186/1477-7525-12-31,https://pubmed.ncbi.nlm.nih.gov/24597620,1,,
,https://doi.org/10.1002/acr.23004,https://pubmed.ncbi.nlm.nih.gov/27565000,1,,
,https://doi.org/10.1093/rheumatology/kev442,https://pubmed.ncbi.nlm.nih.gov/26929445,1,,
,,https://pubmed.ncbi.nlm.nih.gov/31858963,1,,
,https://doi.org/10.1136/ard.2010.143586,https://pubmed.ncbi.nlm.nih.gov/21415050,1,,
,https://doi.org/10.1177/0300060513488501,https://pubmed.ncbi.nlm.nih.gov/23803306,1,,
,https://doi.org/10.1136/ard.2006.057018,,1,,
,https://doi.org/10.3899/jrheum.101161,https://pubmed.ncbi.nlm.nih.gov/22045836,1,,
,https://doi.org/10.1136/rmdopen-2016-000416,https://pubmed.ncbi.nlm.nih.gov/28326189,1,,
,https://doi.org/10.1186/s13075-019-2037-1,,1,,
,https://doi.org/10.1136/rmdopen-2017-000602,https://pubmed.ncbi.nlm.nih.gov/29955380,1,,
,https://doi.org/10.1007/s40744-021-00379-9,https://pubmed.ncbi.nlm.nih.gov/34636026,1,,
,https://doi.org/10.1136/annrheumdis-2015-209055,https://pubmed.ncbi.nlm.nih.gov/27169431,1,,
,https://doi.org/10.1186/ar2859,https://pubmed.ncbi.nlm.nih.gov/19909548,1,,
,https://doi.org/10.1002/art.41489,https://pubmed.ncbi.nlm.nih.gov/32798283,1,,
,https://doi.org/10.1136/annrheumdis-2012-202865,https://pubmed.ncbi.nlm.nih.gov/23524886,1,,
,https://doi.org/10.1186/s13075-015-0849-1,https://pubmed.ncbi.nlm.nih.gov/26614481,1,,
,https://doi.org/10.1016/s0140-6736(16)00232-4,https://pubmed.ncbi.nlm.nih.gov/27156934,1,,
,https://doi.org/10.1136/annrheumdis-2017-211259,https://pubmed.ncbi.nlm.nih.gov/28798049,1,,
,,https://pubmed.ncbi.nlm.nih.gov/32452344,1,,
,https://doi.org/10.1002/art.20075,https://pubmed.ncbi.nlm.nih.gov/14872448,1,,
,https://doi.org/10.1001/jama.2019.9055,https://pubmed.ncbi.nlm.nih.gov/31334793,1,,
,https://doi.org/10.1136/ard.2007.074773,,1,,
,https://doi.org/10.1136/rmdopen-2018-000742,https://pubmed.ncbi.nlm.nih.gov/30886732,1,,
,https://doi.org/10.1186/1477-5751-6-11,,1,,
,https://doi.org/10.3899/jrheum.130864,https://pubmed.ncbi.nlm.nih.gov/24786931,1,,
,https://doi.org/10.1002/acr.23315,https://pubmed.ncbi.nlm.nih.gov/28692770,1,,
,https://doi.org/10.1136/annrheumdis-2016-209821,https://pubmed.ncbi.nlm.nih.gov/27799159,1,,
,https://doi.org/10.1002/acr.22256,https://pubmed.ncbi.nlm.nih.gov/24339179,1,,
,https://doi.org/10.4274/balkanmedj.2017.1224_x000D_,https://pubmed.ncbi.nlm.nih.gov/19015206,1,,
,https://doi.org/10.1136/ard.2007.083865,,1,,
,https://doi.org/10.1136/ard.2006.057901,,1,,
,https://doi.org/10.3899/jrheum.100193,,1,,
,https://doi.org/10.1002/acr.23233,https://pubmed.ncbi.nlm.nih.gov/28235249,1,,
,https://doi.org/10.1002/acr.22594,,1,,
,https://doi.org/10.1002/acr.20022,,1,,
,https://doi.org/10.1002/art.20146,,1,,
,https://doi.org/10.3899/jrheum.111195,https://pubmed.ncbi.nlm.nih.gov/22505702,1,,
,https://doi.org/10.1186/s13075-018-1541-z,https://pubmed.ncbi.nlm.nih.gov/29566740,1,,
,https://doi.org/10.1136/ard.2011.152223,https://pubmed.ncbi.nlm.nih.gov/21994233,1,,
,https://doi.org/10.1007/s40259-021-00470-1,https://pubmed.ncbi.nlm.nih.gov/33651341,1,,
,https://doi.org/10.1177/0961203316654767,https://pubmed.ncbi.nlm.nih.gov/27353505,1,,
,https://doi.org/10.1002/art.23715,,1,,
,https://doi.org/10.1002/art.22025,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/18050385,1,,
,https://doi.org/10.1016/j.intimp.2020.106878_x000D_,https://pubmed.ncbi.nlm.nih.gov/23294908,1,,
,https://doi.org/10.1007/s13760-020-01282-w_x000D_,https://pubmed.ncbi.nlm.nih.gov/22549432,1,,
,https://doi.org/10.1186/s41927-021-00205-3,https://pubmed.ncbi.nlm.nih.gov/34538257,1,,
,https://doi.org/10.1002/art.39805,https://pubmed.ncbi.nlm.nih.gov/27390130,1,,
,https://doi.org/10.1007/s40744-020-00254-z,https://pubmed.ncbi.nlm.nih.gov/33284423,1,,
,,https://pubmed.ncbi.nlm.nih.gov/30148436,1,,
,https://doi.org/10.1136/ard.2008.102509,,1,,
,https://doi.org/10.1093/rheumatology/kel066,,1,,
,https://doi.org/10.1186/s13075-017-1410-1,https://pubmed.ncbi.nlm.nih.gov/28923098,1,,
,https://doi.org/10.1136/rmdopen-2020-001512,https://pubmed.ncbi.nlm.nih.gov/12528101,1,,
,,,1,,
,https://doi.org/10.1007/s12325-020-01572-y,https://pubmed.ncbi.nlm.nih.gov/33237533,1,,
,https://doi.org/10.1007/s00393-021-00969-6_x000D_,https://pubmed.ncbi.nlm.nih.gov/34661885,1,,
,https://doi.org/10.1111/1756-185X.13244,,1,,
,https://doi.org/10.1186/1471-2474-12-153,https://pubmed.ncbi.nlm.nih.gov/21736751,1,,
,https://doi.org/10.1093/rheumatology/kex319,https://pubmed.ncbi.nlm.nih.gov/29029185,1,,
,https://doi.org/10.1136/ard.2007.071563,,1,,
,https://doi.org/10.1136/ard.2009.117036,,1,,
,https://doi.org/10.1002/acr.20419,https://pubmed.ncbi.nlm.nih.gov/21557525,1,,
,https://doi.org/10.1080/03009740252937577,https://pubmed.ncbi.nlm.nih.gov/12109650,1,,
,https://doi.org/10.1093/rheumatology/keq109,,1,,
,,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/105545829,1,,
,https://doi.org/10.1136/ard.2004.020875,https://pubmed.ncbi.nlm.nih.gov/15345498,1,,
,https://doi.org/10.1007/s40744-017-0060-8,https://pubmed.ncbi.nlm.nih.gov/28353191,1,,
,https://doi.org/10.1177/2397198320957552_x000D_,https://pubmed.ncbi.nlm.nih.gov/27992698,1,,
,https://doi.org/10.1002/acr.22763,https://pubmed.ncbi.nlm.nih.gov/26473625,1,,
,https://doi.org/10.1002/art.21838,,1,,
,https://doi.org/10.1136/annrheumdis-2011-201067,https://pubmed.ncbi.nlm.nih.gov/22562974,1,,
,https://doi.org/10.1002/art.41108,,0,,
,https://doi.org/10.1016/j.autrev.2013.02.003,https://pubmed.ncbi.nlm.nih.gov/23541481,0,,
,https://doi.org/10.1002/art.41538,,0,,
,https://doi.org/10.3390/jcm9103219,,0,,
,https://doi.org/10.1097/HS9.0000000000000566,,0,,
,https://doi.org/10.1016/S1470-2045(20)30532-5,,0,,
,https://doi.org/10.3109/03009742.2013.877158,https://pubmed.ncbi.nlm.nih.gov/24689997,0,,
,https://doi.org/10.1136/jcp.47.10.928,https://pubmed.ncbi.nlm.nih.gov/7962607,0,,
,https://doi.org/10.1007/s00296-020-04602-8,https://pubmed.ncbi.nlm.nih.gov/17978466,0,,
,https://doi.org/10.1002/art.38914,,0,,
,https://doi.org/10.1517/14712598.8.5.669,https://pubmed.ncbi.nlm.nih.gov/18407769,0,,
,https://doi.org/10.1016/0266-7681(89)90085-5,https://pubmed.ncbi.nlm.nih.gov/2794708,0,,
,https://doi.org/10.3109/03009747809097217,https://pubmed.ncbi.nlm.nih.gov/356246,0,,
,https://doi.org/10.1080/24725625.2020.1739194,https://pubmed.ncbi.nlm.nih.gov/33087003,0,,
,https://doi.org/10.18926/amo/32814,https://pubmed.ncbi.nlm.nih.gov/14726963,0,,
,https://doi.org/10.1136/bcr-2020-237250_x000D_,https://pubmed.ncbi.nlm.nih.gov/11315925,0,,
,https://doi.org/10.1007/s11195-013-9334-4,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/24755776,0,,
,https://doi.org/10.1007/bf02985572,https://pubmed.ncbi.nlm.nih.gov/16248381,0,,
,https://doi.org/10.1002/art.39977,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/17520867,0,,
,https://doi.org/10.2119/molmed.2010.00016,https://pubmed.ncbi.nlm.nih.gov/20809047,0,,
,https://doi.org/10.1684/ejd.2010.0846,https://pubmed.ncbi.nlm.nih.gov/20110203,0,,
,https://doi.org/10.1016/j.nmd.2009.01.010,https://pubmed.ncbi.nlm.nih.gov/19285864,0,,
,https://doi.org/10.1002/ana.410130122,https://pubmed.ncbi.nlm.nih.gov/6830152,0,,
,https://doi.org/10.1096/fj.05-3727LFE,https://pubmed.ncbi.nlm.nih.gov/16051686,0,,
,https://doi.org/10.1080/14397595.2018.1546357,https://pubmed.ncbi.nlm.nih.gov/30427250,0,,
,https://doi.org/10.1038/ajg.2017.351,,0,,
,https://doi.org/10.1002/art.39624,,0,,
,https://doi.org/10.1002/art.41108,,0,,
,https://doi.org/10.1136/annrheumdis-2019-eular.1069,,0,,
,https://doi.org/10.1007/s00296-020-04606-4,https://pubmed.ncbi.nlm.nih.gov/32447423,0,,
,https://doi.org/10.3899/jrheum.200371,https://pubmed.ncbi.nlm.nih.gov/33004532,0,,
,https://doi.org/10.1136/annrheumdis-2019-eular.1660,,0,,
,https://doi.org/10.1016/s0730-725x(98)00008-3,https://pubmed.ncbi.nlm.nih.gov/9811140,0,,
,https://doi.org/10.1002/art.41108,,0,,
,https://doi.org/10.1093/ibd/izz105,,0,,
,https://doi.org/10.1136/annrheumdis-2019-eular.1981,,0,,
,https://doi.org/10.1016/j.anl.2009.04.007,https://pubmed.ncbi.nlm.nih.gov/19481890,0,,
,https://doi.org/10.1136/annrheumdis-2019-eular.779,,0,,
,https://doi.org/10.1111/crj.12495,https://pubmed.ncbi.nlm.nih.gov/27149246,0,,
,https://doi.org/10.1007/s13346-020-00855-9,https://pubmed.ncbi.nlm.nih.gov/32924098,0,,
,https://doi.org/10.1002/art.41108,,0,,
,https://doi.org/10.3899/jrheum.190507,https://pubmed.ncbi.nlm.nih.gov/31615919,0,,
,,https://pubmed.ncbi.nlm.nih.gov/17343319,0,,
,https://doi.org/10.1136/annrheumdis-2017-eular.7245,,0,,
,https://doi.org/10.3389/fpsyg.2012.00326,,0,,
,https://doi.org/10.1155/2016/3109135_x000D_,https://pubmed.ncbi.nlm.nih.gov/28837372,0,,
,https://doi.org/10.1002/art.41108,,0,,
,https://doi.org/10.1136/annrheumdis-2014-eular.4527,,0,,
,https://doi.org/10.1002/art.38216,,0,,
,https://doi.org/10.1002/acr.24199,https://pubmed.ncbi.nlm.nih.gov/32573426,0,,
,https://doi.org/10.1002/art.41108,,0,,
,https://doi.org/10.1111/jcpt.12510,https://pubmed.ncbi.nlm.nih.gov/28262965,0,,
,https://doi.org/10.1002/acr.24090,https://pubmed.ncbi.nlm.nih.gov/31609525,0,,
,https://doi.org/10.1136/annrheumdis-2013-203567,https://pubmed.ncbi.nlm.nih.gov/23887288,0,,
,https://doi.org/10.1097/j.pain.0000000000000549,,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/22399172,0,,
,https://doi.org/10.5014/ajot.2018.027870,,0,,
,https://doi.org/10.1080/00313029700169934,,0,,
,https://doi.org/10.3899/jrheum.150232,https://pubmed.ncbi.nlm.nih.gov/26233505,0,,
,https://doi.org/10.1007/s10067-016-3306-x,https://pubmed.ncbi.nlm.nih.gov/27188857,0,,
,https://doi.org/10.5014/ajot.62.3.329,,0,,
,https://doi.org/10.1002/ppul.22898,,0,,
,https://doi.org/10.1371/journal.pone.0115026,https://pubmed.ncbi.nlm.nih.gov/25517966,0,,
,https://doi.org/10.1111/pde.12531,https://pubmed.ncbi.nlm.nih.gov/25727569,0,,
,,https://pubmed.ncbi.nlm.nih.gov/8022107,0,,
,,,0,,
,https://doi.org/10.3899/jrheum.190113,,0,,
,https://doi.org/10.1093/rap/rkaa042,https://pubmed.ncbi.nlm.nih.gov/33005860,0,,
,https://doi.org/10.1136/annrheumdis-2017-eular.1541,,0,,
,https://doi.org/10.1186/1471-2474-11-270,https://pubmed.ncbi.nlm.nih.gov/21106107,0,,
,https://doi.org/10.1007/s00296-021-04972-7_x000D_,https://pubmed.ncbi.nlm.nih.gov/22505288,0,,
,https://doi.org/10.1002/acr.21684,,0,,
,https://doi.org/10.1136/bmjopen-2015-008938,https://pubmed.ncbi.nlm.nih.gov/26270952,0,,
,https://doi.org/10.1007/s40268-020-00331-2,https://pubmed.ncbi.nlm.nih.gov/33331996,0,,
,https://doi.org/10.1097/CND.0b013e3181d4a515,https://pubmed.ncbi.nlm.nih.gov/20808161,0,,
,https://doi.org/10.1002/art.39977,,0,,
,https://doi.org/10.5114/reum.2021.110609,https://pubmed.ncbi.nlm.nih.gov/34819701,0,,
,https://doi.org/10.1024/0301-1526/a000066,https://pubmed.ncbi.nlm.nih.gov/21283970,0,,
,https://doi.org/10.1038/tpj.2015.29_x000D_,https://pubmed.ncbi.nlm.nih.gov/27832822,0,,
,https://doi.org/10.231/JIM.0b013e3182820c55,,0,,
,https://doi.org/10.1007/s00296-004-0463-z,https://pubmed.ncbi.nlm.nih.gov/15071755,0,,
,https://doi.org/10.2196/14730,https://pubmed.ncbi.nlm.nih.gov/31769758,0,,
,https://doi.org/10.1016/j.semarthrit.2017.04.003,https://pubmed.ncbi.nlm.nih.gov/28477898,0,,
,https://doi.org/10.1136/annrheumdis-2021-eular.3356,,0,,
,https://doi.org/10.1111/j.1365-2648.2006.04054.x,https://pubmed.ncbi.nlm.nih.gov/106290653,0,,
,https://doi.org/10.1002/art.40399_x000D_,https://pubmed.ncbi.nlm.nih.gov/23122659,0,,
,https://doi.org/10.1136/annrheumdis-2014-eular.3603,,0,,
,https://doi.org/10.1111/j.1365-2648.2006.04054.x,https://pubmed.ncbi.nlm.nih.gov/23162377,0,,
,https://doi.org/10.2298/VETGL180311015M,,0,,
,https://doi.org/10.1093/rap/rkaa042_x000D_,https://pubmed.ncbi.nlm.nih.gov/8841518,0,,
,https://doi.org/10.5320/wjr.v6.i1.24,,0,,
,https://doi.org/10.1136/jnnp.2007.138891,,0,,
,https://doi.org/10.2165/00003495-200767060-00005,,0,,
,https://doi.org/10.1113/jp280468,https://pubmed.ncbi.nlm.nih.gov/33063873,0,,
,https://doi.org/10.1093/rheumatology/kew033,https://pubmed.ncbi.nlm.nih.gov/26998860,0,,
,https://doi.org/10.1111/1756-185X.13533,,0,,
,https://doi.org/10.1007/s11136-012-0248-x,,0,,
,https://doi.org/10.1136/pgmj.70.823.373,https://pubmed.ncbi.nlm.nih.gov/8016013,0,,
,https://doi.org/10.1007/bf02444002,https://pubmed.ncbi.nlm.nih.gov/8750548,0,,
,,,0,,
,https://doi.org/10.1093/eurheartj/ehw432,,0,,
,https://doi.org/10.1007/s00198-021-06021-2,https://pubmed.ncbi.nlm.nih.gov/34085118,0,,
,https://doi.org/10.1111/j.1464-410X.2006.06324.x,,0,,
,,,0,,
,https://doi.org/10.3109/03009742.2015.1107128,https://pubmed.ncbi.nlm.nih.gov/26767827,0,,
,https://doi.org/10.3899/jrheum.111068,https://pubmed.ncbi.nlm.nih.gov/22660801,0,,
,https://doi.org/10.1097/jom.0000000000000279,https://pubmed.ncbi.nlm.nih.gov/25563536,0,,
,https://doi.org/10.2174/1381612826666200523174108,https://pubmed.ncbi.nlm.nih.gov/32445443,0,,
,https://doi.org/10.1517/14656566.9.6.879,https://pubmed.ncbi.nlm.nih.gov/18377332,0,,
,https://doi.org/10.1002/mus.26341,https://pubmed.ncbi.nlm.nih.gov/30194844,0,,
,https://doi.org/10.1097/phm.0000000000001764,https://pubmed.ncbi.nlm.nih.gov/33886237,0,,
,,,0,,
