openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1111/jgs.15376,,1,,
,https://doi.org/10.1016/j.annonc.2021.08.1274,,1,,
,https://doi.org/10.1016/S1879-4068(19)31295-0,,1,,
,https://doi.org/10.1007/s41999-020-00428-6,,1,,
,https://doi.org/10.1200/JCO.2018.36.15-suppl.e22028,,1,,
,https://doi.org/10.1007/s41999-018-0097-4,,1,,
,https://doi.org/10.1038/s41416-021-01367-0,,1,,
,https://doi.org/10.1182/blood-2018-99-117853,,1,,
,https://doi.org/10.1016/j.annonc.2020.08.1047,,1,,
,https://doi.org/10.1200/JCO.2021.39.15_suppl.12039,,1,,
,https://doi.org/10.1093/annonc/mdy444.022,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/31725894,1,,
,,https://pubmed.ncbi.nlm.nih.gov/34551505,1,,
,,https://pubmed.ncbi.nlm.nih.gov/31031193,1,,
,,https://pubmed.ncbi.nlm.nih.gov/33340150,1,,
,,https://pubmed.ncbi.nlm.nih.gov/30143894,1,,
,,https://pubmed.ncbi.nlm.nih.gov/31985125,1,,
,,https://pubmed.ncbi.nlm.nih.gov/29905766,1,,
,,https://pubmed.ncbi.nlm.nih.gov/34591080,1,,
,,https://pubmed.ncbi.nlm.nih.gov/34741815,1,,
,,https://pubmed.ncbi.nlm.nih.gov/31279749,1,,
,,https://pubmed.ncbi.nlm.nih.gov/31163339,1,,
,,https://pubmed.ncbi.nlm.nih.gov/30041978,1,,
,,https://pubmed.ncbi.nlm.nih.gov/32359885,1,,
,,https://pubmed.ncbi.nlm.nih.gov/34215192,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33183562,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33622652,0,,
,,https://pubmed.ncbi.nlm.nih.gov/32725515,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33628339,0,,
,,https://pubmed.ncbi.nlm.nih.gov/30354186,0,,
,,https://pubmed.ncbi.nlm.nih.gov/32803145,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33993677,0,,
,https://doi.org/10.1111/odi.14035,https://pubmed.ncbi.nlm.nih.gov/34585816,0,,
,,https://pubmed.ncbi.nlm.nih.gov/29141942,0,,
,,https://pubmed.ncbi.nlm.nih.gov/34736406,0,,
,,https://pubmed.ncbi.nlm.nih.gov/31615447,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33210756,0,,
,,https://pubmed.ncbi.nlm.nih.gov/32917137,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33750673,0,,
,,https://pubmed.ncbi.nlm.nih.gov/31544070,0,,
,,https://pubmed.ncbi.nlm.nih.gov/31122871,0,,
,,https://pubmed.ncbi.nlm.nih.gov/29584726,0,,
,,https://pubmed.ncbi.nlm.nih.gov/30773308,0,,
,,https://pubmed.ncbi.nlm.nih.gov/33359662,0,,
,,https://pubmed.ncbi.nlm.nih.gov/30969144,0,,
,,https://pubmed.ncbi.nlm.nih.gov/32671801,0,,
,,https://pubmed.ncbi.nlm.nih.gov/31706831,0,,
,,https://pubmed.ncbi.nlm.nih.gov/30357001,0,,
,,https://pubmed.ncbi.nlm.nih.gov/30443463,0,,
