title,abstract,label
Differentiating phonological memory and awareness of rhyme: reading and vocabulary development in children,,0
Memory for rote linguistic routines and sensitivity to rhyme: a comparison of low-income children with and without specific language impairment,,0
Rhyme and reason,,0
Cross‐linguistic contributions of acoustic cues and prosodic awareness to first and second language vocabulary knowledge.,"Background: Several studies have revealed that prosody contributes to reading acquisition. However, the relation between awareness of prosodic patterns and different facets of language ability (e.g., vocabulary knowledge) in school‐age children remains unclear. This study measured awareness of prosodic patterns using non‐speech and speech stimuli. Methods: Hierarchical regression equations were computed to examine links among auditory cues (e.g., amplitude rise time, pitch contour and interval), language‐specific prosodic awareness and children's vocabulary knowledge in Mandarin as a first language (L1) and English as a second language (L2) after controlling for age and nonverbal IQ. Results: Results revealed that (1) amplitude envelope rise time discrimination predicted Mandarin L1 and English L2 vocabulary knowledge, (2) Mandarin tone perception and rhyme awareness did not predict Mandarin L1 vocabulary and (3) English rhyme awareness better predicted English L2 vocabulary than did stress production. Conclusion: Our findings suggest that (1) amplitude rise time, which signals syllable boundaries, is a cross‐linguistic predictor of vocabulary knowledge and (2) the development of English L2 vocabulary may depend on phonological more than prosodic awareness. Highlights: What is already known about this topicRise time discrimination is important to reading acquisition.Prosodic awareness is important to word reading.Phonological awareness is more important to English L2 word reading than is English stress production. What this paper addsRise time discrimination is important to not only Mandarin L1 but also English L2 vocabulary knowledge.Pitch discrimination is not a significant predictor of L1 vocabulary knowledge in a tone language like Mandarin.Phonological awareness is more important to English L2 vocabulary knowledge than is English stress production. Implications for theory, policy or practiceThe mechanism(s) of the links between prosodic and phonological awareness, vocabulary and reading in a second language should be further examined.English L2 reading instruction might put emphasis on phonological awareness first and on prosodic awareness later.L2 learners' prosodic awareness should be assessed with perception and production tasks taken into consideration. [ABSTRACT FROM AUTHOR]
Copyright of Journal of Research in Reading is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Nursery rhymes,,0
Nursery rhymes and rhythm,,0
Young children and the say/mean distinction: verbatim and paraphrase recognition in narrative and nursery rhyme contexts,,0
Young writers and the nursery rhyme group,,0
Born again phonics and the nursery rhyme revival,,0
Reading pictures: children's responses to nursery rhymes,,0
Runes to ward off sorrow: rhetoric of the English nursery rhyme,,0
Yi Ér San: My First Chinese Nursery Rhymes.,,0
The development of a test of rhyme awareness,,0
The role of rhyme awareness in learning to read a regular orthography,,0
Preventing reading difficulties: rhyme and alliteration in the real world,,0
Rhyme judgement ability in good and poor readers,,0
The mnemonic effect of noticing alliteration in lexical chunks,,0
How effective is it to teach a foreign language in the Foundation Stage through songs and rhymes?,; Songs and rhymes are common techniques used in the Foundation Stage and may play a vital role in developing children's interest for another language. This study focused on two sample groups revealing that songs and rhymes provide a basis for a more effective methodology for teaching languages to young learners,1
The Seuss boost: Rhyme helps children retain words from shared storybook reading.,"This study examines the potential benefits of rhyme on young children’s word retention during shared reading. In two experiments, 2- to 4-year-old children heard their parent read either a rhymed or non-rhymed version of the same animal story, and were then tested on how many animal names they subsequently recognized from the story in Experiment 1 and could correctly identify in Experiment 2. In both experiments, children performed better in the rhyme condition across the age range despite differing levels of word familiarity. While there were no other differences between conditions in parents’ reading styles or the emphasis placed on the animal names, parents’ dramatic pausing just before reading animal names may have promoted children’s ability to anticipate animals before they were initially named. These findings supported the hypothesis that rhyme combined with parental behavior can facilitate active prediction on the part of children, which in turn may contribute to their word retention and learning from the storybooks. [ABSTRACT FROM PUBLISHER]
Copyright of First Language is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Rhyme identification at Key Stage 3 - the results,,0
The impact of the integrative perceptual approach on the teaching of Chinese characters in a Hong Kong kindergarten,"; This study investigated the effectiveness of the integrative perceptual approach (IPA) to enhancing Hong Kong kindergarten children's Chinese character learning. The study applied the IPA to an experimental group of 29 lower form (K2) children. A group of 30 upper form children taught via traditional methods the year before, served as the control group. Quantitative data consisted of pre- and post-test scores, analysed using dependent and independent t-testing. It was found that the pupils in the experimental group had significantly improved their ability between pre- and post-testing in three aspects of Chinese character mastery: shape, sound and meaning recognition. The progress made was significantly superior to that made by control group counterparts. Qualitative data gathered through teacher and parent interviews indicated that the pupils in the experimental group displayed increased awareness of the composition of several components and structures of Chinese characters",1
