id,id_type,label_included
10.1177/1060028019872940,doi,0
10.1097/pcc.0000000000002163,doi,0
10.1016/j.fertnstert.2018.10.015,doi,0
10.1080/15360288.2019.1668902,doi,0
10.1016/j.accpm.2017.09.004,doi,0
10.18433/jpps29396,doi,1
10.1111/crj.12669,doi,0
10.1038/s41467-018-03848-y,doi,0
10.1016/j.pscychresns.2018.03.006,doi,0
10.1016/j.contraception.2017.09.001,doi,1
10.1016/j.contraception.2018.01.013,doi,0
10.1111/pan.13475,doi,0
10.1007/s00540-017-2399-y,doi,0
10.1111/hae.13214,doi,0
10.1007/s40272-017-0216-6,doi,1
10.1523/jneurosci.0976-17.2017,doi,0
10.1016/j.bpa.2017.10.004,doi,0
10.1016/j.jclinane.2017.03.015,doi,0
10.1093/pm/pnw182,doi,0
10.11138/gchir/2017.38.6.273,doi,0
10.1111/papr.12432,doi,0
10.2146/ajhp160230,doi,0
10.1111/pan.13095,doi,0
10.1213/ane.0000000000001568,doi,0
10.15537/smj.2016.11.14557,doi,0
10.1159/000448250,doi,1
10.1038/mp.2015.153,doi,0
10.1038/mp.2016.116,doi,0
10.1213/ane.0000000000001335,doi,1
10.5603/AIT.a2016.0058,doi,0
10.2174/1381612821666150901105736,doi,1
10.1016/j.neuroimage.2015.08.001,doi,0
10.1007/s40261-014-0251-9,doi,0
10.1016/j.soard.2014.05.018,doi,0
10.5387/fms.2014-19,doi,0
10.1016/j.cgh.2015.02.042,doi,1
10.1016/j.ijoa.2015.08.004,doi,0
10.1136/bcr-2014-207596,doi,0
10.1210/jc.2015-1783,doi,0
10.1177/0300060514522204,doi,0
10.1007/s10620-014-3140-4,doi,1
10.1111/aas.12038,doi,0
10.3748/wjg.v19.i4.463,doi,0
10.1016/j.ijporl.2012.11.012,doi,0
10.1053/j.tcam.2013.03.003,doi,0
10.1007/s10620-013-2746-2,doi,0
10.1007/s12630-013-9976-9,doi,0
10.1016/s0034-7094(12)70100-9,doi,0
10.1093/bja/aes211,doi,0
10.4314/ahs.v12i2.16,doi,1
10.1213/ANE.0b013e31825d6254,doi,0
10.1016/s0034-7094(12)70166-6,doi,0
10.1016/j.ijoa.2012.06.003,doi,0
10.1111/j.1399-6576.2010.02365.x,doi,0
10.1097/EJA.0b013e328348a9a5,doi,0
10.1007/s00540-011-1102-y,doi,1
10.1111/j.1399-6576.2011.02486.x,doi,0
10.2217/pgs.11.68,doi,0
10.1097/ALN.0b013e3182172cd3,doi,0
10.1213/ANE.0b013e31821f105c,doi,0
10.1097/ALN.0b013e318209a92d,doi,0
10.1097/EJA.0b013e3283405048,doi,0
10.1007/s00540-010-1022-2,doi,0
10.1007/s00404-010-1445-x,doi,0
10.1016/j.soard.2008.09.018,doi,0
10.1016/s0034-7094(09)70092-3,doi,0
10.1213/ane.0b013e318172c47c,doi,0
10.1590/s0034-70942008000200010,doi,0
10.1093/bja/aem376,doi,0
10.1111/j.1365-2044.2007.05179.x,doi,0
10.1007/s00540-007-0529-7,doi,0
10.1007/s00540-006-0484-8,doi,0
10.1016/j.jclinane.2006.05.019,doi,0
10.1093/bja/aem164,doi,0
10.1016/j.ijoa.2006.03.004,doi,0
10.1093/bja/ael142,doi,0
10.1111/j.1399-6576.2006.01083.x,doi,0
10.1111/j.1399-6576.2006.01095.x,doi,0
10.1007/s00540-006-0416-7,doi,0
10.1227/01.Neu.0000209638.62401.7e,doi,0
10.1016/j.jclinane.2005.05.009,doi,0
10.1381/096089206778392202,doi,0
10.1016/j.joms.2005.12.009,doi,0
10.1177/0310057x0503300418,doi,0
10.1093/bja/aei195,doi,1
10.2165/00003495-200565130-00007,doi,0
10.1016/j.joms.2005.02.004,doi,0
10.1016/j.jclinane.2004.12.015,doi,0
10.1111/j.1365-2044.2004.03832.x,doi,1
10.1213/01.Ane.0000136472.01079.95,doi,0
10.1097/00000542-200409000-00008,doi,1
10.1016/j.ijoa.2004.03.007,doi,0
10.1381/096089204323013488,doi,1
10.1097/00000542-200301000-00014,doi,0
10.1007/bf03020191,doi,0
10.1034/j.1399-6576.2003.00148.x,doi,0
10.1007/bf03021029,doi,0
10.1007/bf03018709,doi,0
10.1017/s0265021502000224,doi,1
10.1007/bf03017420,doi,0
10.1034/j.1399-6576.2002.460622.x,doi,0
10.1097/00000539-200203000-00048,doi,0
10.1046/j.1460-9592.2001.00696.x,doi,0
10.1381/096089201321209413,doi,0
10.1034/j.1399-6576.2000.440819.x,doi,0
10.1097/00000539-200003000-00015,doi,0
10.1381/096089200321643494,doi,1
10.1093/bja/82.4.537,doi,0
10.1007/bf03013134,doi,0
10.1381/096089299765553458,doi,0
10.1007/bf03011990,doi,0
10.1007/bf03011996,doi,0
10.1093/bja/78.6.754,doi,0
10.1016/s0952-8180(97)00233-x,doi,0
10.2165/00003088-199631040-00004,doi,1
10.1097/00000539-199611000-00031,doi,0
10.1093/bja/75.3.274,doi,0
10.1097/00000542-199408000-00020,doi,0
10.1111/j.1365-2044.1994.tb04276.x,doi,0
10.1213/00000539-199411000-00032,doi,0
10.1016/0952-8180(93)90091-r,doi,0
10.1097/00000542-199201000-00002,doi,0
10.1288/00005537-198911000-00004,doi,0
10.2165/00003088-198815040-00002,doi,0
10.1111/j.1399-6576.1987.tb02513.x,doi,0
10.2165/00003088-198611010-00002,doi,0
10.1097/00000542-198104000-00010,doi,0
10.1111/j.1399-6576.1977.tb01194.x,doi,0
10.1097/00004311-197715020-00001,doi,0
10.1007/bf03006956,doi,0
10.1093/bja/40.2.139,doi,0
