openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1037/a0036958,https://pubmed.ncbi.nlm.nih.gov/24865870,1,,
,,https://pubmed.ncbi.nlm.nih.gov/15338493,1,,
,https://doi.org/10.1191/0269215502cr565oa,https://pubmed.ncbi.nlm.nih.gov/12501944,1,,
,https://doi.org/10.1016/0022-3999(91)90089-7,https://pubmed.ncbi.nlm.nih.gov/1710669,1,,
,https://doi.org/10.1111/j.1756-185X.2010.01563.x,https://pubmed.ncbi.nlm.nih.gov/21199467,1,,
,https://doi.org/10.5014/ajot.2016.021386,https://pubmed.ncbi.nlm.nih.gov/27767950,1,,
,https://doi.org/10.1002/acr.22042,https://pubmed.ncbi.nlm.nih.gov/23666599,1,,
,,https://pubmed.ncbi.nlm.nih.gov/22992291,1,,
,https://doi.org/10.1002/14651858.CD004849.pub2,https://pubmed.ncbi.nlm.nih.gov/31553478,1,,
,https://doi.org/10.1002/14651858.cd003688,https://pubmed.ncbi.nlm.nih.gov/12076505,1,,
,https://doi.org/10.1016/j.semarthrit.2010.04.001,https://pubmed.ncbi.nlm.nih.gov/20621334,1,,
,https://doi.org/10.1016/0002-9343(85)90282-7,https://pubmed.ncbi.nlm.nih.gov/3887910,1,,
,https://doi.org/10.1007/s10067-013-2425-x,https://pubmed.ncbi.nlm.nih.gov/24213780,1,,
,https://doi.org/10.1093/rheumatology/37.4.373,https://pubmed.ncbi.nlm.nih.gov/9619885,1,,
,,https://pubmed.ncbi.nlm.nih.gov/17610321,1,,
,https://doi.org/10.1016/j.pec.2011.02.021,https://pubmed.ncbi.nlm.nih.gov/21458196,1,,
,https://doi.org/10.1002/14651858.CD008322.pub2,https://pubmed.ncbi.nlm.nih.gov/23975674,1,,
,https://doi.org/10.1093/rheumatology/ken380,https://pubmed.ncbi.nlm.nih.gov/18815153,1,,
,https://doi.org/10.1093/rheumatology/ket264,https://pubmed.ncbi.nlm.nih.gov/23934220,1,,
,https://doi.org/10.1002/art.10416,https://pubmed.ncbi.nlm.nih.gov/12115160,1,,
,,https://pubmed.ncbi.nlm.nih.gov/26239594,1,,
,https://doi.org/10.1002/acr.22102,https://pubmed.ncbi.nlm.nih.gov/23925924,1,,
,https://doi.org/10.1002/acr.20251,https://pubmed.ncbi.nlm.nih.gov/20506175,1,,
,https://doi.org/10.1007/s11926-018-0787-4,https://pubmed.ncbi.nlm.nih.gov/30338418,1,,
,https://doi.org/10.1002/14651858.CD002822.pub3,https://pubmed.ncbi.nlm.nih.gov/18254008,1,,
,https://doi.org/10.1016/s0304-3959(02)00274-9,https://pubmed.ncbi.nlm.nih.gov/12435467,1,,
,https://doi.org/10.1136/ard.2010.144691,https://pubmed.ncbi.nlm.nih.gov/21540202,1,,
,,https://pubmed.ncbi.nlm.nih.gov/27606470,1,,
,https://doi.org/10.1016/j.pec.2010.02.014,https://pubmed.ncbi.nlm.nih.gov/20451345,1,,
,https://doi.org/10.1080/13548509708400580,,1,,
,https://doi.org/10.1016/j.apmr.2017.07.015,https://pubmed.ncbi.nlm.nih.gov/127758735,1,,
,https://doi.org/10.2196/12463,https://pubmed.ncbi.nlm.nih.gov/31038461,1,,
,,https://pubmed.ncbi.nlm.nih.gov/11502614,1,,
,https://doi.org/10.3109/11038128.2011.611820,https://pubmed.ncbi.nlm.nih.gov/21936735,1,,
,,https://pubmed.ncbi.nlm.nih.gov/28079510,0,,
,https://doi.org/10.1002/art.11459,https://pubmed.ncbi.nlm.nih.gov/14673962,0,,
,https://doi.org/10.1002/art.1780381214,https://pubmed.ncbi.nlm.nih.gov/8849353,0,,
,https://doi.org/10.1371/journal.pone.0131448,,0,,
,https://doi.org/10.1001/jamainternmed.2016.7674,,0,,
,https://doi.org/10.1177/2042018812458697,,0,,
,https://doi.org/10.3109/00365521.2012.697267,,0,,
,https://doi.org/10.1016/S2215-0366(18)30509-1,,0,,
,https://doi.org/10.2174/1573400511309030007,,0,,
,https://doi.org/10.1007/s11912-014-0429-6,,0,,
,https://doi.org/10.1016/j.jbspin.2012.09.023,https://pubmed.ncbi.nlm.nih.gov/23141718,0,,
,https://doi.org/10.1002/da.22120,,0,,
,https://doi.org/10.1517/14740338.2014.857655,https://pubmed.ncbi.nlm.nih.gov/24219428,0,,
,https://doi.org/10.11124/JBISRIR-2016-002555,,0,,
,https://doi.org/10.1186/s12978-015-0032-9,,0,,
,https://doi.org/10.1177/0961203318804879,https://pubmed.ncbi.nlm.nih.gov/30336753,0,,
,https://doi.org/10.1002/14651858.CD012507.pub2,,0,,
,https://doi.org/10.1177/2049463717696602,,0,,
,https://doi.org/10.1177/0333102416670318,,0,,
,https://doi.org/10.1016/j.psyneuen.2017.08.008,,0,,
,https://doi.org/10.1016/j.apmr.2017.07.015,https://pubmed.ncbi.nlm.nih.gov/28860095,0,,
,https://doi.org/10.1093/pm/pnx320,https://pubmed.ncbi.nlm.nih.gov/29304243,0,,
,https://doi.org/10.1016/j.clinthera.2012.12.011,https://pubmed.ncbi.nlm.nih.gov/104244664,0,,
,https://doi.org/10.1164/rccm.201207-1205OC,https://pubmed.ncbi.nlm.nih.gov/107987950,0,,
,https://doi.org/10.1089/tmj.2016.0183,,0,,
,https://doi.org/10.1016/j.atherosclerosis.2011.04.024,https://pubmed.ncbi.nlm.nih.gov/21601857,0,,
,https://doi.org/10.1093/rheumatology/ken110,https://pubmed.ncbi.nlm.nih.gov/18445628,0,,
,https://doi.org/10.1093/rheumatology/key131,https://pubmed.ncbi.nlm.nih.gov/29917100,0,,
,https://doi.org/10.1177/0004867414557163,,0,,
,https://doi.org/10.1016/j.eururo.2016.02.014,,0,,
,https://doi.org/10.1017/S204579601600072X,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/17308549,0,,
,https://doi.org/10.1016/j.phymed.2011.09.038,,0,,
,https://doi.org/10.1590/1516-3180.2018.053740119,,0,,
,https://doi.org/10.1016/j.jbspin.2014.05.003,https://pubmed.ncbi.nlm.nih.gov/24997741,0,,
,https://doi.org/10.1136/ard.2008.105577,https://pubmed.ncbi.nlm.nih.gov/19224904,0,,
,https://doi.org/10.1007/s00296-014-3141-9,https://pubmed.ncbi.nlm.nih.gov/25300728,0,,
,https://doi.org/10.1007/s00296-014-2965-7,https://pubmed.ncbi.nlm.nih.gov/24549404,0,,
