record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
1,"A prospective, controlled trial of a pharmacy-driven alert system to increase thromboprophylaxis rates in medical inpatients.","Although venous thromboembolism is an important cause of morbidity and mortality within the hospital, a significant proportion of at-risk inpatients do not receive measures known to reduce the risk of deep vein thrombosis and pulmonary embolism. The objective of the present study was to determine whether a pharmacy-driven alert system would, compared to usual care, be associated with a higher rate of adequate venous thromboembolism prevention measures among at-risk inpatients on a general internal medicine service. The study was a prospective, controlled trial set at a university-based teaching hospital. The participants were adults who were admitted (Monday through Friday) to the general internal medicine inpatient service from 19 June to 21 September 2006. Their treatment included a pharmacist assessment of venous thromboembolism risk and a pharmacist-driven alert to the treating physician. The Proportion of at-risk patients receiving adequate thromboprophylaxis within 36 h of admission was recorded. Overall, 140 patients were at sufficient risk for venous thromboembolism to be included. In the usual care group, prophylactic measures were ordered for 49 (61%) of the 80 patients at moderate to high risk. In the pharmacist-alert group, 44 (73%) of the 60 moderate to high venous thromboembolism-risk patients received adequate thromboprophylaxis (P = 0.15). Although we did not observe a statistically significant difference between the groups, our results are consistent with previous reports suggesting that alert systems can increase the proportion of hospitalized patients who receive adequate measures to prevent venous thromboembolism.",0,1,
2,Effect of a clinical pharmacy service on lipid control in patients with peripheral arterial disease.,"Objective Our group and others have previously established that patients with peripheral artery disease (PAD) are significantly undertreated with respect to overall cardiovascular risk factor management, despite national guidelines to the contrary. In an effort to maximize risk factor control in our patients with PAD, we established a pharmacist-managed, physician-monitored algorithmic approach to the outpatient management of lipids in patients with PAD. The purpose of this study was to determine the effect of this service on lipid screening and control in patients with PAD.  Methods We analyzed the records of patients treated at a large, group-model, not-for-profit regional managed care system serving approximately 405,000 members. An electronic medical record provided full examination, laboratory, and pharmacy data for all patients. Pharmacy data were analyzed to determine prescriptions for lipid-lowering agents. Lipid control was assessed through fasting lipid data. Patients with validated PAD and the absence of clinical coronary artery disease (CAD) were offered the service between May 2003 and September 2004 and followed up for a minimum of 6 months.  Results We administratively identified 5159 active patients with a diagnosis of PAD. Of these, 1075 could be validated with a noninvasive arterial study. The exclusion of 384 patients with a diagnosis of CAD resulted in a cohort of 691 patients. Of these, 90 patients were enrolled in the lipid service (study group), and 601 received standard care. Mean follow-up was 17.1 months. Screening fasting lipid profiles were found in 95.6% (86/90) of patients in the study group and only 66.9% (402/601) of the standard care patients (P < .0001). Low-density lipoprotein cholesterol (LDL-C) control was improved in the pharmacist-managed group, with 79.1% (68/86) achieving an LDL-C of less than 100 mg/dL in comparison to the standard care group (54.8% [219/400]"";"" P < .0001). An LDL-C value of more than 130 mg/dL was noted in 1.2% and 14.0% (56/400) in the treatment and control groups, respectively (P < .001). Statin use was present in 51.9% (312/601) of the control group patients and 84.4% (76/90) of the pharmacist-managed group (P < .001).  Conclusions Despite national consensus of PAD as a CAD equivalent, patients are currently undertreated with regard to atherosclerotic risk factor modification. Initiation of a pharmacist-managed, physician-monitored lipid service provides improved compliance with national guidelines",0,1,
3,Using peer feedback to improve handwashing and glove usage among Thai health care workers.,"Background: Without protective practices such as Universal Precautions, health care workers are at substantial risk for bloodborne infection, especially in areas such as Thailand with high prevalence of HIV infection. The purpose of this study was to evaluate the effectiveness of a peer feedback program (PFP) on handwashing and glove wearing (HW/GW) among Thai health care workers. Methods: Subjects (N = 91) were randomly assigned to receive PFP versus no treatment. By using a checklist, peer observers rated HW/GW compliance in their coworkers during patient care. For 1 month, the investigator posted a report of compliance behaviors from each 3 days of observations. HW/GW was also assessed by the investigator by direct observation at 1 month before the intervention, during the intervention period, and 1 month after the intervention. Results: Baseline HW/GW rates for the PFP and control groups were 49.2% and 61.5%, respectively. The PFP group had a significantly higher adjusted compliance rate than the control group during the intervention period (P =.0001). However, there was no significant difference in the compliance scores obtained 1 month after the intervention. Conclusions: The PFP was effective during the intervention period, but there was no retention of effect. Therefore, adjunct methods should be sought to promote retention of effect. (AJIC Am J Infect Control 2000"";""28:365-9)",0,1,
4,"""Doctoring"" Doctors and Their Families","Being selected to provide medical care to other physicians or their family members represents not only a gratifying professional recognition of competence by one's peers but also a challenge. Many personal and psychological factors may influence the medical care of physicians. Ill physicians may have difficulty with role reversal and ""the VIP syndrome,"" while treating physicians may have to deal with their own anxiety and issues such as confidentiality, privacy, empathy, and intrusion by a physician-relative into the care of medical family members. Based on experience with more than 200 physician-patients and many adult family members of physicians, suggestions are offered for care of these patient groups.",0,0,
5,"""Ethics and clinical research"" revisited. A tribute to Henry K. Beecher","The doctrine of informed consent, borrowed from the law of torts, cannot be readily transplanted into therapeutic settings. The broader, as yet unrealized, idea of informed consent, which suggests that parties must make decisions jointly, should guide interactions between physicians and patients or investigators and subjects.",0,0,
6,"""First, do no harm"": legal guidelines for health programmes affecting adolescents aged 10-17 who sell sex or inject drugs","INTRODUCTION: There is a strong evidence base that the stigma, discrimination and criminalization affecting adolescent key populations (KPs) aged 10-17 is intensified due to domestic and international legal constructs that rely on law-enforcement-based interventions dependent upon arrest, pre-trial detention, incarceration and compulsory ""rehabilitation"" in institutional placement. While there exists evidence and rights-based technical guidelines for interventions among older cohorts, these guidelines have not yet been embraced by international public health actors for fear that international law applies different standards to adolescents aged 10-17 who engage in behaviours such as selling sex or injecting drugs. DISCUSSION: As a matter of international human rights, health, juvenile justice and child protection law, interventions among adolescent KPs aged 10-17 must not involve arrest, prosecution or detention of any kind. It is imperative that interventions not rely on law enforcement, but instead low-threshold, voluntary services, shelter and support, utilizing peer-based outreach as much as possible. These services must be mobile and accessible, and permit alternatives to parental consent for the provision of life-saving support, including HIV testing, treatment and care, needle and syringe programmes, opioid substitution therapy, safe abortions, antiretroviral therapy and gender-affirming care and hormone treatment for transgender adolescents. To ensure enrolment in services, international guidance indicates that informed consent and confidentiality must be ensured, including by waiver of parental consent requirements. To remove the disincentive to health practitioners and researchers to engaging with adolescent KPs aged 10-17 government agencies and ethical review boards are advised to exempt or grant waivers for mandatory reporting. In the event that, in violation of international law and guidance, authorities seek to involuntarily place adolescent KPs in institutions, they are entitled to judicial process. Legal guidelines also provide that these adolescents have influence over their placement, access to legal counsel to challenge the conditions of their detention and regular visitation from peers, friends and family, and that all facilities be subject to frequent and periodic review by independent agencies, including community-based groups led by KPs. CONCLUSIONS: Controlling international law specifies that protective interventions among KPs aged 10-17 must not only include low-threshold, voluntary services but also ""protect"" adolescent KPs from the harms attendant to law-enforcement-based interventions. Going forward, health practitioners must honour the right to health by adjusting programmes according to principles of minimum intervention, due process and proportionality, and duly limit juvenile justice and child protection involvement as a measure of last resort, if any.",0,0,
7,"""How much do you get paid if I volunteer?"" Suggested institutional policy on reward, consent, and research","Pharmaceutical companies often ask practicing physicians to conduct phase IV or postmarketing research on new drugs. Companies pay physicians to enroll their patients and report dosage and side-effect information. Postmarketing research embraces a multibillion dollar effort at promotion and familiarization, but subjects' informed consent to it normally does not include physician reward. Improving investigators' financial status while increasing medical risks to phase IV subjects is ethically unsound, especially if subjects are unaware of investigators' rewards. We suggest a model policy and guidelines that affirm subjects' need for informed consent, investigators' need for recognition and support, and institutions' need to protect patients from undisclosed risk and relations.",0,0,
8,"""If it ain't broke, don't fix it",,0,0,
9,"""Let Me Get You a Nicotine Patch"": Nurses' Perceptions of Implementing Smoking Cessation Guidelines for Hospitalized Veterans","Many hospitalized smokers do not receive guideline-recommended tobacco treatment, but little is known about the perceptions of inpatient nurses with regard to tobacco treatment. We used a sequential explanatory mixed methods design to help explain the findings of an academic detailing intervention trial on the inpatient medicine units of four Veterans Affairs (VA) hospitals. We surveyed 164 nurses and conducted semistructured interviews in a purposeful sample of 33 nurses with different attitudes toward cessation counseling. Content analysis was used to inductively characterize the issues raised by participants. Emerging themes were categorized using the knowledge-attitudes-behavior framework of guideline adherence. Knowledge-related and attitudinal barriers included perceived lack of skills in cessation counseling and skepticism about the effectiveness of cessation guidelines in hospitalized veterans. Nurses also reported multiple behavioral and organizational barriers to guideline adherence: resistance from patients, insufficient time and resources, the presence of smoking areas on VA premises, and lack of coordination with primary care. VA hospitals should train inpatient staff how to negotiate behavior change, integrate cessation counseling into nurses' workflow, develop alternative referral mechanisms for post-discharge cessation counseling, and adopt hospital policies to promote inpatient abstinence.",0,0,
10,"""Rules"" of evidence in assessing the efficacy and effectiveness of treatments","A brief review of the ""rules"" of evidence in assessing the efficacy and effectiveness of treatments leads to a discussion of what the future might hold in the development of the rules of randomized clinical trials (RCTs) in order to enhance the impact of such studies. The primary requisite for enhancing the impact of studies appears to be discussions and interactions among researchers, clinicians, policy makers, and patient advocates, on the one hand, and among the basic scientists and clinical researchers, on the other.",0,0,
