openalex_id,doi,pmid,label_included,label_abstract_included,method
,,,1,,
,https://doi.org/10.3109/17453674.2015.1033303,https://pubmed.ncbi.nlm.nih.gov/25809183,1,,
,https://doi.org/10.1155/2010/142989,,0,,
,https://doi.org/10.3109/17453674.2012.702392,https://pubmed.ncbi.nlm.nih.gov/22880707,0,,
,https://doi.org/10.1080/17453670710014518,https://pubmed.ncbi.nlm.nih.gov/18236180,0,,
,,,0,,
,https://doi.org/10.1016/j.arth.2011.12.002,https://pubmed.ncbi.nlm.nih.gov/22266049,0,,
,https://doi.org/10.3109/17453674.2012.742392,https://pubmed.ncbi.nlm.nih.gov/23116438,0,,
,,https://pubmed.ncbi.nlm.nih.gov/8448961,0,,
,https://doi.org/10.1007/s11999-012-2604-0,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/1950487,0,,
,https://doi.org/10.1097/BLO.0b013e31802bab25,,0,,
,https://doi.org/10.1016/j.arth.2015.05.058,https://pubmed.ncbi.nlm.nih.gov/26162514,1,,
,,,0,,
,https://doi.org/10.1016/j.orthres.2004.07.002,,0,,
,https://doi.org/10.3109/17453674.2010.487930,,0,,
,https://doi.org/10.1016/s0736-0266(01)00039-0,https://pubmed.ncbi.nlm.nih.gov/11781019,0,,
,,,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10204933,0,,
,https://doi.org/10.1007/s00132-014-3014-7,,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/7484121,0,,
,https://doi.org/10.1007/s11999-008-0287-3,https://pubmed.ncbi.nlm.nih.gov/18509712,0,,
,https://doi.org/10.1007/s00132-003-0570-7,https://pubmed.ncbi.nlm.nih.gov/15007558,0,,
,,https://pubmed.ncbi.nlm.nih.gov/15762258,0,,
,,https://pubmed.ncbi.nlm.nih.gov/1523736,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10718664,0,,
,https://doi.org/10.1016/j.jbiomech.2012.05.023,https://pubmed.ncbi.nlm.nih.gov/22698831,0,,
,https://doi.org/10.1109/tbme.2013.2259489,https://pubmed.ncbi.nlm.nih.gov/23962985,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10572504,0,,
,https://doi.org/10.3928/01477447-20131120-10,,0,,
,https://doi.org/10.1007/s00264-004-0559-9,https://pubmed.ncbi.nlm.nih.gov/15118840,0,,
,https://doi.org/10.1016/j.jse.2014.01.040,https://pubmed.ncbi.nlm.nih.gov/24739793,0,,
,https://doi.org/10.1016/j.jse.2012.09.014,https://pubmed.ncbi.nlm.nih.gov/23313370,0,,
,https://doi.org/10.1016/j.clinbiomech.2007.11.012,,0,,
,https://doi.org/10.1097/01.blo.0000224014.35045.7b,https://pubmed.ncbi.nlm.nih.gov/16826097,0,,
,https://doi.org/10.1016/j.actbio.2014.12.003,,0,,
,https://doi.org/10.3109/17453674.2014.934187,https://pubmed.ncbi.nlm.nih.gov/24954489,0,,
,,,0,,
,https://doi.org/10.1016/j.jse.2010.02.010,https://pubmed.ncbi.nlm.nih.gov/20558091,0,,
,,,0,,
,https://doi.org/10.1016/s0968-0160(03)00071-1,https://pubmed.ncbi.nlm.nih.gov/15194094,0,,
,https://doi.org/10.2106/jbjs.g.01427,https://pubmed.ncbi.nlm.nih.gov/19571080,0,,
,https://doi.org/10.2106/jbjs.i.00842,https://pubmed.ncbi.nlm.nih.gov/20124081,0,,
,https://doi.org/10.1007/s11999-012-2582-2,https://pubmed.ncbi.nlm.nih.gov/22972656,0,,
,,,0,,
,https://doi.org/10.1007/s00264-011-1341-4,,0,,
,https://doi.org/10.1302/0301-620x.83b6.11430,,1,,
,,https://pubmed.ncbi.nlm.nih.gov/11521922,1,,
,https://doi.org/10.2106/jbjs.m.00373,,0,,
,https://doi.org/10.1080/17453670510045354,https://pubmed.ncbi.nlm.nih.gov/16470428,1,,
,https://doi.org/10.1080/17453670510045363,https://pubmed.ncbi.nlm.nih.gov/16470429,0,,
,,,0,,
,https://doi.org/10.3109/17453670903487024,,0,,
,https://doi.org/10.3928/01477447-20151002-58,https://pubmed.ncbi.nlm.nih.gov/26488786,0,,
,https://doi.org/10.1055/s-2005-857964,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/9273388,0,,
,https://doi.org/10.1007/s00264-013-2175-z,https://pubmed.ncbi.nlm.nih.gov/24271331,0,,
,,,0,,
,https://doi.org/10.1007/s00586-010-1588-2,https://pubmed.ncbi.nlm.nih.gov/21221666,0,,
,,https://pubmed.ncbi.nlm.nih.gov/15792210,0,,
,,https://pubmed.ncbi.nlm.nih.gov/25950544,0,,
,,,0,,
,https://doi.org/10.1016/j.jse.2015.03.030,https://pubmed.ncbi.nlm.nih.gov/26119632,0,,
,https://doi.org/10.1016/j.jbiomech.2007.07.010,https://pubmed.ncbi.nlm.nih.gov/17942102,0,,
,https://doi.org/10.1016/j.jbiomech.2011.09.011,https://pubmed.ncbi.nlm.nih.gov/22093794,0,,
,https://doi.org/10.1007/s11999-015-4471-y,,0,,
,https://doi.org/10.3109/17453674.2012.665330,https://pubmed.ncbi.nlm.nih.gov/22329667,1,,
,https://doi.org/10.1002/jbm.b.32936,https://pubmed.ncbi.nlm.nih.gov/23650084,0,,
,https://doi.org/10.1016/j.orthres.2003.09.012,https://pubmed.ncbi.nlm.nih.gov/15304276,0,,
,,https://pubmed.ncbi.nlm.nih.gov/8799502,0,,
,https://doi.org/10.1007/s00264-012-1678-3,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/11603198,0,,
,https://doi.org/10.1016/j.kjms.2011.08.004,,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/6630257,0,,
,https://doi.org/10.1080/000164701317268987,https://pubmed.ncbi.nlm.nih.gov/11817871,0,,
,https://doi.org/10.1016/j.arth.2005.02.015,,0,,
,,,0,,
,https://doi.org/10.5301/hipint.5000104,https://pubmed.ncbi.nlm.nih.gov/24500826,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10665727,0,,
,,https://pubmed.ncbi.nlm.nih.gov/12934220,0,,
,,,0,,
,,,0,,
,,,0,,
,https://doi.org/10.1007/s00264-013-1834-4,https://pubmed.ncbi.nlm.nih.gov/23456016,0,,
,https://doi.org/10.1016/j.otsr.2014.12.007,https://pubmed.ncbi.nlm.nih.gov/25707579,0,,
,https://doi.org/10.1016/j.arth.2015.04.023,,0,,
,https://doi.org/10.1016/j.arth.2006.08.009,https://pubmed.ncbi.nlm.nih.gov/17826274,0,,
,https://doi.org/10.1007/s11999-009-1082-5,https://pubmed.ncbi.nlm.nih.gov/19760467,0,,
,https://doi.org/10.1080/00016470410001213,,0,,
,https://doi.org/10.1080/00016470410001213,https://pubmed.ncbi.nlm.nih.gov/15260420,0,,
,https://doi.org/10.1080/17453670902804976,https://pubmed.ncbi.nlm.nih.gov/19234885,1,,
,https://doi.org/10.1097/01.blo.0000224007.25636.85,https://pubmed.ncbi.nlm.nih.gov/16826092,0,,
,,,0,,
,https://doi.org/10.1302/0301-620x.81b1.8904,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10068020,0,,
,https://doi.org/10.1302/0301-620x.89b7.18717,,0,,
,,,0,,
,https://doi.org/10.2106/jbjs.j.01303,,0,,
,https://doi.org/10.1302/0301-620x.95b11.32976,https://pubmed.ncbi.nlm.nih.gov/24187352,0,,
,https://doi.org/10.1302/0301-620x.98b1.36336,https://pubmed.ncbi.nlm.nih.gov/26733517,0,,
,,https://pubmed.ncbi.nlm.nih.gov/16156464,1,,
,https://doi.org/10.1302/0301-620x.97b2.34331,,0,,
,https://doi.org/10.1302/0301-620x.97b2.34331,https://pubmed.ncbi.nlm.nih.gov/25628280,0,,
,https://doi.org/10.1302/0301-620x.89b1.17974,,0,,
,https://doi.org/10.1302/0301-620x.89b1.17974,https://pubmed.ncbi.nlm.nih.gov/17259414,0,,
,https://doi.org/10.1016/j.knee.2008.11.009,https://pubmed.ncbi.nlm.nih.gov/19097910,0,,
,,https://pubmed.ncbi.nlm.nih.gov/7801753,0,,
,https://doi.org/10.1002/14651858.CD006193.pub2,https://pubmed.ncbi.nlm.nih.gov/23076921,0,,
,,,0,,
,,,0,,
,,,0,,
,https://doi.org/10.1302/0301-620x.98b7.37367,,0,,
,,,0,,
,https://doi.org/10.3109/17453674.2012.720116,https://pubmed.ncbi.nlm.nih.gov/23083434,0,,
,https://doi.org/10.3109/17453674.2012.720116,,0,,
,https://doi.org/10.1002/jor.22241,https://pubmed.ncbi.nlm.nih.gov/23070723,0,,
,,https://pubmed.ncbi.nlm.nih.gov/9880180,1,,
,https://doi.org/10.3928/01477447-20160111-01,https://pubmed.ncbi.nlm.nih.gov/26821223,0,,
,,https://pubmed.ncbi.nlm.nih.gov/16097553,0,,
,https://doi.org/10.1016/j.knee.2006.04.007,https://pubmed.ncbi.nlm.nih.gov/16797995,0,,
,,,0,,
,https://doi.org/10.5301/hip.2011.8397,,0,,
,https://doi.org/10.1243/095441105x34464,,0,,
,https://doi.org/10.1007/s00264-013-2277-7,https://pubmed.ncbi.nlm.nih.gov/24458592,0,,
,,https://pubmed.ncbi.nlm.nih.gov/19634727,1,,
,,https://pubmed.ncbi.nlm.nih.gov/7699376,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10149615,0,,
,https://doi.org/10.1002/jor.23177,https://pubmed.ncbi.nlm.nih.gov/26825861,0,,
,,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/17088755,0,,
,https://doi.org/10.1016/j.jse.2015.05.041,https://pubmed.ncbi.nlm.nih.gov/26163281,0,,
,,https://pubmed.ncbi.nlm.nih.gov/18062052,0,,
,,,0,,
,,,0,,
,https://doi.org/10.1080/000164700317362163,https://pubmed.ncbi.nlm.nih.gov/11145380,0,,
,,https://pubmed.ncbi.nlm.nih.gov/2336945,0,,
,https://doi.org/10.2106/jbjs.15.00810,,0,,
,https://doi.org/10.1016/j.jbiomech.2003.12.004,https://pubmed.ncbi.nlm.nih.gov/15212926,0,,
,,https://pubmed.ncbi.nlm.nih.gov/10627742,0,,
,,,0,,
,,,0,,
,https://doi.org/10.1016/j.jse.2014.10.012,https://pubmed.ncbi.nlm.nih.gov/25556807,0,,
,https://doi.org/10.1007/s00264-014-2433-8,https://pubmed.ncbi.nlm.nih.gov/25038969,0,,
,https://doi.org/10.1016/j.arth.2009.06.018,,0,,
,https://doi.org/10.1016/j.jmbbm.2015.12.022,,0,,
,https://doi.org/10.3928/01477447-20130426-10,,0,,
,https://doi.org/10.1007/s00264-008-0632-x,https://pubmed.ncbi.nlm.nih.gov/18704414,0,,
,https://doi.org/10.1097/BSD.0b013e318198791e,https://pubmed.ncbi.nlm.nih.gov/19956035,0,,
,https://doi.org/10.1097/01.blo.0000224018.88410.83,https://pubmed.ncbi.nlm.nih.gov/16826096,0,,
,https://doi.org/10.1111/j.1445-2197.2010.05342.x,https://pubmed.ncbi.nlm.nih.gov/20969685,0,,
,https://doi.org/10.2106/jbjs.l.01637,https://pubmed.ncbi.nlm.nih.gov/24257664,0,,
,https://doi.org/10.1016/j.knee.2008.07.002,,0,,
,,https://pubmed.ncbi.nlm.nih.gov/16156463,0,,
,https://doi.org/10.1097/01.blo.0000205902.13609.ab,,0,,
,https://doi.org/10.5301/hipint.5000088,https://pubmed.ncbi.nlm.nih.gov/24062223,0,,
,https://doi.org/10.1016/j.arth.2009.05.006,,0,,
,,,0,,
,https://doi.org/10.1016/j.arth.2008.02.004,https://pubmed.ncbi.nlm.nih.gov/18676114,0,,
,https://doi.org/10.1080/17453670610045713,,0,,
,https://doi.org/10.1080/17453670610045713,https://pubmed.ncbi.nlm.nih.gov/16534704,0,,
,https://doi.org/10.1007/s00264-008-0562-7,,0,,
,https://doi.org/10.3109/17453674.2011.572251,https://pubmed.ncbi.nlm.nih.gov/21434845,0,,
,https://doi.org/10.1016/j.clinbiomech.2014.06.007,https://pubmed.ncbi.nlm.nih.gov/25175935,0,,
