doi,openalex_id,label_included
https://doi.org/10.1080/08037050701461084,,1
https://doi.org/10.1097/gme.0b013e31803167ab,,1
https://doi.org/10.2165/0042310-200824120-00008,,1
https://doi.org/10.1016/j.fertnstert.2008.08.091,,1
,,1
https://doi.org/10.2165/00115677-200816020-00007,,1
,,1
https://doi.org/10025http://dx.doi.org/10.1016/S1474-4422(07)70293-4,,1
,,1
,,1
,,1
,,1
,,1
,,1
https://doi.org/10.2165/11204260-000000000-00000,,1
,,1
https://doi.org/10.1002/dat.20420,,1
https://doi.org/10.1136/dtb.2011.02.0063,,1
https://doi.org/10.1258/mi.2011.011015,,1
,,1
https://doi.org/10.1136/dtb.2012.06.0107,,1
https://doi.org/1006284/frame.html,,1
,,1
,,1
,,1
https://doi.org/10.1136/bmj.f4506,,1
,,1
https://doi.org/1006284/frame.html,,1
https://doi.org/10.1136/bmj.g140,,1
https://doi.org/10.1053/j.ajkd.2013.10.031,,1
,,1
,,1
,,1
,,1
,,1
https://doi.org/10318570,,1
,,1
,,1
,,1
https://doi.org/10.1002/gps.2642,,1
https://doi.org/10.1016/j.amjcard.2010.07.048,,1
,,1
https://doi.org/10.1155/2014/694296,,1
,,1
https://doi.org/10.1373/clinchem.2006.067082,,1
https://doi.org/10.3171/2016.3.JNS152957,,1
,,1
,,1
https://doi.org/10.1007/s12603-014-0033-3,,1
,,1
,,1
https://doi.org/10.1016/j.eurger.2013.10.012,,1
,,1
https://doi.org/10.1111/jgs.14484,,1
,,1
https://doi.org/10.1016/j.pjnns.2016.12.004,,1
https://doi.org/10.1371/journal.pone.0119203,,1
https://doi.org/10.1016/j.pain.2009.10.008,,1
,,1
,,1
,,1
,,1
,,1
https://doi.org/100/CN-01308100/frame.html,,1
,,1
https://doi.org/10.1016/j.clinthera.2007.09.024,,1
https://doi.org/10.1016/j.ypmed.2016.09.004,,1
,,1
,,1
https://doi.org/10.1007/s00405-015-3841-0,,1
,,1
https://doi.org/10.1002/ejhf.631,,1
https://doi.org/10.1161/STROKEAHA.116.016022,,1
https://doi.org/10.1161/STROKEAHA.109.568402,,1
https://doi.org/10.1161/STROKEAHA.113.679936,,1
https://doi.org/10.1111/jch.12750,,1
https://doi.org/10676http://dx.doi.org/10.1016/j.revmed.2008.10.006,,1
https://doi.org/10.1001/archneur.55.9.1226,,1
https://doi.org/10.1093/bmb/ldt032,,1
https://doi.org/10.1016/j.medmal.2015.09.010,,1
,,1
https://doi.org/10.1016/j.jacc.2011.06.041,,1
https://doi.org/10.1002/1520-6769(200011/12)27:3<165::AID-NRC3>3.0.CO;2-N,,1
,,1
https://doi.org/10.1111/jgs.14471,,1
https://doi.org/10.1016/j.jagp.2012.06.001,,1
https://doi.org/10.1155/2014/690316,,1
,,1
https://doi.org/10.1016/j.eurger.2016.07.001,,1
,,1
https://doi.org/10.5339/gcsp.2015.33,,1
https://doi.org/10.1093/annonc/mds237,,1
,,1
https://doi.org/10.1177/0004867412450753,,1
,,1
,,1
https://doi.org/10.1161/JAHA.114.001090,,1
https://doi.org/10171http://dx.doi.org/10.1002/gps.2504,,1
,,1
,,1
,,1
https://doi.org/10.5114/aoms.2011.20612,,1
,,1
,,1
https://doi.org/10.1001/jamaneurol.2015.0164,,1
https://doi.org/10.1038/gim.2013.115,,1
,,1
https://doi.org/10.1093/qjmed/hcg096,,1
https://doi.org/10.1016/j.puhe.2011.09.031,,1
https://doi.org/10.1007/s00415-008-0928-1,,1
,,1
,,1
,,1
https://doi.org/10.1016/j.annemergmed.2013.07.508,,1
,,1
,,1
https://doi.org/10.1016/j.ijscr.2016.07.048,,1
,,1
https://doi.org/10.1016/S0211-139X(07)73583-7,,1
,,1
https://doi.org/10850545,,1
,,1
https://doi.org/10.13040/IJPSR.0975-8232.5(3).861-64,,1
,,1
,,1
https://doi.org/10.1016/j.jagp.2014.07.006,,1
https://doi.org/10.1001/jamainternmed.2014.2534,,1
https://doi.org/10761532http://dx.doi.org/10.1097/TA.0000000000001118,,1
,,1
,,1
https://doi.org/10.1016/j.ajme.2011.07.009,,1
,,1
,,1
,,1
https://doi.org/10.1001/jama.2009.851,,1
,,1
,,1
https://doi.org/10.1111/j.1532-5415.2007.01039.x,,1
,,1
https://doi.org/1099395/frame.html,,1
https://doi.org/1099395/frame.html,,1
https://doi.org/10.2215/CJN.06220614,,1
,,1
,,1
,,1
https://doi.org/10.3310/hta17570,,1
https://doi.org/10.1016/j.rce.2009.12.002,,1
https://doi.org/10.1017/S1041610211001657,,1
,,1
,,1
,,1
https://doi.org/10.1002/gps.391,,1
,,1
,,1
,,1
,,1
,,1
https://doi.org/10.1007/s10741-013-9399-2,,1
https://doi.org/10.1080/21551197.2013.781408,,1
,,1
,,1
https://doi.org/10.1002/pd.4273,,1
,,1
https://doi.org/10.1111/j.1528-1167.2012.03451.x,,1
https://doi.org/10.1016/j.jstrokecerebrovasdis.2016.11.120,,1
https://doi.org/10.1097/01.SMJ.0000125549.20351.BB,,1
https://doi.org/1013085/frame.html,,1
https://doi.org/1013085/frame.html,,1
,,1
,,1
,,1
,,1
https://doi.org/10.1017/S1041610216000648,,1
https://doi.org/10.1016/S0140-6736(95)90509-X,,1
,,1
https://doi.org/10.1017/S1041610212001901,,1
https://doi.org/10082http://dx.doi.org/10.1093/ndt/gfi006,,1
,,1
https://doi.org/10.1159/000265553,,1
https://doi.org/10.1111/aas.12654,,1
https://doi.org/10.1046/j.1532-5415.2001.49180.x,,1
https://doi.org/10.1016/j.cct.2004.10.003,,1
https://doi.org/10.1016/j.resuscitation.2015.01.009,,1
https://doi.org/10.1161/STROKEAHA.115.009026,,1
https://doi.org/10.1016/j.archger.2006.06.002,,1
,,1
,,1
,,1
https://doi.org/10.1016/j.eurtel.2015.08.001,,1
,,1
https://doi.org/10.1111/j.1532-5415.2012.04071.x,,1
https://doi.org/100http://dx.doi.org/10.1016/S1474-4422(14)70262-5,,1
https://doi.org/10167522http://dx.doi.org/10.1016/j.ijcard.2016.04.151,,1
,,1
,,1
,,1
,,1
https://doi.org/10.1016/j.ajo.2007.12.029,,1
https://doi.org/10.1007/s12035-017-0503-9,,1
,,1
https://doi.org/10.2169/internalmedicine.54.4709,,1
https://doi.org/10.1159/000353676,,1
https://doi.org/10.1161/01.STR.0000030318.99727.FA,,1
,,1
https://doi.org/10.1038/gim.2011.65,,1
https://doi.org/1058650/frame.html,,1
https://doi.org/1058650/frame.html,,1
https://doi.org/10.1016/j.echo.2014.11.009,,1
https://doi.org/10.1111/ene.13191,,1
https://doi.org/10280,,1
,,1
https://doi.org/10.1007/s11560-016-0084-z,,1
https://doi.org/10.1111/bpa.12442,,1
https://doi.org/10.1111/1742-6723.12678,,1
,,1
https://doi.org/10.1002/nbm.2894,,1
,,1
