openalex_id,doi,pmid,label_included,label_abstract_included,method
,https://doi.org/10.1177/1053815118789177,,1,1,
,https://doi.org/10.1016/j.jaac.2016.06.006,,1,1,
,https://doi.org/10.1097/IYC.0000000000000113,,1,1,
,https://doi.org/10.1097/00001163-200607000-00007,,1,1,
,https://doi.org/10.1007/s10643-020-01057-1,,1,1,
,https://doi.org/10.1002/imhj.21845,,1,1,
,https://doi.org/10.1002/imhj.21334,,1,1,
,https://doi.org/10.1111/chso.12228,,1,1,
,https://doi.org/10.4225/03/5a6d259f0b6a6,,1,1,
,https://doi.org/10.1016/j.evalprogplan.2019.101773,,1,1,
,https://doi.org/10.1007/s10826-007-9140-7,,1,1,
,https://doi.org/10.1111/jcpp.12430,,1,1,
,https://doi.org/10.1080/10409289.2020.1785267,,1,1,
,https://doi.org/10.1016/j.ecresq.2008.12.002,,1,1,
,https://doi.org/10.1177/0271121415626130,,1,1,
,https://doi.org/10.1016/j.chiabu.2019.104149,,1,1,
,https://doi.org/10.1177/0014402920949832,,1,1,
,https://doi.org/10.1016/j.appdev.2017.11.006,,1,1,
,https://doi.org/10.3102/0002831219838236,,1,1,
,https://doi.org/10.1002/pits.22440,,1,1,
,10.3389/fimmu.2017.01284,,0,0,
,10.1002/bin.112,,0,0,
,10.1023/A:1012221026124,,0,0,
,,,0,1,
,10.1016/j.jadohealth.2018.11.010,,0,0,
,10.1111/j.1440-1754.2008.01429.x,,0,0,
,10.1016/j.envres.2013.07.008,,0,1,
,10.1177/0194599814521780,,0,0,
,10.1053/j.gastro.2012.06.034,,0,0,
,10.1177/0042085916646610,,0,1,
,10.1177/0003489419830116,,0,0,
,10.1016/j.childyouth.2014.06.025,,0,1,
,10.1097/INF.0000000000002539,,0,0,
,10.1371/journal.pmed.1002835,,0,0,
,10.1023/A:1015765924135,,0,0,
,10.2307/3069637,,0,1,
,10.3928/01913913-20171101-01,,0,0,
,10.1016/j.jaci.2008.09.029,,0,0,
,10.1080/02673843.1998.9747825,,0,0,
,10.1046/j.1365-2206.1998.00101.x,,0,0,
,,,0,1,
,10.1542/peds.103.2.414,,0,0,
,10.1177/0009922810369253,,0,0,
,10.1007/s10597-013-9670-y,,0,1,
,10.1016/S0016-5107(99)70389-5,,0,0,
,10.1001/jama.2014.1719,,0,0,
,10.1016/j.cct.2008.12.001,,0,0,
,10.1177/000992289703600403,,0,0,
,10.1111/j.1469-7610.2007.01750.x,,0,1,
,10.7120/09627286.22.4.483,,0,0,
,10.1097/MPG.0b013e31826a909f,,0,0,
,,,0,1,
,10.1016/S1474-4422(17)30085-6,,0,0,
,,,0,1,
,10.1080/00222216.1994.11969944,,0,0,
,10.1016/j.contraception.2019.08.007,,0,0,
,10.1002/1520-6807(197801)15:1<72::AID-PITS2310150114>3.0.CO;2-Q,,0,0,
,10.1080/15402002.2019.1640222,,0,1,
,,,0,0,
,10.1207/s15566935eed1303_4,,0,0,
,10.1177/1098300709334798,,0,0,
,10.1007/s10464-009-9240-1,,0,0,
,10.1542/peds.2012-0243,,0,0,
,10.1111/1467-9604.00138,,0,1,
,10.1007/s12028-010-9397-3,,0,0,
,10.1007/s10964-005-1333-z,,0,0,
,10.2337/dc09-2303,,0,0,
,10.1002/bin.188,,0,0,
,10.1097/SPV.0000000000000657,,0,0,
,10.1207/s15326888chc3302_1,,0,0,
,10.2337/dc08-2117,,0,0,
,10.1016/j.ajog.2016.12.032,,0,0,
,10.1080/08838151.2011.546255,,0,0,
,10.1002/jps.24223,,0,0,
,10.1007/s00213-013-3045-5,,0,0,
,10.1017/S0954579499001959,,0,0,
,10.1007/s11089-013-0545-5,,0,0,
,10.1111/j.1466-7657.2010.00829.x,,0,0,
,10.1002/imhj.21336,,0,1,
,10.3109/13668250.2016.1190004,,0,0,
,10.1016/j.ajog.2018.06.009,,0,0,
,10.1016/0740-5472(91)90029-A,,0,0,
,10.1001/archsurg.1992.01420020045007,,0,0,
,10.1515/crpm-2018-0046,,0,0,
,10.1016/j.jad.2015.06.025,,0,1,
,10.1080/15388220.2012.652912,,0,0,
,10.1177/0734282912448137,,0,0,
,10.1016/j.anai.2018.04.002,,0,0,
,10.1016/j.childyouth.2019.05.023,,0,0,
,10.17796/1053-4628-41.2.141,,0,0,
,10.1901/jaba.1997.30-581,,0,0,
,10.1177/10983007070090040301,,0,1,
,10.1002/j.2167-4086.1999.tb00636.x,,0,0,
,10.1080/03055698.2014.955741,,0,1,
,10.1177/1053815118789177,,0,1,
,10.1002/imhj.21335,,0,1,
,10.1176/appi.ajp.2015.15070944,,0,0,
,10.1080/00107530.2010.10746078,,0,0,
,10.1176/appi.ajp.2012.12010132,,0,0,
,10.1080/02796015.2004.12086266,,0,0,
,10.1037/spq0000220,,0,0,
,10.17105/SPR-2017-0030.V47-2,,0,1,
,10.1016/j.anai.2016.07.035,,0,0,
,10.1016/S0031-3955(03)00051-8,,0,0,
,10.1002/pbc.20652,,0,0,
,10.1037/pne0000198,,0,0,
,10.1002/ab.21560,,0,0,
,10.1542/peds.2018-2305,,0,0,
,10.1177/0193841X9802200105,,0,0,
,10.1080/07399330701462223,,0,0,
,10.1080/1754730X.2013.867712,,0,0,
,10.1089/neu.2017.5354,,0,0,
,10.1002/imhj.21847,,0,1,
,10.1097/SCS.0000000000004591,,0,0,
,10.1037/pha0000263,,0,0,
,10.1111/j.1556-4029.2012.02230.x,,0,0,
,10.1177/0096144216688279,,0,0,
,10.1016/j.childyouth.2019.04.027,,0,1,
,10.1016/j.socscimed.2017.02.009,,0,0,
,10.1080/00754170600996879,,0,0,
,10.1097/00000433-200203000-00001,,0,0,
,10.1177/08830738030180060901,,0,0,
,10.1590/0104-1169.3305.2416,,0,0,
,10.1177/0272684X18773763,,0,0,
,10.1037/0012-1649.29.1.53,,0,1,
,,,0,0,
,10.1016/j.ajog.2016.10.040,,0,0,
,,,0,0,
,10.1177/1063426611400082,,0,0,
,10.5455/bcp.20120412021635,,0,0,
,10.1002/nur.20218,,0,0,
,10.1016/j.seizure.2012.07.007,,0,0,
,10.1002/berj.3252,,0,0,
,10.1016/j.jcmg.2010.04.006,,0,0,
,10.1002/phar.2051,,0,0,
,10.1016/j.childyouth.2006.11.003,,0,0,
,10.1207/S15374424JCCP3004_02,,0,0,
,10.1016/j.jpsychires.2015.08.002,,0,0,
,10.1007/s10211-013-0177-x,,0,0,
,10.1002/mds.27338,,0,0,
,10.1016/j.annemergmed.2008.12.026,,0,0,
,10.1016/j.aap.2006.06.008,,0,0,
,10.1080/01488376.2014.930947,,0,1,
,10.1007/s10566-017-9410-5,,0,0,
,10.1016/S0022-3476(95)70321-7,,0,0,
,10.1080/13625187.2018.1526898,,0,0,
,10.1017/S003329171700215X,,0,0,
,10.2337/dc18-0771,,0,0,
,,,0,0,
,10.1016/j.drugalcdep.2007.08.001,,0,0,
,10.1016/j.theriogenology.2016.09.054,,0,0,
,10.2147/CEOR.S162964,,0,0,
,10.1080/17450120802270400,,0,0,
,10.1177/0198742916688652,,0,0,
,10.1023/A:1008026613975,,0,0,
,10.1037/aca0000250,,0,0,
,10.1007/s10643-019-00978-w,,0,1,
,10.1177/0271121416672185,,0,1,
,10.1007/s10643-015-0713-6,,0,0,
,10.1007/s40688-019-00258-9,,0,1,
,,,0,0,
,10.5301/IJAO.2011.6508,,0,0,
,10.1080/0266736940100105,,0,0,
,10.1093/sw/swt017,,0,1,
,10.1016/j.childyouth.2013.08.004,,0,1,
,10.1016/j.jaac.2016.06.006,,0,1,
,10.1097/IYC.0000000000000113,,0,1,
,10.1097/00001163-200607000-00007,,0,1,
,,,0,0,
