openalex_id,doi,pmid,label_included,label_abstract_included,method
,,https://pubmed.ncbi.nlm.nih.gov/12602423,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/10937426,1,1,
,,,1,1,
,https://doi.org/10.1192/bjp.bp.108.060996,https://pubmed.ncbi.nlm.nih.gov/19880935,1,1,
,https://doi.org/10.1016/j.jad.2017.08.014,https://pubmed.ncbi.nlm.nih.gov/28829958,1,1,
,https://doi.org/10.1016/j.janxdis.2016.07.010,,1,1,
,https://doi.org/10.1002/da.22645,,1,1,
,https://doi.org/10.1037/a0023822,https://pubmed.ncbi.nlm.nih.gov/21787052,1,1,
,https://doi.org/10.1002/jts.22117,https://pubmed.ncbi.nlm.nih.gov/27459503,1,1,
,https://doi.org/10.1080/13607863.2016.1222349,https://pubmed.ncbi.nlm.nih.gov/27592635,1,1,
,https://doi.org/10.1016/j.brat.2014.10.005,,1,1,
,https://doi.org/10.1080/15299732.2016.1205704,,1,1,
,https://doi.org/10.1016/j.jagp.2017.05.013,https://pubmed.ncbi.nlm.nih.gov/28673741,1,1,
,,,1,1,
,https://doi.org/10.1016/j.invent.2014.08.002,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,,,1,1,
,https://doi.org/10.1176/appi.ajp.158.12.1993,https://pubmed.ncbi.nlm.nih.gov/11729015,1,1,
,,,1,1,
,https://doi.org/10.1016/j.ajem.2010.06.027,https://pubmed.ncbi.nlm.nih.gov/20870368,1,1,
,,,1,1,
,https://doi.org/10.1016/j.brat.2009.11.013,https://pubmed.ncbi.nlm.nih.gov/20060517,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/7706505,1,1,
,https://doi.org/10.1037/a0020508,https://pubmed.ncbi.nlm.nih.gov/20873905,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/7887873,1,1,
,,,1,1,
,https://doi.org/10.1002/da.20003,https://pubmed.ncbi.nlm.nih.gov/15274171,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/8179463,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/8099789,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/1684704,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/9554427,1,1,
,https://doi.org/10.1016/j.brat.2011.01.005,https://pubmed.ncbi.nlm.nih.gov/21333272,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/1955605,1,1,
,,,1,1,
,https://doi.org/10.1177/01454455970214003,,1,1,
,https://doi.org/10.1016/j.beth.2008.12.004,https://pubmed.ncbi.nlm.nih.gov/20171327,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/11952187,1,1,
,https://doi.org/10.1001/jamapsychiatry.2014.2637,https://pubmed.ncbi.nlm.nih.gov/25607833,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/10883554,1,1,
,https://doi.org/10.1016/j.brat.2013.07.002,https://pubmed.ncbi.nlm.nih.gov/23916633,1,1,
,https://doi.org/10.1001/jama.2009.458,https://pubmed.ncbi.nlm.nih.gov/19351943,1,1,
,https://doi.org/10.1016/j.brat.2006.01.001,https://pubmed.ncbi.nlm.nih.gov/16488388,1,1,
,,,1,1,
,https://doi.org/10.1080/10503307.2011.581707,https://pubmed.ncbi.nlm.nih.gov/21644186,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/2081065,1,1,
,https://doi.org/10.1037/0022-006X.72.4.579,https://pubmed.ncbi.nlm.nih.gov/15301642,1,1,
,https://doi.org/10.4088/JCP.09m05682blu,https://pubmed.ncbi.nlm.nih.gov/21208581,1,1,
,https://doi.org/10.1037/0022-006X.76.2.259,https://pubmed.ncbi.nlm.nih.gov/18377122,1,1,
,https://doi.org/10.1037/0022-006X.74.5.898,https://pubmed.ncbi.nlm.nih.gov/17032094,1,1,
,https://doi.org/10.1017/S1352465811000506,https://pubmed.ncbi.nlm.nih.gov/21929830,1,1,
,https://doi.org/10.1037/a0016227,https://pubmed.ncbi.nlm.nih.gov/19634955,1,1,
,https://doi.org/10.1023/A:1007793803627,https://pubmed.ncbi.nlm.nih.gov/10838679,1,1,
,https://doi.org/10.1177/0886260507313967,https://pubmed.ncbi.nlm.nih.gov/18292398,1,1,
,https://doi.org/10.1016/j.genhosppsych.2015.04.007,,1,1,
,https://doi.org/10.1176/appi.ajp.2013.13040552,https://pubmed.ncbi.nlm.nih.gov/24480899,1,1,
,https://doi.org/10.1001/archpsyc.60.10.1024,https://pubmed.ncbi.nlm.nih.gov/14557148,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/12701670,1,1,
,https://doi.org/10.1200/JCO.2009.26.8722,https://pubmed.ncbi.nlm.nih.gov/20625129,1,1,
,https://doi.org/10.1159/000112887,https://pubmed.ncbi.nlm.nih.gov/18230943,1,1,
,https://doi.org/10.1001/jamapsychiatry.2015.1154,https://pubmed.ncbi.nlm.nih.gov/26244854,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/8741719,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/12732372,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/7962886,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/8370856,1,1,
,,https://pubmed.ncbi.nlm.nih.gov/10815116,1,1,
,https://doi.org/10.1159/000339371,https://pubmed.ncbi.nlm.nih.gov/22964540,1,1,
,,,1,1,
,,,1,1,
,,,0,1,
,https://doi.org/10.1016/j.brat.2009.11.010,https://pubmed.ncbi.nlm.nih.gov/19969286,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/2899234,0,1,
,,,0,1,
,https://doi.org/10.1037/ser0000032,https://pubmed.ncbi.nlm.nih.gov/26213789,0,1,
,https://doi.org/10.1016/j.janxdis.2005.07.005,https://pubmed.ncbi.nlm.nih.gov/16169185,0,1,
,,,0,1,
,,,0,1,
,https://doi.org/10.1037/ccp0000092,https://pubmed.ncbi.nlm.nih.gov/26950097,0,1,
,,,0,1,
,https://doi.org/10.1002/jts.20096,https://pubmed.ncbi.nlm.nih.gov/16568461,0,1,
,https://doi.org/10.1037/ccp0000213,https://pubmed.ncbi.nlm.nih.gov/28569519,0,1,
,https://doi.org/10.1002/jts.22163,,0,1,
,https://doi.org/10.1017/S0033291716001094,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/7892364,0,1,
,https://doi.org/10.1001/archgenpsychiatry.2011.25,https://pubmed.ncbi.nlm.nih.gov/21464362,0,1,
,https://doi.org/10.1111/j.1469-8986.2007.00644.x,https://pubmed.ncbi.nlm.nih.gov/18221441,0,1,
,,,0,1,
,https://doi.org/10.1023/A:1024448814268,https://pubmed.ncbi.nlm.nih.gov/9479673,0,1,
,,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/3322255,0,1,
,https://doi.org/10.1016/S0005-7894(05)80221-7,,0,1,
,,,0,1,
,https://doi.org/10.1159/000112886,https://pubmed.ncbi.nlm.nih.gov/18230942,0,1,
,https://doi.org/10.1037/ort0000346,,0,1,
,,,0,1,
,https://doi.org/10.1016/j.cct.2017.07.012,https://pubmed.ncbi.nlm.nih.gov/28713032,0,1,
,https://doi.org/10.1192/bjp.bp.115.166124,,0,1,
,https://doi.org/10.1097/BOT.0000000000000792,https://pubmed.ncbi.nlm.nih.gov/28323807,0,1,
,https://doi.org/10.1037/gdn0000077,,0,1,
,https://doi.org/10.1371/journal.pone.0192802,https://pubmed.ncbi.nlm.nih.gov/29518077,0,1,
,,,0,1,
,https://doi.org/10.1016/j.brat.2016.07.001,,0,1,
,https://doi.org/10.1080/13548506.2017.1290260,https://pubmed.ncbi.nlm.nih.gov/28276950,0,1,
,https://doi.org/10.1186/s13063-017-2260-5,https://pubmed.ncbi.nlm.nih.gov/29110681,0,1,
,,,0,1,
,https://doi.org/10.1007/s11606-016-3873-1,,0,1,
,https://doi.org/10.1186/s12888-018-1639-5,https://pubmed.ncbi.nlm.nih.gov/29499675,0,1,
,https://doi.org/10.1080/16506073.2016.1163615,,0,1,
,https://doi.org/10.1186/s12885-017-3182-z,,0,1,
,https://doi.org/10.1037/tra0000184,https://pubmed.ncbi.nlm.nih.gov/27657979,0,1,
,https://doi.org/10.1037/ccp0000301,,0,1,
,https://doi.org/10.1002/da.22593,,0,1,
,https://doi.org/10.1016/j.jpsychires.2016.07.022,,0,1,
,https://doi.org/10.1186/s12888-017-1338-7,,0,1,
,https://doi.org/10.1002/jclp.22380,,0,1,
,https://doi.org/10.1016/j.cct.2017.07.024,https://pubmed.ncbi.nlm.nih.gov/28765006,0,1,
,https://doi.org/10.1159/000487599,https://pubmed.ncbi.nlm.nih.gov/29533952,0,1,
,https://doi.org/10.1037/ccp0000276,,0,1,
,https://doi.org/10.1097/NMD.0b013e31803044f8,https://pubmed.ncbi.nlm.nih.gov/17568299,0,1,
,https://doi.org/10.4088/JCP.15m09932,https://pubmed.ncbi.nlm.nih.gov/27135249,0,1,
,https://doi.org/10.1001/archgenpsychiatry.2011.127,https://pubmed.ncbi.nlm.nih.gov/21969418,0,1,
,https://doi.org/10.1176/ajp.2007.164.1.82,https://pubmed.ncbi.nlm.nih.gov/17202548,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/12362961,0,1,
,https://doi.org/10.1016/j.brat.2014.10.007,,0,1,
,https://doi.org/10.1192/bjp.bp.115.167775,,0,1,
,https://doi.org/10.1080/16506073.2017.1388276,,0,1,
,https://doi.org/10.1016/j.psychres.2017.10.016,https://pubmed.ncbi.nlm.nih.gov/29040946,0,1,
,https://doi.org/10.1186/s12888-017-1255-9,https://pubmed.ncbi.nlm.nih.gov/28302084,0,1,
,https://doi.org/10.1016/S2215-0366(18)30384-5,,0,1,
,https://doi.org/10.1159/000462977,,0,1,
,https://doi.org/10.1176/appi.ps.201600069,,0,1,
,https://doi.org/10.1001/jamapsychiatry.2017.3379,,0,1,
,,,0,1,
,https://doi.org/10.1016/j.janxdis.2016.06.003,,0,1,
,https://doi.org/10.1186/s12903-016-0186-z,,0,1,
,https://doi.org/10.1177/1363461516651361,,0,1,
,https://doi.org/10.1016/j.cct.2016.08.012,,0,1,
,https://doi.org/10.1186/s12955-018-0866-2,https://pubmed.ncbi.nlm.nih.gov/29530035,0,1,
,,,0,1,
,,,0,1,
,https://doi.org/10.1037/ccp0000289,,0,1,
,https://doi.org/10.1037/a0015324,,0,1,
,https://doi.org/10.1016/j.cct.2016.12.002,,0,1,
,https://doi.org/10.1136/bmjopen-2016-014292,,0,1,
,https://doi.org/10.1037/ser0000058,https://pubmed.ncbi.nlm.nih.gov/26524285,0,1,
,https://doi.org/10.1016/j.jocrd.2016.04.010,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/11874215,0,1,
,https://doi.org/10.1016/j.psychres.2017.03.043,,0,1,
,https://doi.org/10.1016/j.psychres.2016.09.019,https://pubmed.ncbi.nlm.nih.gov/27664548,0,1,
,https://doi.org/10.1037/ccp0000228,https://pubmed.ncbi.nlm.nih.gov/28726440,0,1,
,https://doi.org/10.1186/s13063-017-1905-8,,0,1,
,https://doi.org/10.1016/j.pscychresns.2017.06.009,https://pubmed.ncbi.nlm.nih.gov/28667881,0,1,
,https://doi.org/10.1080/20008198.2017.1293315,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/7952982,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/25328957,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/11236835,0,1,
,https://doi.org/10.1016/j.brat.2014.09.012,,0,1,
,https://doi.org/10.1017/S1352465817000674,https://pubmed.ncbi.nlm.nih.gov/29081326,0,1,
,https://doi.org/10.1080/16506070302317,,0,1,
,https://doi.org/10.1037/tra0000127,,0,1,
,https://doi.org/10.1037/ccp0000163,https://pubmed.ncbi.nlm.nih.gov/28221061,0,1,
,https://doi.org/10.1016/j.brat.2017.06.005,https://pubmed.ncbi.nlm.nih.gov/28668770,0,1,
,https://doi.org/10.1037/tra0000176,,0,1,
,https://doi.org/10.1016/j.psychres.2016.12.045,,0,1,
,https://doi.org/10.1016/j.jagp.2017.02.024,https://pubmed.ncbi.nlm.nih.gov/28365000,0,1,
,https://doi.org/10.1016/j.brat.2017.05.012,https://pubmed.ncbi.nlm.nih.gov/28600953,0,1,
,https://doi.org/10.1007/s10578-015-0611-6,,0,1,
,https://doi.org/10.7205/MILMED-D-13-00309,https://pubmed.ncbi.nlm.nih.gov/25269124,0,1,
,https://doi.org/10.1176/appi.ajp.161.8.1426,https://pubmed.ncbi.nlm.nih.gov/15285969,0,1,
,https://doi.org/10.1192/bjp.bp.116.192435,,0,1,
,https://doi.org/10.1037/tra0000218,https://pubmed.ncbi.nlm.nih.gov/27869463,0,1,
,https://doi.org/10.9745/GHSP-D-16-00017,,0,1,
,https://doi.org/10.1016/j.janxdis.2017.05.001,https://pubmed.ncbi.nlm.nih.gov/28545005,0,1,
,https://doi.org/10.3310/hta21450,,0,1,
,https://doi.org/10.1017/S0033291716003573,,0,1,
,https://doi.org/10.1016/j.chb.2006.02.001,,0,1,
,https://doi.org/10.1016/j.psychres.2017.11.045,https://pubmed.ncbi.nlm.nih.gov/29179137,0,1,
,https://doi.org/10.2196/jmir.6852,,0,1,
,https://doi.org/10.1186/s13063-016-1619-3,,0,1,
,https://doi.org/10.1037/prj0000250,https://pubmed.ncbi.nlm.nih.gov/28358525,0,1,
,https://doi.org/10.1037/pst0000147,https://pubmed.ncbi.nlm.nih.gov/29251954,0,1,
,https://doi.org/10.1016/j.jpsychores.2017.01.011,,0,1,
,,,0,1,
,https://doi.org/10.1001/jama.2017.21242,https://pubmed.ncbi.nlm.nih.gov/29362795,0,1,
,https://doi.org/10.1080/10615806.2016.1239083,,0,1,
,https://doi.org/10.1186/s13063-017-2120-3,https://pubmed.ncbi.nlm.nih.gov/28814317,0,1,
,,,0,1,
,https://doi.org/10.1037/fsh0000315,https://pubmed.ncbi.nlm.nih.gov/29283612,0,1,
,https://doi.org/10.1007/s10608-018-9931-8,,0,1,
,https://doi.org/10.1192/bjp.bp.116.184234,,0,1,
,https://doi.org/10.1192/bjp.bp.106.028167,https://pubmed.ncbi.nlm.nih.gov/17766766,0,1,
,https://doi.org/10.1186/1745-6215-15-145,https://pubmed.ncbi.nlm.nih.gov/24767603,0,1,
,https://doi.org/10.1186/1471-244X-14-115,https://pubmed.ncbi.nlm.nih.gov/24735420,0,1,
,https://doi.org/10.1186/1472-6963-9-90,https://pubmed.ncbi.nlm.nih.gov/19500346,0,1,
,,,0,1,
,https://doi.org/10.1017/S0033291715002640,https://pubmed.ncbi.nlm.nih.gov/26708017,0,1,
,https://doi.org/10.1037/a0012720,https://pubmed.ncbi.nlm.nih.gov/19045976,0,1,
,https://doi.org/10.1001/jama.2016.17165,https://pubmed.ncbi.nlm.nih.gov/27837602,0,1,
,https://doi.org/10.1097/AJP.0b013e31827fef7e,,0,1,
,,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/11165426,0,1,
,,,0,1,
,https://doi.org/10.1016/j.brat.2010.05.014,https://pubmed.ncbi.nlm.nih.gov/20561606,0,1,
,,,0,1,
,https://doi.org/10.1016/j.brat.2012.05.006,https://pubmed.ncbi.nlm.nih.gov/22738908,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/10890288,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/8476402,0,1,
,,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/3535980,0,1,
,https://doi.org/10.5665/sleep.3408,https://pubmed.ncbi.nlm.nih.gov/24497661,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/7755536,0,1,
,https://doi.org/10.1590/1516-4446-2012-0863,,0,1,
,,https://pubmed.ncbi.nlm.nih.gov/2564772,0,1,
,https://doi.org/10.1176/appi.ps.201300433,https://pubmed.ncbi.nlm.nih.gov/24933496,0,1,
,https://doi.org/10.1001/archgenpsychiatry.2011.67,https://pubmed.ncbi.nlm.nih.gov/21727253,0,1,
,https://doi.org/10.1002/da.20835,https://pubmed.ncbi.nlm.nih.gov/21721073,0,1,
,https://doi.org/10.1016/j.brat.2012.07.001,https://pubmed.ncbi.nlm.nih.gov/22863540,0,1,
